Technique,Complex Name,Organism,Other Organisms,Complex Function,Proteins,Genes,Confidence Score
few-shot,ATP4A-ATP4B complex,"Human'

'","ATP4A-ATP4B orthologous complexes are also found in other mammals (e.g., mouse), but the structure and function are most extensively characterized in humans.'[4][5]

'","This complex forms the gastric H+/K+ ATPase, a proton pump responsible for exchanging intracellular hydrogen ions (H+) with extracellular potassium ions (K+) across the apical membrane of parietal cells. This is the key molecular mechanism for gastric acid secretion in the stomach, essential for digestion and maintaining an acidic environment in the human gastric lumen.'[1][3][4]

'","'
- Potassium-transporting ATPase alpha chain 1 (catalytic subunit)
- Potassium-transporting ATPase beta subunit (glycoprotein regulatory subunit)[1][3]

'","'
- ATP4A (encodes the alpha subunit)
- ATP4B (encodes the beta subunit)[2][3][4]

'Self",(1.0 × 0.3) + (0.95 × 0.3) + (1.0 × 0.25) + (1.0 × 0.15) = 0.3 + 0.285 + 0.25 + 0.15 = **0.985**'
contextual,ATP4A-ATP4B complex,"Human'

'","The ATP4A-ATP4B complex (gastric H+/K+ ATPase) is found in other mammals and select vertebrates, but is most prominent and extensively studied in humans; specific orthologs and similar complexes occur in mouse and other mammals.'

'","Catalytic core of the gastric H+/K+ ATPase proton pump, responsible for exchanging intracellular H+ ions with extracellular K+ ions across the apical membrane of gastric parietal cells, enabling gastric acid (HCl) secretion essential for digestion.'[3][1]

'","Potassium-transporting ATPase alpha chain 1 (catalytic subunit), Potassium-transporting ATPase subunit beta (stabilizing/glycosylated subunit)'[1][3]

'","ATP4A (encoding alpha subunit), ATP4B (encoding beta subunit)'[2][4][5]

'Self",(1.0 × 0.3) + (0.95 × 0.3) + (1.0 × 0.25) + (1.0 × 0.15) = 0.3 + 0.285 + 0.25 + 0.15 = **0.985**'
few-shot,Cytochrome bc1 Complex (Complex III),Human,"Mouse, C. elegans, Drosophila melanogaster, Saccharomyces cerevisiae, and most aerobic eukaryotes as well as many bacteria[2][4].","Functions as the third complex in the mitochondrial electron transport chain, catalyzing the transfer of electrons from ubiquinol (reduced coenzyme Q) to cytochrome c while simultaneously contributing to the generation of a proton gradient across the inner mitochondrial membrane. This gradient drives ATP synthesis through oxidative phosphorylation. The complex operates via a Q-cycle mechanism and is crucial for cellular energy production[1][4].","- Cytochrome b
- Cytochrome c1
- Rieske iron-sulfur protein (UQCRFS1)
- Core protein I (UQCRC1)
- Core protein II (UQCRC2)
- UQCRH (cytochrome c1 heme lyase)
- UQCRB 
- UQCRQ
- UQCR10 (also known as 11 kDa protein)
- UQCR11 (also known as 7 kDa protein)
- UQCR (sometimes multiple small subunits, nomenclature varies)[3][4]","- MTCYB (mitochondrially-encoded cytochrome b)
- CYC1 (cytochrome c1)
- UQCRFS1 (Rieske iron-sulfur protein)
- UQCRC1 (core protein I)
- UQCRC2 (core protein II)
- UQCRH (cytochrome c1 heme lyase)
- UQCRB 
- UQCRQ
- UQCR10
- UQCR11
- Other associated small subunits encoded by corresponding nuclear genes[4]

Self","- Consistency of information across databases/sources: 1.0 (well-established, strong agreement)[3][4][5]  
- Supporting experimental data regarding the complex: 1.0 (extensive biochemical, structural, and clinical studies)[1][4]  
- Accuracy of corresponding protein-gene mapping: 1.0 (precise mapping in annotated human genome)[3][4][5]  
- The analysis information being specific to the organism: 1.0 (focused on human complex and genes)[4]  

Self Confidence Score Equation:  
(1.0 × 0.3) + (1.0 × 0.3) + (1.0 × 0.25) + (1.0 × 0.15) = 0.3 + 0.3 + 0.25 + 0.15 = **1.00**"
few-shot,GNA12-GPR55-RGS2 complex,"Human'

'","N/A (Based on current experimental evidence, the formation and modulation of the GNA12-GPR55-RGS2 complex, as described, has been characterized specifically in human cells[1].)'

'","This ternary complex is involved in the modulation of GPR55-mediated G protein signaling. GPR55, a G protein-coupled receptor, interacts with the G protein alpha subunit GNA12 and the regulator of G protein signaling protein RGS2. When assembled, this complex regulates downstream signaling pathways such as ERK phosphorylation and intracellular calcium mobilization. RGS2 modulates GPR55-induced signaling, reducing cell proliferation and migration in human colon cancer cell lines by inhibiting certain downstream effects of GPR55 activation. The physiological significance is highlighted in the context of cancer cell signaling and migration, supporting RGS2 as a potential therapeutic target in GPR55-mediated pathophysiology[1].'

'","G protein subunit alpha 12 (GNA12), G protein-coupled receptor 55 (GPR55), Regulator of G protein signaling 2 (RGS2)'

'","GNA12, GPR55, RGS2'

'Self",(0.95 × 0.3) + (0.9 × 0.3) + (1.0 × 0.25) + (1.0 × 0.15) = 0.285 + 0.27 + 0.25 + 0.15 = **0.955**'
contextual,GNA12-GPR55-RGS2 complex,Human,"While analogous proteins exist in other mammals (e.g., mouse), the specific functional complex described here is most prominently characterized in humans[2][4].","This complex is involved in G protein-coupled receptor (GPCR) signaling in humans. GPR55 acts as an atypical GPCR that, upon activation by ligands such as lysophosphatidylinositol (LPI), interacts with the GNA12 subunit (Gα12) to activate downstream signaling pathways. These pathways can lead to diverse cellular effects, including modulation of proliferation and possibly involvement in cancer pathophysiology, especially in glioblastoma cells. RGS2 (Regulator of G-protein Signaling 2) is known to modulate G protein signaling by accelerating the GTPase activity of Gα subunits, effectively turning off the signal transduction[2][4][5].","- GNA12 (Guanine nucleotide-binding protein subunit alpha-12)
- GPR55 (G protein-coupled receptor 55)
- RGS2 (Regulator of G-protein signaling 2)","- GNA12 (gene encoding Gα12 subunit)[3]
- GPR55 (gene encoding G protein-coupled receptor 55)[2]
- RGS2 (gene encoding Regulator of G-protein signaling 2)

Self",(0.85 × 0.3) + (0.8 × 0.3) + (1.0 × 0.25) + (1.0 × 0.15) = 0.255 + 0.24 + 0.25 + 0.15 = **0.895**
few-shot,Melanocortin receptor 3,Human,"Mouse (Mus musculus)[5]; Topmouth culter (Culter alburnus)[5]; other vertebrates (general GPCR conservation), but physiological relevance is most prominent in humans and mice.","The Melanocortin receptor 3 (MC3R) is a G protein-coupled receptor (GPCR) primarily involved in the regulation of energy homeostasis. The receptor mediates its effects by binding melanocyte-stimulating hormone (MSH) and adrenocorticotropic hormone (ACTH), activating adenylate cyclase via stimulatory G proteins to increase cAMP levels. MC3R plays essential roles in modulating metabolism, influencing fat and lean mass, regulating feed efficiency and nutrient partitioning, and is also involved in peripheral functions such as immune response, inflammation, cardiovascular regulation, and natriuresis[1][2][4][5].",Melanocortin receptor 3 (MC3R),"MC3R

Self",(1.0 × 0.3) + (1.0 × 0.3) + (1.0 × 0.25) + (1.0 × 0.15) = 0.3 + 0.3 + 0.25 + 0.15 = **1.00**
contextual,Melanocortin receptor 3,"Human'

'","Mouse'

'","MC3R is a G-protein coupled receptor (GPCR) that functions as a receptor for melanocyte-stimulating hormone (MSH) and adrenocorticotropic hormone (ACTH). It activates adenylate cyclase via G proteins upon binding with its ligands. MC3R plays a critical role in energy homeostasis, regulating nutrient partitioning, weight management, appetite, and hunger. It significantly influences body composition by affecting fat mass and lean mass. Additionally, MC3R has been implicated in the regulation of puberty timing and growth rate during childhood[2][4].'

'","Melanocortin receptor 3'

'","MC3R'

'Self","(0.90 × 0.3) + (0.85 × 0.3) + (0.95 × 0.25) + (1.0 × 0.15) = 0.27 + 0.255 + 0.2375 + 0.15 = **0.9125**'

## Detailed Analysis

MC3R is a single-protein complex that functions as a receptor for melanocortin peptides. In humans, it is encoded by the MC3R gene located on chromosome 20[3]. Unlike some other molecular complexes that consist of multiple protein subunits, MC3R appears to function as an individual receptor protein, though it can form dimers/oligomers with itself or other G-protein coupled receptors[4].

### Structure and Classification

MC3R belongs to the G-protein coupled receptor (GPCR) family, which is characterized by a seven-transmembrane domain structure[2][4]. As a member of the melanocortin receptor subfamily, it has particularly high binding affinity for γ-melanocyte stimulating hormone (γ-MSH), while its related receptor MC4R preferentially binds to α-MSH and β-MSH[4].

### Signaling Mechanism

Upon activation by its ligands (MSH and ACTH), MC3R mediates signal transduction through G proteins that activate adenylate cyclase[1]. This initiates downstream signaling cascades that regulate various physiological processes related to energy homeostasis. MC3R can form dimers or oligomers with itself or other GPCR members, which can activate or deactivate secondary signaling pathways[4].

### Physiological Functions

Research in humans and mice has revealed several important functions of MC3R:

1. **Energy Homeostasis**: MC3R regulates body composition and energy balance. Mice lacking MC3R develop a unique form of obesity characterized by increased fat mass, reduced lean mass, and altered energy partitioning despite normal or even decreased food intake[2][5].

2. **Growth and Development**: Mutations in MC3R have been linked to reduced growth rate during childhood in humans[2].

3. **Puberty Timing**: MC3R plays a role in the regulation of sexual maturation, with loss-of-function mutations associated with delayed puberty onset in humans[2][4].

4. **Circadian Rhythm**: Studies suggest MC3R is involved in circadian rhythm regulation[4].

### Clinical Significance

Specific polymorphisms in the MC3R gene (C17A + G241A) have been associated with pediatric obesity and increased energy intake. Children homozygous for these variants consumed approximately 38% more food than those without the polymorphisms[2]. 

A systematic review and meta-analysis published in April 2025 investigated the association between loss-of-function mutations in MC3R and human obesity risk[3], highlighting the ongoing clinical research interest in this receptor."
few-shot,ADRA1B-CXCR4 complex,"Human'

'","Evidence of similar heteromeric interactions between adrenergic and chemokine receptors has mainly been demonstrated in human cells, with recombinant systems suggesting potential in other mammals, but clear physiological relevance outside humans is not definitively established[3].'

'","This heteromeric complex consists of the alpha-1B adrenergic receptor (ADRA1B) and the chemokine receptor CXCR4. In human leukocytes, particularly in monocytes and the THP-1 cell line, these receptors can physically associate to form functional heteromers. These complexes regulate chemokine receptor–mediated chemotaxis (cell migration) and modulate immune cell responses. The interaction allows for receptor cross-talk, meaning that ligands binding to one receptor can influence the signaling and function of the other, ultimately affecting immune cell movement and potentially modulating inflammation and oncogenic pathways[3].'

'","Alpha-1B adrenergic receptor, C-X-C chemokine receptor type 4'

'","ADRA1B, CXCR4'

'Self",(0.95 × 0.3) + (0.8 × 0.3) + (1.0 × 0.25) + (1.0 × 0.15) = 0.285 + 0.24 + 0.25 + 0.15 = **0.925**'
contextual,ADRA1B-CXCR4 complex,Human,"This specific ADRA1B-CXCR4 heteromeric complex has been experimentally validated in human monocytic cells (THP-1) and primary human monocytes[3][5]. No direct evidence was found for its occurrence in mouse, C. elegans, Drosophila melanogaster, or Saccharomyces cerevisiae from the current published data.","This complex is a heteromeric assembly primarily between the alpha-1B adrenergic receptor (ADRA1B) and the chemokine (C-X-C motif) receptor 4 (CXCR4). In humans, the ADRA1B-CXCR4 complex is involved in regulating immune cell chemotaxis—specifically monocyte migration—by integrating adrenergic and chemokine signaling pathways[2][3][5]. The presence of this heteromer is necessary for CXCR4-mediated migratory responses, with loss of ADRA1B significantly reducing chemotaxis toward CXCR4 agonists such as CXCL12[3][5].","- Alpha-1B adrenergic receptor (ADRA1B)  
- C-X-C chemokine receptor type 4 (CXCR4)[2][3][5]","- ADRA1B  
- CXCR4[1][3]

Self","Consistency of information across databases/sources: 1.00 (multiple databases and publications confirm the complex in human cells[2][3][5])  
Supporting experimental data regarding the complex: 1.00 (well-supported by proximity ligation assays, BRET, and chemotaxis assays[2][3][5])  
Accuracy of corresponding protein-gene mapping: 1.00 (clear, non-ambiguous gene-protein relationships[1][3])  
Analysis information specific to the organism: 1.00 (findings are specific to human and referenced cell types[3][5])

Final Confidence Score Equation:  
(1.0 × 0.3) + (1.0 × 0.3) + (1.0 × 0.25) + (1.0 × 0.15) = 0.3 + 0.3 + 0.25 + 0.15 = **1.00**"
few-shot,Bdkrb2-Tbxa2r complex,Human,"There are orthologs of both BDKRB2 and TBXA2R genes in mouse and other mammals, but the direct Bdkrb2-Tbxa2r complex, as described here, is best characterized in humans. Experimental data on the physical association of these two receptors as a stable complex is most prominent in human systems.","The Bdkrb2-Tbxa2r complex consists of two G protein-coupled receptors (GPCRs): the bradykinin receptor B2 (Bdkrb2) and the thromboxane A2 receptor (Tbxa2r). Bdkrb2 is primarily responsible for mediating responses to the bradykinin peptide, such as vasodilation, edema, smooth muscle spasm, and nociceptor (pain) stimulation, by activating downstream phosphatidylinositol-calcium second messenger signaling cascades[2][3][5]. While direct evidence for a native physical complex between Bdkrb2 and Tbxa2r is currently limited, crosstalk between these signaling pathways has been documented in vascular biology, where both receptors play roles in the regulation of vascular tone, platelet function, and inflammatory responses.","- Bradykinin receptor B2 (Bdkrb2)
- Thromboxane A2 receptor (Tbxa2r)","- BDKRB2 (bradykinin receptor B2)[1][3][4][5]
- TBXA2R (thromboxane A2 receptor)

Self","(0.80 × 0.3) + (0.7 × 0.3) + (1.0 × 0.25) + (1.0 × 0.15) = 0.24 + 0.21 + 0.25 + 0.15 = **0.85**  
- Consistency across databases is strong for BDKRB2 and TBXA2R individually, but direct evidence of their complex formation is less established.  
- Experimental data supporting a specific heteromeric complex is moderate; most data relate to signal pathway crosstalk rather than a defined structure.  
- Protein-gene mapping is accurate and precise.  
- Analysis focuses on human biology, where the most relevant data are available."
