Technique,Complex Name,Organism,Other Organisms,Complex Function,Proteins,Genes,Confidence Score
zero-shot,H+/K+-ATPase (Gastric proton pump),Human (Homo sapiens),Mouse (Mus musculus),The H+/K+-ATPase functions as the gastric proton pump;  responsible for gastric acid secretion in the stomach. It exchanges hydrogen ions (H+) for potassium ions (K+) across the parietal cell membrane;  creating the acidic environment in the stomach lumen with pH values as low as 0.8-1.0. This acidic environment is essential for protein digestion;  nutrient absorption;  and protection against ingested pathogens. The complex hydrolyzes ATP to provide energy for the active transport of H+ ions against a concentration gradient.,H+/K+-ATPase alpha subunit (ATP4A); H+/K+-ATPase beta subunit (ATP4B),ATP4A (gene encoding H+/K+-ATPase alpha subunit); ATP4B (gene encoding H+/K+-ATPase beta subunit),0.955
few-shot,ATP4A-ATP4B complex,Human,Mouse,This is a gastric H⁺/K⁺-ATPase proton pump responsible for gastric acid secretion in the stomach. It actively transports H⁺ ions into the stomach lumen in exchange for K⁺ ions;  creating the highly acidic environment needed for food digestion and protection against pathogens.,H⁺/K⁺-ATPase alpha subunit;  H⁺/K⁺-ATPase beta subunit,ATP4A;  ATP4B,0.955
contextual,ATP4A-ATP4B complex,Human,Mouse,This protein complex functions as a gastric H+/K+-ATPase (proton pump) that catalyzes the hydrolysis of ATP coupled with the exchange of H+ and K+ ions across the plasma membrane. It is responsible for gastric acid secretion by parietal cells in the stomach;  generating and maintaining the low pH environment necessary for food digestion and absorption. The complex is the primary target for proton pump inhibitor drugs used to treat peptic ulcers and acid reflux diseases.,Potassium-transporting ATPase alpha chain 1 (H+/K+-ATPase α subunit); Potassium-transporting ATPase subunit beta (H+/K+-ATPase β subunit),ATP4A; ATP4B,0.955
zero-shot,Cytochrome bc1 Complex (Complex III;  Ubiquinol-cytochrome c reductase),Saccharomyces cerevisiae (Baker's yeast),Human;  Mouse;  C. elegans;  Drosophila melanogaster,The cytochrome bc1 complex is a crucial component of the mitochondrial respiratory chain;  catalyzing electron transfer from ubiquinol to cytochrome c coupled with proton translocation across the inner mitochondrial membrane. This process contributes to the generation of a proton gradient;  which drives ATP synthesis via ATP synthase. The complex operates through the Q-cycle mechanism;  where electrons from ubiquinol are bifurcated - some transfer to cytochrome c via the Rieske iron-sulfur protein and cytochrome c1;  while others recycle through the b-type cytochromes., Cytochrome b - Core catalytic subunit; Cytochrome c1 - Core catalytic subunit; Rieske iron-sulfur protein ; Core protein 1 (MPP alpha); Core protein 2 (MPP beta); Subunit 6; Subunit 7; Subunit 8; Subunit 9; Subunit 10,COB (Cytochrome b) - Mitochondrially encoded; CYT1 (Cytochrome c1); RIP1 (Rieske iron-sulfur protein); COR1 (Core protein 1); QCR2 (Core protein 2); QCR6 (Subunit 6); QCR7 (Subunit 7); QCR8 (Subunit 8); QCR9 (Subunit 9); QCR10 (Subunit 10),0.9475
few-shot,Cytochrome bc₁ Complex (Complex III),Saccharomyces cerevisiae,Human;  Mouse;  C. elegans;  Drosophila melanogaster,The cytochrome bc₁ complex functions as an essential component of the mitochondrial respiratory chain;  catalyzing electron transfer from ubiquinol to cytochrome c coupled with proton translocation across the inner mitochondrial membrane. This contributes to the electrochemical proton gradient used for ATP synthesis.,Cytochrome b; Cytochrome c1; Rieske iron-sulfur protein; Core protein 1; Core protein 2; Subunit 6; Subunit 7; Subunit 8; Subunit 9; Subunit 10,COB (cytochrome b); CYT1 (cytochrome c1); RIP1 (Rieske iron-sulfur protein); COR1 (core protein 1); QCR2 (core protein 2); QCR6 (subunit 6); QCR7 (subunit 7); QCR8 (subunit 8); QCR9 (subunit 9); QCR10 (subunit 10),0.94
contextual,Cytochrome bc1 Complex (Complex III),Saccharomyces cerevisiae (Baker's yeast),Human;  Mouse,The cytochrome bc1 complex is a central component of the mitochondrial respiratory chain. It catalyzes the transfer of electrons from ubiquinol to cytochrome c;  coupled with the translocation of protons across the inner mitochondrial membrane. This process contributes to the generation of a proton gradient that drives ATP synthesis. It employs the Q-cycle mechanism;  which involves the oxidation of ubiquinol at the Qo site and reduction of ubiquinone at the Qi site.,Cytochrome b; Cytochrome c1; Rieske iron-sulfur protein; Core protein 1; Core protein 2; Subunit 6; Subunit 7; Subunit 8; Subunit 9; Subunit 10,COB (cytochrome b); CYT1 (cytochrome c1); RIP1 (Rieske iron-sulfur protein); COR1 (core protein 1); QCR2 (core protein 2); QCR6 (subunit 6); QCR7 (subunit 7); QCR8 (subunit 8); QCR9 (subunit 9); QCR10 (subunit 10),0.9275
zero-shot,Synaptonemal Complex (SC),Saccharomyces cerevisiae (budding yeast),Human;  Mouse;  C. elegans;  Drosophila melanogaster,The Synaptonemal Complex is a protein structure that forms between homologous chromosomes during meiotic prophase I. In S. cerevisiae (budding yeast);  the SC facilitates crossing over between homologous chromosomes;  ensures proper chromosome segregation;  and maintains genomic integrity during meiosis. It serves as a scaffold for recombination machinery;  promotes DSB (Double-Strand Break) repair via the homologous recombination pathway;  and mediates synapsis between homologous chromosomes.,Zip1 (central element); Zip2 (initiation complex component); Zip3 (E3 ligase;  initiation complex component); Zip4 (initiation complex component); Ecm11 (central element component); Gmc2 (central element component); Red1 (lateral element component); Hop1 (lateral element component); Spo76/Pds5 (cohesion-associated),ZIP1; ZIP2; ZIP3; ZIP4; ECM11; GMC2; RED1; HOP1; PDS5,0.9125
few-shot,Synaptonemal Complex (SC),Saccharomyces cerevisiae,Human;  Mouse;  C. elegans;  Drosophila melanogaster,The synaptonemal complex is a meiosis-specific protein structure that forms between homologous chromosomes during prophase I of meiosis. It facilitates chromosome pairing;  synapsis;  and genetic recombination between homologous chromosomes;  ensuring proper chromosome segregation and genetic diversity.,Zip1 (central element);  Hop1 (lateral element);  Red1 (lateral element);  Zip2;  Zip3;  Zip4;  Spo16;  Ecm11,ZIP1;  HOP1;  RED1;  ZIP2;  ZIP3;  ZIP4;  SPO16;  ECM11,0.92
contextual,Synaptonemal Complex (SC),Mouse (Mus musculus),Human;  C. elegans;  Drosophila melanogaster;  Saccharomyces cerevisiae,The synaptonemal complex is a proteinaceous scaffold that assembles between homologous chromosomes during meiotic prophase I. It mediates chromosome synapsis;  facilitates homologous recombination;  ensures proper crossover formation;  and promotes accurate chromosome segregation during meiosis. The SC plays a critical role in maintaining genome integrity during sexual reproduction.,SYCP1 (Synaptonemal complex protein 1); SYCP2 (Synaptonemal complex protein 2); SYCP3 (Synaptonemal complex protein 3); SYCE1 (Synaptonemal complex central element protein 1); SYCE2 (Synaptonemal complex central element protein 2); SYCE3 (Synaptonemal complex central element protein 3); TEX12 (Testis-expressed protein 12),Sycp1; Sycp2; Sycp3; Syce1; Syce2; Syce3; Tex12,0.9325
zero-shot,GNA12-GPR55-RGS2 Complex,Human (Homo sapiens),Mouse (Mus musculus),This complex is involved in G protein-coupled receptor (GPCR) signaling;  where GPR55 acts as a cannabinoid receptor that;  upon activation;  couples to G12 (GNA12) to stimulate RhoA signaling. RGS2 functions as a negative regulator by accelerating the GTPase activity of GNA12;  thus terminating the signal. This complex mediates cellular responses including cytoskeletal reorganization;  cell migration;  and modulation of inflammatory processes. GPR55-GNA12 signaling has been implicated in cancer cell proliferation and metastasis;  particularly in certain cancers where this signaling axis is upregulated.,GNA12 (Guanine nucleotide-binding protein subunit alpha-12); GPR55 (G-protein coupled receptor 55); RGS2 (Regulator of G-protein signaling 2),GNA12 (gene ID: 2768); GPR55 (gene ID: 9290); RGS2 (gene ID: 5997),0.675
few-shot,GNA12-GPR55-RGS2 complex,Human,Mouse,This complex mediates G protein-coupled receptor signaling;  where GPR55 functions as a cannabinoid receptor;  GNA12 acts as a G-protein alpha subunit that transduces signals;  and RGS2 serves as a regulator of G-protein signaling by accelerating the inactivation of G proteins. Together;  they regulate cellular processes including cytoskeletal reorganization;  cell migration;  and various stress responses.,Guanine nucleotide-binding protein subunit alpha-12;  G-protein coupled receptor 55;  Regulator of G-protein signaling 2,GNA12;  GPR55;  RGS2,0.7425
contextual,GNA12-GPR55-RGS2 complex,Human,Mouse,This complex is involved in G protein-coupled receptor (GPCR) signaling;  where GPR55 functions as a cannabinoid receptor;  GNA12 (Gα12) serves as the G-protein alpha subunit that transduces signals;  and RGS2 acts as a regulator of G-protein signaling that modulates the GTPase activity of GNA12. The complex regulates multiple cellular processes including cell migration;  cytoskeletal reorganization;  and inflammatory responses. GPR55 activation by cannabinoids and lysophosphatidylinositol leads to GNA12-mediated signaling;  which is fine-tuned by RGS2.,Guanine nucleotide-binding protein subunit alpha-12 (GNA12); G-protein coupled receptor 55 (GPR55); Regulator of G-protein signaling 2 (RGS2),GNA12; GPR55; RGS2,0.7625
zero-shot,Melanocortin Receptor 3 (MC3R),Human (Homo sapiens),Mouse (Mus musculus),MC3R is a G protein-coupled receptor that binds melanocortin peptides;  particularly γ-MSH (gamma-melanocyte stimulating hormone). In humans;  MC3R plays key roles in energy homeostasis;  inflammation regulation;  and cardiovascular function. It mediates anti-inflammatory effects through inhibition of NF-κB signaling pathways and modulates feeding behavior and metabolism. MC3R primarily signals through Gαs proteins;  activating adenylyl cyclase and elevating intracellular cAMP levels. Unlike other melanocortin receptors;  MC3R has a distinct role in regulating energy partitioning rather than directly affecting total body weight.,MC3R ,MC3R (melanocortin 3 receptor); GNAS (G protein subunit alpha s); Various G protein beta and gamma subunit genes (GNB1-5;  GNG1-13),0.825
few-shot,Melanocortin Receptor 3,Human,Mouse,Melanocortin receptor 3 (MC3R) is a G protein-coupled receptor that plays an important role in energy homeostasis;  particularly in the regulation of energy input and expenditure. It mediates signals from melanocortin peptides such as α-MSH;  β-MSH;  γ-MSH;  and ACTH. The activation of MC3R leads to stimulation of adenylyl cyclase;  increased cAMP production;  and subsequent activation of various downstream signaling pathways. MC3R is involved in the central control of energy balance;  metabolic homeostasis;  and inflammation. Unlike MC4R;  which primarily affects food intake;  MC3R appears to be more involved in nutrient partitioning and the regulation of energy efficiency.,Melanocortin receptor 3,MC3R,0.925
contextual,Melanocortin receptor 3,Human,Mouse,Melanocortin receptor 3 (MC3R) is a G protein-coupled receptor that binds melanocortin peptides including α-MSH;  β-MSH;  γ-MSH;  and ACTH. It plays a critical role in energy homeostasis;  particularly in the regulation of energy intake and expenditure. MC3R regulates feeding behavior;  metabolism;  and is involved in the central control of inflammatory responses. It functions in the hypothalamus to modulate food intake and energy balance;  with distinct roles from the related MC4R.,Melanocortin receptor 3,MC3R,0.925
zero-shot,ATP1A1-TSHR complex,Human (Homo sapiens),Mouse (Mus musculus),The ATP1A1-TSHR complex facilitates the interaction between the sodium-potassium ATPase alpha-1 subunit (ATP1A1) and the thyroid-stimulating hormone receptor (TSHR). This complex is involved in thyroid hormone signaling and regulation of thyroid function. ATP1A1 functions as a non-canonical receptor for thyroid-stimulating hormone (TSH);  and when complexed with TSHR;  it contributes to the modulation of intracellular signaling cascades that regulate thyroid hormone production and secretion. The complex also plays a role in maintaining sodium and potassium ion gradients across cell membranes while participating in thyroid-specific signal transduction.,Sodium/potassium-transporting ATPase subunit alpha-1 (ATP1A1); Thyrotropin receptor (TSHR),ATP1A1; TSHR,0.61
few-shot,ATP1A1-TSHR complex,Human,Mouse,This complex forms when the sodium-potassium ATPase (Na⁺/K⁺-ATPase) alpha-1 subunit (ATP1A1) interacts with the thyroid-stimulating hormone receptor (TSHR). This interaction mediates non-canonical signaling pathways independent of G protein coupling. The complex participates in thyroid hormone-responsive signaling cascades and may regulate cell growth;  differentiation;  and metabolism in thyroid tissue.,Sodium/potassium-transporting ATPase subunit alpha-1;  Thyrotropin receptor,ATP1A1;  TSHR,0.7775
contextual,ATP1A1-TSHR complex,Human,Mouse,This complex represents a functional interaction between the sodium-potassium ATPase (specifically the alpha-1 subunit) and the thyroid-stimulating hormone receptor. The interaction modulates thyroid hormone signaling and influences sodium-potassium transport across cell membranes in thyroid tissue. The complex plays a critical role in thyroid cell function by coordinating hormone receptor signaling with membrane ion homeostasis.,Sodium/potassium-transporting ATPase subunit alpha-1;  Thyrotropin receptor,ATP1A1;  TSHR,0.8075
zero-shot,ADRA1B-CXCR4 heterodimeric complex,Human (Homo sapiens),Mouse (Mus musculus),The ADRA1B-CXCR4 heterodimeric complex functions in cross-talk between adrenergic and chemokine signaling pathways in humans. This complex forms when alpha-1B adrenergic receptor (ADRA1B) heterodimerizes with the chemokine receptor CXCR4. The formation of this complex modulates calcium signaling;  receptor trafficking;  and cellular responses to both adrenergic stimuli and CXCL12 (the ligand for CXCR4). This interaction has implications for vascular smooth muscle function;  immune cell migration;  and potentially cancer cell metastasis.,Alpha-1B adrenergic receptor (ADRA1B); C-X-C chemokine receptor type 4 (CXCR4),ADRA1B (Gene ID: 147); CXCR4 (Gene ID: 7852),0.675
few-shot,ADRA1B-CXCR4 complex,Human,Mouse,This complex forms through heteromerization of alpha-1B adrenergic receptor (ADRA1B) and C-X-C chemokine receptor type 4 (CXCR4). The complex modulates cellular signaling pathways with enhanced calcium mobilization and altered G protein coupling compared to individual receptors. It plays roles in chemotaxis;  cell migration;  and vascular smooth muscle regulation.,Alpha-1B adrenergic receptor;  C-X-C chemokine receptor type 4,ADRA1B;  CXCR4,0.7825
contextual,ADRA1B-CXCR4 Complex,Human,Mouse,This heterodimeric complex formed between the alpha-1B adrenergic receptor (ADRA1B) and C-X-C chemokine receptor type 4 (CXCR4) is involved in modulating calcium signaling;  receptor trafficking;  and cellular responses to adrenergic and chemokine stimulation. The interaction between these G protein-coupled receptors (GPCRs) appears to enhance CXCR4-mediated chemotaxis and alter signaling pathways compared to the individual receptors acting alone.,Alpha-1B adrenergic receptor;  C-X-C chemokine receptor type 4,ADRA1B;  CXCR4,0.7575
zero-shot,Bradykinin B2 receptor-Thromboxane A2 receptor complex (Bdkrb2-Tbxa2r complex),Mouse (Mus musculus),Human (Homo sapiens),The Bdkrb2-Tbxa2r complex functions as a heterodimeric G protein-coupled receptor complex that integrates signaling between the bradykinin and thromboxane pathways in vascular smooth muscle cells. This complex mediates enhanced calcium signaling compared to the individual receptors alone;  contributing to vascular tone regulation;  inflammatory responses;  and pain perception. The complex formation allows for cross-talk between bradykinin and thromboxane A2 signaling pathways;  potentially increasing sensitivity to both ligands and modulating downstream effects on blood pressure;  and nociception.,Bradykinin receptor B2 (Bdkrb2); Thromboxane A2 receptor (Tbxa2r),Bdkrb2; Tbxa2r,0.735
few-shot,Bdkrb2-Tbxa2r complex,Mouse,Human,This complex involves the heterodimeric interaction between bradykinin receptor B2 (Bdkrb2) and thromboxane A2 receptor (Tbxa2r);  functioning primarily in vascular smooth muscle cell signaling. The complex modulates vasoconstriction;  platelet aggregation;  and inflammatory responses through enhanced G-protein signaling. The physical interaction between these receptors amplifies downstream signaling cascades;  particularly those involved in calcium mobilization and MAP kinase activation in response to their respective ligands.,Bradykinin receptor B2;  Thromboxane A2 receptor,Bdkrb2;  Tbxa2r,0.7775
contextual,Bdkrb2-Tbxa2r complex,Mouse,Human,This complex consists of the bradykinin B2 receptor (Bdkrb2) and thromboxane A2 receptor (Tbxa2r);  which functionally interact to regulate vascular smooth muscle contraction;  platelet aggregation;  and inflammatory responses. The heterodimeric complex enhances signaling sensitivity to both bradykinin and thromboxane A2;  leading to amplified calcium mobilization and enhanced vasoconstriction compared to the individual receptors.,Bradykinin receptor B2 (Bdkrb2); Thromboxane A2 receptor (Tbxa2r),Bdkrb2; Tbxa2r,0.7425
zero-shot,Drd3-Ednrb complex,Mouse (Mus musculus),Human (Homo sapiens),The Drd3-Ednrb complex plays a role in the development of melanocytes and enteric neurons. It is involved in neural crest cell migration and development;  particularly in the colon. The interaction between these two G protein-coupled receptors appears to modulate dopaminergic and endothelin signaling;  affecting neural crest-derived cell lineages. This complex has been implicated in Hirschsprung's disease pathophysiology and intestinal aganglionosis.,DRD3; Endothelin receptor type B (EDNRB),Drd3; Ednrb,0.675
few-shot,Drd3-Ednrb complex,Mouse,Human,This protein complex appears to be involved in the interaction between dopamine D3 receptor and endothelin receptor type B signaling pathways in the central nervous system. The complex may play a role in modulating neuronal signaling;  particularly in regions with co-expression of both receptors such as the striatum. The interaction potentially influences dopaminergic transmission and vascular function in specific brain regions.,DRD3;  Endothelin receptor type B,Drd3;  Ednrb,0.675
contextual,Drd3-Ednrb complex,Mouse,Human,This protein complex involves the interaction between dopamine receptor D3 and endothelin receptor type B;  which plays a role in modulating neurotransmission and vasomotor function. The complex participates in the cross-talk between dopaminergic and endothelin signaling pathways;  particularly in neural tissues including midbrain dopaminergic neurons;  where it influences neuronal development;  synaptic plasticity;  and potentially contributes to neuroprotection mechanisms.,DRD3;  Endothelin receptor type B,Drd3;  Ednrb,0.7775
zero-shot,Egflam-Gpr179 complex,Mouse (Mus musculus),Human (Homo sapiens),The Egflam-Gpr179 complex plays a critical role in retinal signal transmission;  specifically in maintaining the structure of the synaptic cleft at the dendrites of ON-bipolar cells. Egflam (also known as Pikachurin) is an extracellular matrix protein that binds to α-dystroglycan and is crucial for the apposition of bipolar cell dendritic tips to photoreceptor ribbon synapses. Gpr179 is a G-protein coupled receptor that recruits the RGS7-Gβ5 complex to the dendritic tips of ON-bipolar cells and is essential for depolarizing bipolar cell function. Together;  they form a complex at the photoreceptor-bipolar cell synapse that is critical for proper visual signal processing and transmission.,Egflam (Eyes shut homolog/Pikachurin); Gpr179 (G protein-coupled receptor 179) ,Egflam; Gpr179,0.825
few-shot,Egflam-Gpr179 Complex,Mouse (Mus musculus),Human,This complex is critical for the proper function of retinal bipolar cells in the visual signal transduction pathway. It mediates the localization of mGluR6 receptors to the dendritic tips of ON-bipolar cells at the photoreceptor-to-bipolar cell synapse. The complex is essential for transmitting visual signals from photoreceptors to ON-bipolar cells;  and mutations in its components cause congenital stationary night blindness.,Eyes shut homolog (Egflam/Pikachurin);  G-protein coupled receptor 179 (GPR179),Egflam;  Gpr179,0.925
contextual,Egflam-Gpr179 complex,Mouse (Mus musculus),Human,This complex functions in the retina as a critical scaffold in the synaptic cleft between bipolar cells and photoreceptors. It plays an essential role in the assembly of the transduction machinery at the dendritic tips of ON-bipolar cells;  specifically at the site where the metabotropic glutamate receptor mGluR6 is localized. The complex anchors the G-protein coupled receptor GPR179 to the extracellular matrix;  which in turn is required for proper localization of RGS proteins that regulate the mGluR6 signaling cascade. Disruption of this complex leads to congenital stationary night blindness (CSNB) due to defective synaptic transmission from photoreceptors to ON-bipolar cells.,EGF-like;  fibronectin type III and laminin G domains protein (Pikachurin); G-protein coupled receptor 179 (GPR179),Egflam; Gpr179,0.895
zero-shot,Ceacam1-4L-Syk-Tlr4 complex,Mouse (Mus musculus),Human (although the specific 4L isoform interaction with TLR4 and SYK has been most extensively characterized in murine models),The Ceacam1-4L-Syk-Tlr4 complex functions as a regulatory signaling assembly in the immune system. It serves as a critical negative regulator of TLR4-mediated inflammatory responses;  particularly in bacterial infections. When CEACAM1-4L interacts with TLR4;  it recruits SYK kinase;  leading to inhibition of MyD88-dependent NF-κB activation. This complex plays an essential role in preventing excessive inflammatory responses to pathogens;  especially gram-negative bacteria;  and helps maintain immune homeostasis in mucosal tissues.,CEACAM1-4L (Carcinoembryonic antigen-related cell adhesion molecule 1;  4 long isoform); SYK (Spleen tyrosine kinase); TLR4 (Toll-like receptor 4),Ceacam1 (encodes CEACAM1-4L through alternative splicing); Syk; Tlr4,0.81
few-shot,Ceacam1-4L-Syk-Tlr4 complex,Mouse,Human,This complex plays a pivotal role in negative regulation of Toll-like receptor 4 (TLR4) signaling in response to lipopolysaccharide (LPS) from gram-negative bacteria. When CEACAM1-4L binds to TLR4;  it recruits Syk kinase;  which phosphorylates the intracellular domain of TLR4;  thereby inhibiting downstream inflammatory signaling pathways and preventing excessive inflammatory responses.,Carcinoembryonic antigen-related cell adhesion molecule 1;  CEACAM1-4L; Spleen tyrosine kinase (Syk); Toll-like receptor 4 (TLR4),Ceacam1; Syk; Tlr4,0.8475
contextual,Ceacam1-4L-Syk-Tlr4 complex,Mouse,Human,This complex forms during innate immune signaling to regulate inflammatory responses. It functions as a negative regulator of Toll-like receptor 4 (TLR4) signaling by inhibiting the lipopolysaccharide (LPS)-induced inflammatory cascade. When CEACAM1-4L binds to TLR4;  it recruits SYK (spleen tyrosine kinase);  which promotes the inhibitory effects on inflammatory cytokine production;  helping to prevent excessive inflammation and endotoxic shock.,Carcinoembryonic antigen-related cell adhesion molecule 1 isoform 4L;  Spleen tyrosine kinase;  Toll-like receptor 4,Ceacam1;  Syk;  Tlr4,0.81
zero-shot,KDR-NRP1-VEGF165 Complex,Human (Homo sapiens),Mouse (Mus musculus),This complex forms a receptor-coreceptor-ligand signaling platform essential for vascular endothelial cell migration;  proliferation;  survival;  and angiogenesis. The interaction between KDR (VEGFR2);  NRP1 (neuropilin-1);  and VEGF165 enhances VEGF signaling by increasing binding affinity and receptor activation. This complex mediates downstream signaling cascades that regulate physiological and pathological angiogenesis;  vascular permeability;  and vessel maturation.,KDR (Kinase insert domain receptor); NRP1 (Neuropilin-1); VEGF165 (Vascular endothelial growth factor A;  165 amino acid isoform) ,KDR - Located on chromosome 4q12; NRP1 - Located on chromosome 10p11.22; VEGFA - Located on chromosome 6p21.1 (produces multiple isoforms including VEGF165),0.9475
few-shot,KDR-NRP1-VEGF165 complex,Human,Mouse,This complex forms a signaling receptor assembly that mediates vascular endothelial growth factor (VEGF) signaling. It plays a critical role in angiogenesis (formation of new blood vessels);  vascular permeability;  and endothelial cell survival;  proliferation;  and migration. The complex formation enhances VEGF165 binding to KDR/VEGFR2;  potentiating downstream signal transduction pathways that regulate vascular development and maintenance.,Vascular endothelial growth factor receptor 2 (KDR/VEGFR2); Neuropilin-1 (NRP1); Vascular endothelial growth factor A isoform 165 (VEGF165),KDR (kinase insert domain receptor); NRP1 (neuropilin 1); VEGFA (vascular endothelial growth factor A),0.955
contextual,KDR-NRP1-VEGF165 complex,Human,Mouse,This complex mediates vascular endothelial growth factor (VEGF) signaling;  regulating angiogenesis;  vascular permeability;  and endothelial cell migration;  proliferation;  and survival. The complex formation enhances VEGF165 binding to KDR (VEGFR2);  increasing receptor phosphorylation and downstream signaling;  which is critical for both physiological and pathological blood vessel formation.,Vascular endothelial growth factor receptor 2 (KDR/VEGFR2); Neuropilin-1 (NRP1); Vascular endothelial growth factor A isoform 165 (VEGF165),KDR; NRP1; VEGFA,0.9475
zero-shot,NRP1-VEGF121 Complex,Human (Homo sapiens),Mouse (Mus musculus),The NRP1-VEGF121 complex plays a critical role in angiogenesis (blood vessel formation) and vascular development. VEGF121 is a shorter isoform of VEGF-A that lacks heparin-binding domains but retains the ability to bind to NRP1. This complex formation facilitates signaling through VEGFR2 (VEGF Receptor 2);  enhancing endothelial cell migration;  proliferation;  and vascular permeability. The NRP1-VEGF121 interaction is particularly important during embryonic development and in pathological conditions such as tumor angiogenesis;  where it contributes to vessel formation and tumor growth.,Neuropilin-1 (NRP1): A transmembrane glycoprotein that acts as a co-receptor for VEGF; Vascular Endothelial Growth Factor A; VEGF121,NRP1 (for Neuropilin-1); VEGFA (for VEGF121;  which is a splice variant of the VEGFA gene),0.895
few-shot,NRP1-VEGF121 complex,Human,Mouse,The NRP1-VEGF121 complex plays a crucial role in mediating angiogenesis and vascular development. When VEGF121 (a soluble isoform of vascular endothelial growth factor A) binds to neuropilin-1 (NRP1);  it enhances VEGFR2 signaling and promotes endothelial cell migration;  proliferation;  and vascular permeability. This complex is particularly important during embryonic development and in pathological conditions such as tumor angiogenesis and metastasis.,Neuropilin-1 (NRP1);  Vascular endothelial growth factor A (isoform 121) (VEGF121),NRP1;  VEGFA,0.955
contextual,NRP1-VEGF121 complex,Human,Mouse,This complex plays a critical role in angiogenesis and vascular development. NRP1 serves as a co-receptor for VEGF121;  enhancing VEGFR2 signaling and promoting endothelial cell migration and blood vessel formation. The complex is also involved in neuronal development;  axon guidance;  and immune cell function. In tumor biology;  this complex contributes to pathological angiogenesis supporting tumor growth and metastasis.,Neuropilin-1 (NRP1); Vascular Endothelial Growth Factor A;  isoform 121 (VEGF121),NRP1; VEGFA (specifically producing the 121 amino acid isoform),0.9475
zero-shot,KDR-VEGF165 complex,Human (Homo sapiens),Mouse (Mus musculus),The KDR-VEGF165 complex plays a critical role in angiogenesis;  the formation of new blood vessels. When VEGF165 (a splice variant of vascular endothelial growth factor A) binds to KDR (also known as VEGFR2);  it triggers receptor dimerization and autophosphorylation;  initiating downstream signaling cascades. These pathways promote endothelial cell proliferation;  migration;  survival;  and vascular permeability. The complex is essential for both physiological angiogenesis during development and wound healing;  as well as pathological angiogenesis in diseases such as cancer and diabetic retinopathy.,VEGFR2 or Vascular Endothelial Growth Factor Receptor 2; VEGF165 (Vascular Endothelial Growth Factor A;  isoform 165),KDR gene (encodes KDR/VEGFR2); VEGFA gene (encodes VEGF165 through alternative splicing),0.955
