Technique,Complex Name,Organism,Other Organisms,Complex Function,Proteins,Genes,Confidence Score
zero-shot,ATP4A-ATP4B complex,Human (Homo sapiens),Mouse (Mus musculus),The ATP4A-ATP4B complex;  also known as the gastric H+/K+ ATPase or proton pump;  is responsible for acidifying the stomach lumen by exchanging cytoplasmic hydrogen ions (H+) with extracellular potassium ions (K+) using energy from ATP hydrolysis. This process is crucial for the activation of pepsinogen and the digestion of proteins in the stomach.,ATP4A (Potassium-transporting ATPase alpha chain 1); ATP4B (Potassium-transporting ATPase beta chain),ATP4A; ATP4B,0.97
few-shot,ATP4A-ATP4B complex,Human,N/A,This is a part of the larger ATP4 or H+/K+ ATPase complex;  a proton pump responsible for gastric acid secretion in the stomach.,Potassium-transporting ATPase alpha chain 1;  Potassium-transporting ATPase subunit beta,ATP4A;  ATP4B,0.97
contextual,ATP4A-ATP4B complex,Human,N/A,This is a part of the larger ATP4 or H+/K+ ATPase complex;  a proton pump responsible for gastric acid secretion in the stomach.,Potassium-transporting ATPase alpha chain 1;  Potassium-transporting ATPase subunit beta,ATP4A;  ATP4B,0.97
zero-shot,Cytochrome bc1 Complex (Complex III),Human (Homo sapiens),The Cytochrome bc1 Complex is also found in Mouse (Mus musculus);  Drosophila melanogaster;  and Saccharomyces cerevisiae.,The Cytochrome bc1 Complex (Complex III) is a vital component of the electron transport chain in the mitochondrial inner membrane. It catalyzes the transfer of electrons from ubiquinol to cytochrome c;  coupled with the translocation of protons across the inner mitochondrial membrane;  contributing to the proton gradient essential for ATP synthesis.,In humans;  the Cytochrome bc1 Complex consists of 11 subunits:,The corresponding genes for the human Cytochrome bc1 Complex subunits are:,0.8875
few-shot,Cytochrome bc1 Complex (Complex III),Human,Mouse;  Saccharomyces cerevisiae,The cytochrome bc1 complex is a vital component of the mitochondrial electron transport chain;  responsible for the transfer of electrons from ubiquinol to cytochrome c;  coupled with the translocation of protons across the inner mitochondrial membrane;  contributing to the proton gradient essential for ATP synthesis.,Cytochrome b;  Cytochrome c1;  Rieske iron-sulfur protein;  Ubiquinol-cytochrome c reductase complex subunit 6;  Ubiquinol-cytochrome c reductase complex subunit 7;  Ubiquinol-cytochrome c reductase complex subunit 8;  Ubiquinol-cytochrome c reductase complex subunit 9;  Ubiquinol-cytochrome c reductase complex subunit 10;  Ubiquinol-cytochrome c reductase complex subunit 11,MT-CYB;  CYC1;  UQCRFS1;  UQCRH;  UQCRB;  UQCRQ;  UQCR10;  UQCR11,0.97
contextual,Cytochrome bc1 complex (Complex III),Human,Mouse;  Drosophila melanogaster;  Saccharomyces cerevisiae,Cytochrome bc1 complex is a key component of the mitochondrial respiratory chain;  catalyzing the transfer of electrons from ubiquinol to cytochrome c while simultaneously translocating protons across the inner mitochondrial membrane;  contributing to the proton gradient used for ATP synthesis.,Cytochrome b;  Cytochrome c1;  Ubiquinol-cytochrome c reductase complex subunit 7;  Ubiquinol-cytochrome c reductase complex subunit 6;  Ubiquinol-cytochrome c reductase core protein 2;  Ubiquinol-cytochrome c reductase core protein 1;  Ubiquinol-cytochrome c reductase complex subunit 8;  Ubiquinol-cytochrome c reductase complex subunit 9;  Ubiquinol-cytochrome c reductase complex subunit 10;  Ubiquinol-cytochrome c reductase complex subunit 11,MTCYB;  CYC1;  UQCRB;  UQCRQ;  UQCRC2;  UQCRC1;  UQCRH;  UQCR10;  UQCR11,1.0
zero-shot,Synaptonemal Complex,Mouse (Mus musculus),The synaptonemal complex is also found in humans;  C. elegans;  and Drosophila melanogaster;  but not in Saccharomyces cerevisiae.,The synaptonemal complex is a protein structure that forms between homologous chromosomes during meiotic prophase I. It plays a crucial role in chromosome pairing;  synapsis;  and recombination;  ensuring proper segregation of chromosomes during meiosis.,SYCP1 (Synaptonemal Complex Protein 1); SYCP2 (Synaptonemal Complex Protein 2); SYCP3 (Synaptonemal Complex Protein 3); SYCE1 (Synaptonemal Complex Central Element Protein 1); SYCE2 (Synaptonemal Complex Central Element Protein 2); SYCE3 (Synaptonemal Complex Central Element Protein 3); TEX12 (Testis-Expressed Protein 12),Sycp1; Sycp2; Sycp3; Syce1; Syce2; Syce3; Tex12,0.8875
few-shot,Synaptonemal Complex,Saccharomyces cerevisiae (Budding yeast),Human;  Mouse;  C. elegans;  Drosophila melanogaster,The synaptonemal complex (SC) is a protein structure that forms between homologous chromosomes during meiosis;  specifically during the prophase I stage. It plays a crucial role in chromosome pairing;  synapsis;  and recombination;  ensuring proper segregation of chromosomes during meiosis and maintaining genomic stability.,Zip1p;  Hop1p;  Red1p;  Ecm11p;  Gmc2p,ZIP1;  HOP1;  RED1;  ECM11;  GMC2,0.91
contextual,Synaptonemal Complex,Saccharomyces cerevisiae (budding yeast),Human;  Mouse;  C. elegans;  Drosophila melanogaster,The synaptonemal complex (SC) is a protein structure that forms between homologous chromosomes during meiosis;  specifically during the pachytene stage of prophase I. It plays a crucial role in chromosome pairing;  synapsis;  and recombination;  ensuring proper segregation of chromosomes during meiosis and maintaining genomic stability.,Zip1; Hop1; Red1; Mek1/Mre4,ZIP1; HOP1; RED1; MEK1/MRE4,0.94
zero-shot,GNA12-GPR55-RGS2 complex,Human,Mouse,The GNA12-GPR55-RGS2 complex is involved in the regulation of G protein-coupled receptor (GPCR) signaling. GNA12 (G protein subunit alpha 12) is a G protein that couples to GPR55;  a GPCR;  and RGS2 (regulator of G protein signaling 2) is a GTPase-activating protein that negatively regulates G protein signaling by promoting GTP hydrolysis on the G protein alpha subunit.,GNA12;  GPR55;  RGS2,GNA12;  GPR55;  RGS2,0.795
