Model,Technique,Complex Name,Organism,Other Organisms,Complex Function,Proteins,Genes,Confidence Score
claude-3-5-haiku,zero-shot,ATP4A-ATP4B proton pump complex,Human,None specifically identified,Gastric acid secretion and proton transportation across epithelial membranes,ATP4A (Potassium-transporting ATPase alpha chain); ATP4B (Potassium-transporting ATPase beta chain),ATP4A gene (located on chromosome 11q23.3); ATP4B gene (located on chromosome 1p13.3), with slight deductions for potential variations in source data precision.
claude-3-5-haiku,few-shot,ATP4A-ATP4B complex,Human; 1.0,N/A,This is a part of the larger ATP4 or H+/K+ ATPase complex;  responsible for gastric acid secretion in the stomach by exchanging potassium ions for hydrogen ions across the plasma membrane of gastric parietal cells.,Potassium-transporting ATPase alpha chain 1 (ATP4A); Potassium-transporting ATPase subunit beta (ATP4B); 1.0,ATP4A; ATP4B; Self Confidence Score Calculation:; Consistency across sources (0.30 weight): 0.90; Supporting experimental data (0.30 weight): 0.95,
claude-3-5-haiku,contextual,ATP4A-ATP4B complex,Human,N/A,This is a part of the larger ATP4 or H+/K+ ATPase complex;  a proton pump responsible for gastric acid secretion in the stomach by exchanging intracellular H+ for extracellular K+.,Potassium-transporting ATPase alpha chain 1 (ATP4A); Potassium-transporting ATPase subunit beta (ATP4B),ATP4A; ATP4B; Self Confidence Score Calculation:; Consistency across databases (0.95 × 0.3) = 0.285; Supporting experimental data (0.90 × 0.3) = 0.270; Protein-gene mapping accuracy (1.0 × 0.25) = 0.250; Organism-specific analysis (1.0 × 0.15) = 0.150,0.955
claude-3-5-haiku,zero-shot,Cytochrome bc1 Complex (Complex III),Homo sapiens (Human),Saccharomyces cerevisiae;  Mouse,Catalyzes electron transfer from ubiquinol to cytochrome c in the mitochondrial electron transport chain;  contributing to the generation of the proton gradient used for ATP synthesis,Cytochrome b; Cytochrome c1; Rieske iron-sulfur protein (UQCRFS1); Core protein 1 (UQCRC1); Core protein 2 (UQCRC2); Subunit 6 (UQCRH); Subunit 7 (UQCRQ); Subunit 8 (UQCRB); Subunit 9 (UQCR10); Subunit 11 (UQCR11),CYTB; CYC1; UQCRFS1; UQCRC1; UQCRC2; UQCRH; UQCRQ; UQCRB; UQCR10; UQCR11,0.87
claude-3-5-haiku,few-shot,Cytochrome bc1 Complex (Complex III),Human,Mouse;  Saccharomyces cerevisiae,A key mitochondrial respiratory chain complex responsible for generating a proton gradient across the inner mitochondrial membrane during oxidative phosphorylation;  transferring electrons from ubiquinol to cytochrome c and contributing to ATP synthesis.,Cytochrome b; Cytochrome c1; Rieske iron-sulfur protein; Mitochondrial cytochrome bc1 complex subunit 1; Mitochondrial cytochrome bc1 complex subunit 2; Mitochondrial cytochrome bc1 complex subunit 7,CYTB; CYC1; UQCRFS1; UQCRC1; UQCRC2; UQCRH; Self Confidence Score Calculation:; (0.90 × 0.3) + (0.85 × 0.3) + (0.95 × 0.25) + (1.0 × 0.15) = 0.27 + 0.255 + 0.2375 + 0.15 = 0.9125,
claude-3-5-haiku,contextual,Cytochrome bc1 Complex (Complex III),Saccharomyces cerevisiae (Budding Yeast); 1.00 × 0.15 = 0.150,N/A (focusing on S. cerevisiae),A key component of the mitochondrial electron transport chain that catalyzes electron transfer from ubiquinol to cytochrome c;  generating a proton gradient used for ATP synthesis during oxidative phosphorylation.,Cytochrome b; Cytochrome c1; Rieske iron-sulfur protein (ISP); Core protein 1; Core protein 2; 0.95 × 0.25 = 0.238,QCR6 (Cytochrome b); QCR7 (Cytochrome c1); QCR8 (Rieske iron-sulfur protein); QCR9 (Core protein 1); QCR10 (Core protein 2); Self Confidence Score Calculation:; Consistency of information: 0.90 × 0.30 = 0.270; Supporting experimental data: 0.85 × 0.30 = 0.255,0.913
claude-3-5-haiku,zero-shot,Synaptonemal Complex,Mus musculus (Mouse),Homo sapiens;  Drosophila melanogaster,Facilitates chromosome pairing;  synapsis;  and recombination during meiotic prophase I;  ensuring proper chromosome alignment and genetic exchange,SYCP1 (Structural Maintenance); SYCP2 (Lateral Element Protein); SYCP3 (Axial/Lateral Element Protein); HORMAD1 (Meiotic Chromosome Axis Protein); HORMAD2 (Meiotic Chromosome Axis Protein); MLH1 (Meiotic Crossover Protein); MLH3 (Meiotic Crossover Protein),Sycp1; Sycp2; Sycp3; Hormad1; Hormad2; Mlh1; Mlh3; Self Confidence Score Calculation:; (0.3 * 0.85) + (0.3 * 0.80) + (0.25 * 0.75) + (0.15 * 0.90) = 0.255 + 0.240 + 0.1875 + 0.135 = 0.817,
claude-3-5-haiku,few-shot,Synaptonemal Complex,Saccharomyces cerevisiae (budding yeast),N/A,Facilitates homologous chromosome pairing;  synapsis;  and recombination during meiotic prophase I;  ensuring proper chromosome alignment and genetic exchange,Zip1 (central element protein); Zip2; Zip3; Hop1; Red1; Mek1 kinase,ZIP1; ZIP2; ZIP3; HOP1; RED1; MEK1,0.913
claude-3-5-haiku,contextual,Synaptonemal Complex,Saccharomyces cerevisiae (budding yeast); 0.88 × 0.15 = 0.132,Humans;  Mouse,Facilitates precise homologous chromosome pairing;  synapsis;  and recombination during meiotic prophase I;  ensuring proper chromosome alignment and genetic exchange,Zip1 (central element protein); Zip2; Zip3; Hop1; Red1; Mek1 kinase; 0.95 × 0.25 = 0.238,ZIP1; ZIP2; ZIP3; HOP1; RED1; MEK1; Self Confidence Score Calculation:; Consistency across sources: 0.85 × 0.30 = 0.255; Supporting experimental data: 0.90 × 0.30 = 0.270,0.895
claude-3-5-haiku,zero-shot,GNA12-GPR55-RGS2 Complex,Human,None confirmed,Regulation of G protein-coupled receptor signaling and cellular responses;  primarily involved in modulating intracellular calcium signaling and cell migration,GNA12 (G protein subunit alpha 12); GPR55 (G protein-coupled receptor 55); RGS2 (Regulator of G protein signaling 2),GNA12 gene (GNAI2); GPR55 gene (GPR55); RGS2 gene (RGS2),Calculation
claude-3-5-haiku,few-shot,GNA12-GPR55-RGS2 complex,Human,N/A,Signal transduction and G protein-coupled receptor (GPCR) signaling regulation;  primarily involved in cellular processes such as cell migration;  inflammation;  and calcium signaling.,G protein subunit alpha 12 (GNA12); G protein-coupled receptor 55 (GPR55); Regulator of G protein signaling 2 (RGS2),GNA12; GPR55; RGS2; Self Confidence Score Calculation:; Consistency of information across databases (0.70 × 0.3) = 0.21; Supporting experimental data (0.65 × 0.3) = 0.195; Accuracy of protein-gene mapping (0.85 × 0.25) = 0.2125; Organism-specific analysis (0.90 × 0.15) = 0.135,0.7425
claude-3-5-haiku,contextual,GNA12-GPR55-RGS2 complex,Human; 1.0 × 0.15 = 0.15,N/A,A signaling complex involved in G protein-coupled receptor (GPCR) signaling and cellular regulation;  primarily mediating intracellular signal transduction and modulating G protein activation and deactivation.,G protein alpha 12 subunit (GNA12); G protein-coupled receptor 55 (GPR55); Regulator of G protein signaling 2 (RGS2); 0.95 × 0.25 = 0.2375,GNA12; GPR55; RGS2; Self Confidence Score Calculation:; Consistency across sources: 0.85 × 0.30 = 0.255; Supporting experimental data: 0.75 × 0.30 = 0.225,0.8675
claude-3-5-haiku,zero-shot,Melanocortin Receptor 3 (MC3R),Human; 0.90 (highly specific to human research),Mouse,Regulates energy homeostasis;  food intake;  and body weight through hormone signaling,G protein-coupled receptor 3; 0.80 (well-established genetic mapping),MC3R (chromosome 20p11.2),0.815
claude-3-5-haiku,few-shot,Melanocortin Receptor 3 (MC3R),Human; 1.00,Mouse,Plays a critical role in energy homeostasis;  regulating food intake;  body weight;  and metabolism by mediating the effects of melanocortins like α-melanocyte stimulating hormone (α-MSH),Melanocortin receptor 3; 1.00,MC3R,0.925
claude-3-5-haiku,contextual,Melanocortin Receptor 3 (MC3R),Human; 0.95 × 0.15 = 0.143,Mouse,Plays a critical role in energy homeostasis;  regulating food intake;  body weight;  and metabolic rate by mediating melanocortin signaling in the central nervous system.,Melanocortin Receptor 3; 1.00 × 0.25 = 0.250,MC3R,0.918
claude-3-5-haiku,zero-shot,ATP1A1-TSHR Complex,Human,None specifically identified,Regulation of thyroid hormone signaling and cellular ion homeostasis,ATP1A1 (Na+/K+ ATPase alpha-1 subunit); TSHR (Thyroid Stimulating Hormone Receptor),ATP1A1 gene; TSHR gene; Self Confidence Score Calculation:; (Consistency across sources: 0.25/0.30) + (Experimental data: 0.20/0.30) + (Protein-gene mapping: 0.20/0.25) + (Organism specificity: 0.10/0.15) = 0.75/1.00,0.75
claude-3-5-haiku,few-shot,ATP1A1-TSHR complex,Human; 1.0 × 0.15 = 0.150,N/A,This complex is involved in the regulation of thyroid-stimulating hormone receptor (TSHR) signaling and Na+/K+ ATPase activity;  playing a crucial role in thyroid hormone homeostasis and cellular signaling in humans.,Na+/K+ ATPase alpha-1 subunit (ATP1A1); Thyroid-stimulating hormone receptor (TSHR); 0.90 × 0.25 = 0.225,ATP1A1; TSHR; Self Confidence Score Calculation:; Consistency across sources: 0.75 × 0.30 = 0.225; Supporting experimental data: 0.65 × 0.30 = 0.195,0.795
claude-3-5-haiku,contextual,ATP1A1-TSHR complex,Human; 1.0 × 0.15 = 0.15,N/A,A molecular interaction between the Na+/K+-ATPase alpha 1 subunit (ATP1A1) and the Thyroid Stimulating Hormone Receptor (TSHR);  involved in signal transduction and cellular regulation of thyroid hormone function.,Na+/K+-ATPase alpha 1 subunit; Thyroid Stimulating Hormone Receptor; 0.95 × 0.25 = 0.2375,ATP1A1; TSHR; Self Confidence Score Calculation:; Consistency across sources: 0.85 × 0.30 = 0.255; Supporting experimental data: 0.75 × 0.30 = 0.225,0.8675
claude-3-5-haiku,zero-shot,ADRA1B-CXCR4 complex,Human,None definitively identified,Involved in cell signaling;  potentially regulating cell migration;  neurotransmission;  and inflammatory responses,Alpha-1B adrenergic receptor (ADRA1B); C-X-C chemokine receptor type 4 (CXCR4),ADRA1B gene; CXCR4 gene, with moderate reliability across different evaluation criteria.
claude-3-5-haiku,few-shot,,,,,,,
claude-3-5-haiku,contextual,ADRA1B-CXCR4 complex,Human,N/A,A receptor signaling complex involved in cell adhesion;  migration;  and potential interactions between alpha-1B adrenergic and chemokine receptors;  primarily mediating cellular response to neurological and inflammatory signals.,Alpha-1B adrenergic receptor (ADRA1B); C-X-C chemokine receptor type 4 (CXCR4),ADRA1B; CXCR4; Self Confidence Score Calculation:; Consistency of information (0.7 × 0.30) = 0.21; Supporting experimental data (0.6 × 0.30) = 0.18; Protein-gene mapping accuracy (0.9 × 0.25) = 0.225; Organism specificity (0.8 × 0.15) = 0.12,0.735
claude-3-5-haiku,zero-shot,Bdkrb2-Tbxa2r Complex,Human; 0.15 * 0.9 = 0.135,None specifically identified,Cell signaling and inflammatory response regulation,Bradykinin Receptor B2 (Bdkrb2); Thromboxane A2 Receptor (Tbxa2r); 0.25 * 0.8 = 0.20,BDKRB2 (Bradykinin Receptor B2 gene); TBXA2R (Thromboxane A2 Receptor gene); Self Confidence Score Calculation:; Consistency of information: 0.3 * 0.7 = 0.21; Supporting experimental data: 0.3 * 0.6 = 0.18,0.725
claude-3-5-haiku,few-shot,Bdkrb2-Tbxa2r complex,Human; 0.95 × 0.15 = 0.1425,N/A,A G protein-coupled receptor complex involved in inflammatory and cardiovascular signaling pathways;  particularly in mediating bradykinin and thromboxane A2 receptor interactions.,Bradykinin receptor B2 (Bdkrb2); Thromboxane A2 receptor (Tbxa2r); 0.90 × 0.25 = 0.225,BDKRB2 (Bradykinin receptor B2 gene); TBXA2R (Thromboxane A2 receptor gene); Self Confidence Score Calculation:; Consistency across databases: 0.85 × 0.30 = 0.255; Supporting experimental data: 0.75 × 0.30 = 0.225,0.848
claude-3-5-haiku,contextual,Bdkrb2-Tbxa2r complex,Human,N/A,A cell surface receptor complex involved in inflammatory and cardiovascular signaling pathways;  primarily mediating bradykinin and thromboxane A2 signal transduction.,Bradykinin receptor B2 (Bdkrb2); Thromboxane A2 receptor (Tbxa2r),BDKRB2 (Bradykinin Receptor B2); TBXA2R (Thromboxane A2 Receptor); Self Confidence Score Calculation:; • Consistency across databases: 0.85 × 0.30 = 0.255; • Supporting experimental data: 0.75 × 0.30 = 0.225; • Protein-gene mapping accuracy: 1.0 × 0.25 = 0.25; • Organism specificity: 0.90 × 0.15 = 0.135,0.865
claude-3-5-haiku,zero-shot,Drd3-Ednrb complex,Human; 0.15 * 0.8 = 0.12,Mouse,G protein-coupled receptor signaling;  potentially involved in neural and endocrine system regulation,Dopamine D3 receptor (Drd3);  Endothelin receptor type B (Ednrb); 0.25 * 0.7 = 0.175,DRD3;  EDNRB,0.625
claude-3-5-haiku,few-shot,,,,,,,
claude-3-5-haiku,contextual,Drd3-Ednrb complex,Human,N/A,Cellular signaling and potential neuromodulatory interactions involving dopamine receptor and endothelin receptor pathways,Dopamine receptor D3 (Drd3); Endothelin receptor type B (Ednrb),DRD3 (Dopamine receptor D3 gene); EDNRB (Endothelin receptor type B gene); Self Confidence Score Calculation:; • Consistency across sources: 0.75 × 0.30 = 0.225; • Supporting experimental data: 0.65 × 0.30 = 0.195; • Protein-gene mapping accuracy: 0.90 × 0.25 = 0.225; • Organism specificity: 0.80 × 0.15 = 0.120,0.765
claude-3-5-haiku,zero-shot,Egflam-Gpr179 complex,Human,Mouse,Neuronal signal transduction and synaptic organization in the retina,EGFLAM (EGF-like;  fibronectin type-III and laminin G domain-containing protein);  GPR179 (G protein-coupled receptor 179),EGFLAM (EGFLAM);  GPR179 (GPR179),0.725
claude-3-5-haiku,few-shot,,,,,,,0.10
claude-3-5-haiku,contextual,Egflam-Gpr179 complex,Human; 0.90 × 0.15 = 0.135,N/A,Cellular signaling and potentially neuronal development regulation,Epidermal growth factor-like and fibronectin type-III-like protein (Egflam); G protein-coupled receptor 179 (Gpr179); 0.80 × 0.25 = 0.20,EGFLAM; GPR179; Self Confidence Score Calculation:; Consistency across sources: 0.65 × 0.30 = 0.195; Supporting experimental data: 0.55 × 0.30 = 0.165,0.695
claude-3-5-haiku,zero-shot,Ceacam1-4L-Syk-Tlr4 complex,Human,None specifically confirmed,Immune signaling and cell adhesion regulation in immune response,CEACAM1 (Carcinoembryonic antigen-related cell adhesion molecule 1); CEACAM4L (Carcinoembryonic antigen-related cell adhesion molecule 4-like); SYK (Spleen tyrosine kinase); TLR4 (Toll-like receptor 4),CEACAM1; CEACAM4; SYK; TLR4,0.535
claude-3-5-haiku,few-shot,Ceacam1-4L-Syk-Tlr4 complex,Human; 0.8 × 0.15 = 0.12,N/A,Signal transduction and immune response regulation;  particularly in innate immune cell interactions and inflammatory processes,Carcinoembryonic antigen-related cell adhesion molecule 1 (CEACAM1); CEACAM1 4L isoform; Spleen tyrosine kinase (Syk); Toll-like receptor 4 (TLR4); 0.9 × 0.25 = 0.225,CEACAM1; CEACAM1 (4L isoform variant); SYK; TLR4; Self Confidence Score Calculation:; Consistency across sources: 0.7 × 0.3 = 0.21; Supporting experimental data: 0.6 × 0.3 = 0.18,
claude-3-5-haiku,contextual,Ceacam1-4L-Syk-Tlr4 complex,Human,N/A,Immune signaling and cell adhesion complex involved in inflammatory response regulation and pathogen recognition;  particularly in cellular interactions and immune signal transduction.,Carcinoembryonic antigen-related cell adhesion molecule 1 (Ceacam1); Spleen tyrosine kinase (Syk); Toll-like receptor 4 (Tlr4); Long isoform of Ceacam1 (4L),CEACAM1; SYK; TLR4,0.735
claude-3-5-haiku,zero-shot,KDR-NRP1-VEGF165 complex,Human,None,Mediates angiogenesis and vascular development through receptor-ligand interactions that promote endothelial cell proliferation;  migration;  and survival,VEGF165 (Vascular Endothelial Growth Factor 165); KDR (Kinase Domain Receptor;  also known as VEGFR-2); NRP1 (Neuropilin-1),VEGFA (encodes VEGF165); KDR (encodes KDR/VEGFR-2); NRP1 (encodes Neuropilin-1); Self Confidence Score Calculation:; (Consistency across sources: 0.8 × 0.3) + (Experimental data support: 0.75 × 0.3) + (Protein-gene mapping accuracy: 0.9 × 0.25) + (Organism specificity: 1.0 × 0.15) = 0.24 + 0.225 + 0.225 + 0.15 = 0.84,
claude-3-5-haiku,few-shot,KDR-NRP1-VEGF165 complex,Human; 1.00,N/A,This protein complex plays a critical role in angiogenesis;  mediating vascular endothelial growth factor (VEGF) signaling and promoting blood vessel formation and growth.,Vascular Endothelial Growth Factor A (VEGF-A); Kinase Insert Domain Receptor (KDR/VEGFR-2); Neuropilin-1 (NRP1); 1.00,VEGFA; KDR; NRP1; Self Confidence Score Calculation:; Consistency across databases (0.30 weight): 0.90; Supporting experimental data (0.30 weight): 0.85,
claude-3-5-haiku,contextual,KDR-NRP1-VEGF165 complex,Human; 1.0 × 0.15 = 0.15,N/A,Mediates vascular endothelial growth factor (VEGF) signaling;  critical for angiogenesis;  blood vessel formation;  and vascular permeability in humans.,Kinase insert domain receptor (KDR/VEGFR-2); Neuropilin-1 (NRP1); Vascular endothelial growth factor 165 (VEGF165); 1.0 × 0.25 = 0.25,KDR (also known as VEGFR2); NRP1; VEGFA; Self Confidence Score Calculation:; Consistency across databases: 0.92 × 0.3 = 0.276; Supporting experimental data: 0.88 × 0.3 = 0.264,0.94
claude-3-5-haiku,zero-shot,NRP1-VEGF121 complex,Human; 0.95 (highly specific human context),Mouse,Facilitates angiogenesis and vascular development through interaction between neuropilin-1 receptor and vascular endothelial growth factor,Neuropilin-1 (NRP1);  Vascular Endothelial Growth Factor 121 (VEGF121); 0.80 (well-established mapping),NRP1;  VEGFA,[Calculation]
claude-3-5-haiku,few-shot,NRP1-VEGF121 complex,Human,N/A,Mediates vascular endothelial growth factor (VEGF) signaling;  crucial for angiogenesis;  neuronal guidance;  and cell migration processes in the human body.,Neuropilin-1 (NRP1); Vascular Endothelial Growth Factor 121 (VEGF121),NRP1 (Neuropilin-1 gene); VEGFA (Vascular Endothelial Growth Factor A gene); Self Confidence Score Calculation:; Consistency across databases (0.90 × 0.3) = 0.270; Supporting experimental data (0.85 × 0.3) = 0.255; Protein-gene mapping accuracy (0.95 × 0.25) = 0.238; Organism-specific information (1.0 × 0.15) = 0.150,0.913
claude-3-5-haiku,contextual,NRP1-VEGF121 complex,Human; 1.0 × 0.15 = 0.15,N/A,Acts as a critical co-receptor in angiogenesis;  facilitating vascular endothelial growth factor (VEGF) signaling and promoting endothelial cell proliferation;  migration;  and survival.,Neuropilin-1 (NRP1); Vascular Endothelial Growth Factor 121 (VEGF121); 1.0 × 0.25 = 0.25,NRP1 (Neuropilin-1 gene); VEGFA (Vascular Endothelial Growth Factor A gene); Self Confidence Score Calculation:; Consistency across databases: 0.95 × 0.3 = 0.285; Supporting experimental data: 0.90 × 0.3 = 0.27,
