Technique,Complex Name,Organism,Other Organisms,Complex Function,Proteins,Genes,Confidence Score
zero-shot,ATP4A-ATP4B Complex,Human,The core function and composition of the ATP4A-ATP4B complex are highly conserved;  and similar complexes can be found in Mouse.,The ATP4A-ATP4B complex;  also known as the gastric H+/K+ ATPase;  primarily functions in the stomach to exchange potassium ions (K+) for hydrogen ions (H+) across the gastric epithelium;  driving acidification of the stomach contents. This process is essential for digestion and maintaining an acidic environment that is critical for activating digestive enzymes.,The complex is composed of two main subunits - ATP4A (Alpha subunit) and ATP4B (Beta subunit).,The ATP4A protein corresponds to the ATP4A gene;  and the ATP4B protein corresponds to the ATP4B gene in humans.,1.00
few-shot,ATP4A-ATP4B complex; Sodium leak channel complex,Human; Drosophila melanogaster,N/A; Human;  C. elegans,This is a part of the larger ATP4 or H+/K+ ATPase complex;  a proton pump responsible for gastric acid secretion in the stomach.; Voltage-gated ion channel responsible for the depolarizing sodium (Na+) leak currents that determine resting Na(+) permeability and control neuronal excitability. Functions downstream of the molecular circadian clock in pacemaker neurons to promote behavioral rhythmicity.,Potassium-transporting ATPase alpha chain 1;  Potassium-transporting ATPase subunit beta; Protein unc-80 homolog;  Narrow abdomen isoform F;  Uncoordinated 79 isoform B,ATP4A;  ATP4B; unc80;  na;  unc79,0.92
contextual,ATP4A-ATP4B complex',Human',Mouse',This is a part of the larger ATP4 or H+/K+ ATPase complex;  a proton pump responsible for gastric acid secretion in the stomach.',Potassium-transporting ATPase alpha chain 1;  Potassium-transporting ATPase subunit beta',ATP4A;  ATP4B',0.955
zero-shot,Cytochrome bc1 Complex (Complex III),Saccharomyces cerevisiae (yeast),Humans;  Mouse;  Drosophila melanogaster;  and C. elegans,The cytochrome bc1 complex;  also known as Complex III;  is a critical component of the mitochondrial electron transport chain. It facilitates the transfer of electrons from ubiquinol to cytochrome c while simultaneously translocating protons across the mitochondrial inner membrane. This process helps create the proton gradient required for ATP synthesis.,In Saccharomyces cerevisiae;  the cytochrome bc1 complex is composed of multiple subunits;  including cytochrome b;  cytochrome c1;  and the Rieske iron-sulfur protein;  among others.,Key genes encoding the proteins of the cytochrome bc1 complex in Saccharomyces cerevisiae include CYT1 (cytochrome c1);  QCR2 (core protein 2);  COR1 (core protein 1);  RIP1 (Rieske iron-sulfur protein);  and COB (cytochrome b).,0.985
few-shot,Cytochrome bc1 Complex (Complex III),Saccharomyces cerevisiae,Human;  Mouse;  C. elegans;  Drosophila melanogaster,The Cytochrome bc1 Complex is involved in the mitochondrial electron transport chain;  where it facilitates the transfer of electrons from ubiquinol to cytochrome c;  contributing to the generation of a proton gradient across the mitochondrial membrane for ATP synthesis.,Cytochrome b;  Cytochrome c1;  Rieske iron-sulfur protein;  Core protein 1 (Cor1);  Core protein 2 (Cor2),COB;  CYT1;  RIP1;  COR1;  COR2,0.97
contextual,Cytochrome bc1 Complex (Complex III),Saccharomyces cerevisiae,Human;  Mouse;  Drosophila melanogaster,It is a critical component of the mitochondrial electron transport chain that facilitates the transfer of electrons from ubiquinol to cytochrome c;  contributing to the proton gradient used for ATP synthesis.,Cytochrome b;  Cytochrome c1;  Rieske iron-sulfur protein;  Core protein 1;  Core protein 2;  Subunit 6;  Subunit 7;  Subunit 8;  Subunit 9,COB;  CYT1;  RIP1;  ZAP1;  PTC1;  QCR6;  QCR7;  QCR8;  QCR9,0.955
zero-shot,Synaptonemal Complex,Saccharomyces cerevisiae,The synaptonemal complex is also found in Humans;  Mice;  C. elegans;  and Drosophila melanogaster.,The synaptonemal complex (SC) is a protein structure that forms between homologous chromosomes (homologs) during meiosis and is essential for the process of homologous recombination;  synapsis;  and accurate chromosome segregation.,Zip1;  Zip2;  Zip3;  Zip4;  Red1;  Hop1;  and Spo11.,ZIP1;  ZIP2;  ZIP3;  ZIP4;  RED1;  HOP1;  SPO11.,0.975
few-shot,Synaptonemal Complex',Saccharomyces cerevisiae',Human;  Mouse;  C. elegans;  Drosophila melanogaster',A protein structure essential for the pairing of homologous chromosomes during meiosis;  facilitating recombination and ensuring accurate segregation.',Zip1;  Zip2;  Zip3;  Zip4;  Red1;  Hop1;  Mek1',ZIP1;  ZIP2;  ZIP3;  ZIP4;  RED1;  HOP1;  MEK1',0.9125
contextual,Synaptonemal Complex',Saccharomyces cerevisiae',Human;  Mouse;  C. elegans;  Drosophila melanogaster',The synaptonemal complex is a protein structure that forms between homologous chromosomes during meiosis and is essential for synapsis;  facilitating chromosome pairing;  recombination;  and segregation.',Zip1;  Zip2;  Zip3;  Hop1;  Red1',ZIP1;  ZIP2;  ZIP3;  HOP1;  RED1',0.925
zero-shot,GNA12-GPR55-RGS2 Complex,Human,This particular complex is not well-characterized in other model organisms such as Mouse;  C. elegans;  Drosophila melanogaster;  or Saccharomyces cerevisiae to accurately confirm its presence.,The GNA12-GPR55-RGS2 complex is mainly involved in signal transduction processes in the cell. It plays a crucial role in modulating cellular responses to external stimuli by affecting G-protein coupled receptor (GPCR) signaling pathways. This complex is specifically associated with processes such as cell proliferation;  migration;  and possibly in the regulation of inflammation and cancer-related pathways.,GNA12 (Guanine nucleotide-binding protein subunit alpha-12); GPR55 (G-protein coupled receptor 55); RGS2 (Regulator of G-protein signaling 2),GNA12: Gene associated with the GNA12 protein.; GPR55: Gene associated with the GPR55 protein.; RGS2: Gene associated with the RGS2 protein.,0.825
few-shot,GNA12-GPR55-RGS2 complex',Human',Mouse',Involved in modulating signal transduction processes;  particularly in regulating GPCR-mediated signaling pathways;  possibly impacting cell proliferation and migration.',Guanine nucleotide-binding protein subunit alpha-12 (GNA12);  G protein-coupled receptor 55 (GPR55);  Regulator of G-protein signaling 2 (RGS2)',GNA12;  GPR55;  RGS2',0.91
contextual,GNA12-GPR55-RGS2 complex',Human',N/A',The GNA12-GPR55-RGS2 complex is involved in coupling G protein-coupled receptor 55 (GPR55) to downstream signaling events;  primarily involving G proteins;  which can influence cellular processes such as proliferation;  apoptosis;  and migration.',Guanine nucleotide-binding protein subunit alpha-12 (GNA12);  G protein-coupled receptor 55 (GPR55);  Regulator of G-protein signaling 2 (RGS2)',GNA12;  GPR55;  RGS2',0.925
zero-shot,Melanocortin Receptor 3 (MC3R),Human,Mouse,MC3R is primarily involved in the regulation of energy homeostasis;  metabolic processes;  and appetite in the organism. It plays a role in the central nervous system by influencing feeding behavior and energy expenditure. In humans;  MC3R has also been implicated in the modulation of inflammatory responses.,The primary protein component of the melanocortin receptor 3 complex is the MC3R protein. This is a G-protein coupled receptor that interacts with melanocortins like α-MSH (alpha-melanocyte-stimulating hormone) and other related peptides.,The gene that encodes the MC3R protein is MC3R.,0.97
few-shot,Melanocortin receptor 3 complex,Human,Mouse,The Melanocortin receptor 3 (MC3R) complex is involved in the regulation of energy homeostasis;  body weight;  and feeding behavior. It also has a role in modulating inflammation and immune response.,Melanocortin receptor 3 (MC3R),MC3R,0.925
contextual,Melanocortin receptor 3 complex,Human,Mouse,Involved in energy homeostasis and regulation of body weight;  as well as playing a role in modulation of immune system responses and regulation of the hypothalamic-pituitary-adrenal axis.,Melanocortin receptor 3,MC3R,0.925
zero-shot,ATP1A1-TSHR Complex,Human,While the individual proteins exist across several organisms;  the specific functional complex of ATP1A1-TSHR has been primarily studied in humans.,The ATP1A1-TSHR complex in humans is involved in signal transduction associated with thyroid function. ATP1A1 primarily functions as a Na+/K+-ATPase pump;  maintaining sodium and potassium gradients across the plasma membrane. The thyroid-stimulating hormone receptor (TSHR) is involved in thyroid hormone regulation. When coupled in a complex;  ATP1A1 and TSHR play a role in modulating thyroid hormone activity and can impact cellular signaling pathways.,ATP1A1 and TSHR,ATP1A1 (also known as the sodium/potassium-transporting ATPase subunit alpha-1);  TSHR (thyroid stimulating hormone receptor),0.94
few-shot,ATP1A1-TSHR complex,Human,N/A,This complex is involved in the modulation of thyroid function and sodium-potassium ion balance;  influencing cellular processes like metabolism and signal transduction.,Sodium/potassium-transporting ATPase subunit alpha-1;  Thyrotropin receptor,ATP1A1;  TSHR,0.925
contextual,ATP1A1-TSHR complex',Human',N/A',This complex;  found in thyroid cells;  is involved in modulating the function of Na+/K+ ATPase;  influencing cytosolic calcium levels;  and acting in signal transduction pathways.',Sodium/potassium-transporting ATPase subunit alpha-1;  Thyrotropin receptor',ATP1A1;  TSHR',0.9349
