Technique,Complex Name,Organism,Other Organisms,Complex Function,Proteins,Genes,Confidence Score
zero-shot,"Gastric H+,K+-ATPase (ATP4A-ATP4B complex)",Homo sapiens (Human),"ATP4A and ATP4B are present and functionally characterized predominantly in humans and mice. There are homologous proton pumps in other organisms (such as yeast plasma membrane ATPases and Drosophila PMA-type ATPases), but the specific ATP4A-ATP4B complex as the gastric H+,K+-ATPase is unique to vertebrates (mainly human and mouse among the listed organisms).","This complex functions as the gastric proton pump responsible for acidifying the stomach lumen in humans. It actively transports protons (H+) from the parietal cells of the stomach lining into the gastric lumen in exchange for potassium ions (K+), powered by ATP hydrolysis. This process is essential for establishing the highly acidic environment necessary for digestion.",- Alpha subunit: ATP4A (Gastric H+/K+-ATPase alpha subunit); - Beta subunit: ATP4B (Gastric H+/K+-ATPase beta subunit),- ATP4A gene (encodes the alpha subunit); - ATP4B gene (encodes the beta subunit),(1.0 * 0.3) + (1.0 * 0.3) + (1.0 * 0.25) + (1.0 * 0.15) = 0.3 + 0.3 + 0.25 + 0.15 = **1.00**
few-shot,ATP4A-ATP4B complex,Human,"Mouse, but the composition and function are most well-characterized and prominent in Human.","The ATP4A-ATP4B complex forms the gastric H+/K+ ATPase (proton pump) responsible for the acidification of the stomach in humans. It exchanges intracellular H+ for extracellular K+, enabling gastric acid secretion by parietal cells.","Potassium-transporting ATPase alpha chain 1, Potassium-transporting ATPase subunit beta","ATP4A, ATP4B",(1.0 × 0.3) + (1.0 × 0.3) + (1.0 × 0.25) + (1.0 × 0.15) = 0.3 + 0.3 + 0.25 + 0.15 = **1.00**
contextual,ATP4A-ATP4B complex',Human',"Mouse (highly homologous), but complex studied and functionally established most prominently in Human.'","Catalytic core of the gastric H+/K+ ATPase, a proton pump that mediates gastric acid secretion into the stomach lumen.'","Potassium-transporting ATPase alpha chain 1, Potassium-transporting ATPase beta subunit (gastric)'","ATP4A, ATP4B'",(1.0 × 0.3) + (1.0 × 0.3) + (1.0 × 0.25) + (1.0 × 0.15) = 0.3 + 0.3 + 0.25 + 0.15 = **1.00**'
zero-shot,Cytochrome bc1 Complex (Complex III),Homo sapiens (Human),"The Cytochrome bc1 Complex (Complex III) is also found in Mouse (Mus musculus), C. elegans, Drosophila melanogaster, and Saccharomyces cerevisiae, but this analysis is specific to Human where the architecture and subunit composition have been most thoroughly studied and characterized.","The mitochondrial Cytochrome bc1 Complex (Complex III) is a multi-subunit enzyme complex that catalyzes the transfer of electrons from ubiquinol (coenzyme QH2) to cytochrome c, coupled with the translocation of protons across the mitochondrial inner membrane. This process contributes to the generation of the proton motive force required for ATP synthesis via oxidative phosphorylation.","The human Cytochrome bc1 Complex typically consists of 11 core subunits:; 1. Cytochrome b; 2. Cytochrome c1; 3. Rieske iron-sulfur protein (UQCRFS1); 4. Core protein I (UQCRC1); 5. Core protein II (UQCRC2); 6. UQCRH (Hinge protein); 7. UQCRB; 8. UQCRQ; 9. UQCR10; 10. UQCR11; 11. UQCR (mitochondrial processing peptidase subunit alpha, MPP-alpha subunit)","The corresponding genes for each subunit are:; 1. MT-CYB (mitochondrial-encoded Cytochrome b); 2. CYC1 (Cytochrome c1); 3. UQCRFS1 (Rieske Iron-Sulfur Protein); 4. UQCRC1 (Core protein I); 5. UQCRC2 (Core protein II); 6. UQCRH (Hinge protein); 7. UQCRB; 8. UQCRQ; 9. UQCR10; 10. UQCR11; 11. PMPCB (Mitochondrial processing peptidase beta subunit, occasionally associated as a supernumerary component)",(Consistency of information: 0.3 x 1.00) + (Supporting experimental data: 0.3 x 1.00) + (Protein-gene mapping accuracy: 0.25 x 1.00) + (Organism-specific information: 0.15 x 1.00); = (0.3 x 1.00) + (0.3 x 1.00) + (0.25 x 1.00) + (0.15 x 1.00); = 0.3 + 0.3 + 0.25 + 0.15; = 1.00
few-shot,Cytochrome bc1 Complex (Complex III),Human,"Mouse, Saccharomyces cerevisiae, Drosophila melanogaster, C. elegans, other mammals, plants, fungi, most eukaryotes, and many proteobacteria.","Mitochondrial respiratory chain complex catalyzing transfer of electrons from ubiquinol to cytochrome c, coupled with proton translocation across the inner mitochondrial membrane, contributing to the proton gradient for ATP synthesis.",- Cytochrome b (UQCRC1); - Cytochrome c1 (CYC1); - Rieske iron-sulfur protein (UQCRFS1); - Core protein 1 (UQCRC1); - Core protein 2 (UQCRC2); - QCR6 (UQCRH); - QCR7 (UQCRB); - QCR8 (UQCRQ); - QCR9 (UQCR10); - QCR10 (UQCR11),- MT-CYB (cytochrome b); - CYC1 (cytochrome c1); - UQCRFS1 (Rieske iron-sulfur protein); - UQCRC1 (core protein 1); - UQCRC2 (core protein 2); - UQCRH (subunit 6); - UQCRB (subunit 7); - UQCRQ (subunit 8); - UQCR10 (subunit 9); - UQCR11 (subunit 10),(1.0 × 0.3) + (1.0 × 0.3) + (1.0 × 0.25) + (1.0 × 0.15) = 0.3 + 0.3 + 0.25 + 0.15 = **1.00**
contextual,Cytochrome bc1 Complex (Complex III),Human,"Mouse, C. elegans, Drosophila melanogaster, Saccharomyces cerevisiae, many other eukaryotes, and numerous bacteria (as analogous complexes).","Core component of the mitochondrial respiratory chain, catalyzes the transfer of electrons from ubiquinol to cytochrome c coupled with translocation of protons across the inner mitochondrial membrane, contributing to the proton gradient for ATP synthesis.","1. Cytochrome b; 2. Cytochrome c1; 3. Rieske iron-sulfur protein (UQCRFS1); 4. Core protein 1 (UQCRC1); 5. Core protein 2 (UQCRC2); 6. UQCRQ (subunit VII),; 7. UQCRB (subunit VIII); 8. UQCRH (subunit VIb); 9. UQCR10 (subunit 10/S-plastin); 10. UQCR11 (subunit 9)",1. MT-CYB (mitochondrial gene encoding cytochrome b); 2. CYC1 (cytochrome c1); 3. UQCRFS1 (Rieske iron-sulfur protein); 4. UQCRC1 (core protein 1); 5. UQCRC2 (core protein 2); 6. UQCRQ (complex III subunit VII); 7. UQCRB (complex III subunit VIII); 8. UQCRH (complex III subunit VIb); 9. UQCR10 (complex III subunit X); 10. UQCR11 (complex III subunit IX),(1.0 × 0.3) + (1.0 × 0.3) + (1.0 × 0.25) + (1.0 × 0.15) = 0.3 + 0.3 + 0.25 + 0.15 = **1.00**
zero-shot,Synaptonemal Complex (SC),Saccharomyces cerevisiae (Baker's yeast),,"The synaptonemal complex in S. cerevisiae is a meiosis-specific proteinaceous structure that assembles between homologous chromosomes during prophase I of meiosis. Its primary function is to align homologs tightly (synapsis), promote crossover formation via homologous recombination, and ensure faithful chromosome segregation.; List of Proteins the Complex Consists Of:; 1. Zip1 – transverse filament protein; 2. Zip2 – involved in synapsis initiation; 3. Zip3 – SUMO E3 ligase, required for proper SC assembly; 4. Zip4 (Spo22) – involved in crossover and synapsis; 5. Red1 – axial/lateral element component; 6. Hop1 – axial/lateral element protein, promotes synapsis and recombination; 7. Mek1 – meiotic checkpoint kinase, functions with Hop1/Red1; 8. Rec8 – meiosis-specific cohesin, provides cohesion and axis formation; Corresponding Genes (S. cerevisiae):; - ZIP1 (YDR501W); - ZIP2 (YGL075C); - ZIP3 (YFR051C); - ZIP4 (SP022/YGL013C); - RED1 (YOR349W); - HOP1 (YGL020C); - MEK1 (YPL013C); - REC8 (YBR088C); Other Organisms from the List with SC:; - Homo sapiens (Human); - Mus musculus (Mouse); - Caenorhabditis elegans; - Drosophila melanogaster; However, the specific protein/gene composition differs substantially; e.g., S. cerevisiae SC proteins are not highly conserved at the primary sequence level in metazoans.; ---",,,**
few-shot,Synaptonemal Complex,Saccharomyces cerevisiae,"Human, Mouse, C. elegans, Drosophila melanogaster","The synaptonemal complex (SC) is a meiosis-specific protein structure that assembles between homologous chromosomes during prophase I. In Saccharomyces cerevisiae, it facilitates homolog pairing, synapsis, and crossover formation, which are essential for accurate chromosome segregation and genetic recombination during meiosis.","Zip1, Zip2, Zip3, Zip4 (Spo22), Red1, Hop1, Mek1","ZIP1, ZIP2, ZIP3, ZIP4 (SPO22), RED1, HOP1, MEK1",(0.95 × 0.3) + (0.95 × 0.3) + (1.0 × 0.25) + (1.0 × 0.15) = 0.285 + 0.285 + 0.25 + 0.15 = **0.97**
contextual,Synaptonemal Complex,Saccharomyces cerevisiae,"Human, Mouse, C. elegans, Drosophila melanogaster (with divergent composition)","Mediates chromosome pairing (synapsis), stabilization, and facilitates homologous recombination during meiotic prophase I by providing a scaffold for the exchange of genetic material between homologous chromosomes.","Zip1, Zip2, Zip3, Zip4/Spo22, Red1, Hop1, Rec8, Mek1","ZIP1, ZIP2, ZIP3, ZIP4 (also called SPO22), RED1, HOP1, REC8, MEK1",(1.0 × 0.3) + (1.0 × 0.3) + (1.0 × 0.25) + (1.0 × 0.15) = 0.3 + 0.3 + 0.25 + 0.15 = **1.00**
zero-shot,** GNA12-GPR55-RGS2 complex,** Human (Homo sapiens),,**,**,,**; **
