Technique,Complex Name,Organism,Other Organisms,Complex Function,Proteins,Genes,Confidence Score
zero-shot,HipHop-HOAP Telomere-Capping Complex,Drosophila melanogaster,The HipHop-HOAP complex is not prominently found in Humans; Mouse; C. elegans; or Saccharomyces cerevisiae.,The HipHop-HOAP complex is essential for telomere capping; which protects the ends of chromosomes from being mistakenly repaired as DNA breaks. Telomeres play a critical role in maintaining chromosome stability and are involved in the regulation of cellular aging and senescence.,The primary proteins constituting this complex in Drosophila melanogaster are HipHop and HOAP. HOAP is known for its role in binding to telomeres and protecting their DNA strand integrity; while HipHop works in conjunction to support the capping function.,HipHop: CG3376; HOAP: caravaggio (cav),1.00
few-shot,HipHop-HOAP telomere-capping complex,Drosophila melanogaster,N/A,This complex is essential for protecting the ends of chromosomes from degradation and undesirable end-to-end fusions; thus maintaining genome stability.,Heterochromatin Protein 1/ORC-Associated Protein (HP1/HOAP); HipHop protein,caravaggio (cav) for HOAP; CG31279 for HipHop,0.9125
contextual,HipHop-HOAP telomere-capping complex,Drosophila melanogaster,N/A,This complex plays a critical role in protecting telomeres; ensuring they are properly capped and preventing them from being recognized as DNA damage; which is pivotal for maintaining genomic stability.,HipHop; HOAP,CG31255 (for HipHop); caravaggio (cav; for HOAP),0.9125
zero-shot,ZFP-1(AF10)/DOT-1 Complex,*Caenorhabditis elegans*,The similar complex (DOT1L-associated proteins and function) is found in humans and mice but with different naming and potentially varied subunit compositions.,The ZFP-1(AF10)/DOT-1 complex in *Caenorhabditis elegans* is involved in transcriptional regulation; particularly impacting gene expression through the modification of chromatin. The complex affects H3K79 methylation; a critical histone modification involved in gene expression regulation during development and cell differentiation.,ZFP-1 (zinc finger protein 1) and DOT-1 (disruptor of telomeric silencing 1),zfp-1 and dot-1,0.93
few-shot,ZFP-1(AF10)/DOT-1 complex',C. elegans',Human; Mouse',The ZFP-1(AF10)/DOT-1 complex in C. elegans is involved in the regulation of gene expression through histone methylation; specifically affecting H3K79 methylation; which plays a key role in controlling transcription and development.',ZFP-1(AF10); DOT-1',zfp-1; dot-1',0.925
contextual,ZFP-1(AF10)/DOT-1 complex,C. elegans,Drosophila melanogaster; Human; Mouse,This complex is primarily involved in the regulation of gene expression during development by mediating histone methylation; specifically affecting the chromatin state and transcriptional activity of specific genes.,Zinc finger protein 1 homolog (ZFP-1); Disruptor of telomeric silencing one homolog (DOT-1),zfp-1; dot-1',0.925
zero-shot,CED-3-CED-4-MAC-1 Complex,C. elegans,While analogs of individual components (e.g.; caspases and APAF-1) can be found in humans and other animals such as mice and Drosophila; the exact CED-3-CED-4-MAC-1 complex is specifically characterized in *C. elegans*.,The ced-3-ced-4-mac-1 complex is vital for the regulation of programmed cell death or apoptosis in the nematode *Caenorhabditis elegans*. This complex promotes activation of the caspase CED-3; which executes apoptosis upon recruitment and activation by CED-4. MAC-1 is less characterized but is believed to play a supportive role in this complex formation and function.,CED-3; CED-4; MAC-1,ced-3; ced-4; mac-1,1.00
few-shot,CED-3-CED-4-MAC-1 complex',C. elegans',N/A',This complex plays a crucial role in the programmed cell death (apoptosis) pathway in C. elegans by facilitating the activation of the CED-3 protease; which is an essential executor caspase in apoptosis.',CED-3; CED-4; MAC-1',ced-3; ced-4; mac-1',0.9
contextual,ced-3-ced-4-mac-1 complex,*Caenorhabditis elegans*,N/A,This complex plays an integral role in the programmed cell death pathway in *Caenorhabditis elegans*. CED-3 is a caspase that is activated by the CED-4 protein; which is homologous to Apaf-1 in mammals. The MAC-1 component is less characterized but thought to assist in the apoptotic signaling cascade.,CED-3; CED-4; MAC-1,ced-3; ced-4; mac-1,0.946
zero-shot,Nuclear mitotic cohesin complex,Saccharomyces cerevisiae (budding yeast),This protein complex is found in homologous forms in other organisms such as Humans; Mouse; C. elegans; and Drosophila melanogaster.,The nuclear mitotic cohesin complex is primarily involved in sister chromatid cohesion during cell division; specifically during mitosis. It ensures proper chromosomes segregation; maintains genomic stability; and facilitates DNA repair.,The core components of the nuclear mitotic cohesin complex in Saccharomyces cerevisiae are Smc1; Smc3; Scc1 (also known as Mcd1); and Scc3. These proteins form a ring structure that entraps sister chromatids to maintain cohesion.,Smc1 is encoded by the *SMC1* gene.; Smc3 is encoded by the *SMC3* gene.; Scc1 (Mcd1) is encoded by the *SCC1* (or *MCD1*) gene.; Scc3 is encoded by the *SCC3* gene.,0.9125
few-shot,Nuclear mitotic cohesin complex,Saccharomyces cerevisiae,Human; Mouse; Drosophila melanogaster; C. elegans,This complex is crucial for sister chromatid cohesion during cell division; specifically in mitosis. It ensures that sister chromatids remain paired until they are appropriately separated into daughter cells.,Scc1; Smc1; Smc3; and Scc3.,SCC1; SMC1; SMC3; SCC3',0.9125
contextual,Nuclear mitotic cohesin complex',Saccharomyces cerevisiae',Human; Drosophila melanogaster; C. elegans; Mouse',This protein complex is crucial for maintaining sister chromatid cohesion during mitosis in eukaryotic cells. It ensures accurate chromosome segregation and is involved in DNA repair processes during cell division.',Scc1; Scc3; Smc1; Smc3; Pds5; Rad21',SCC1; SCC3; SMC1; SMC3; PDS5; RAD21',0.955
