Protein,Organism
['Nan'],Caenorhabditis Elegans
"['D dopamine receptor', 'Endothelin receptor type B']",Mus Musculus
"['Vps51p, Vps52p, Vps53p, and Vps54p']",Caenorhabditis Elegans
"['CALM-1, TMIE']",Caenorhabditis Elegans
"['elf3k, elf3l, elf3e, elf3c, elf3a, elf3m, elf3h, elf3f, elf3b, elf3g, elf3I, elf3d']",Caenorhabditis Elegans
['Dch1-8'],Drosophila Melanogaster
"['Alpha1, Alpha2, Alpha3, Alpha4, Alpha5, Alpha6, Alpha7, Alpha8, Beta1, Beta2, Beta3, Beta4, Beta5, Beta6, Beta7']",Drosophila Melanogaster
"['DNA Polymerase II B subunit', 'DNA Polymerase II B subunit', 'DNA Polymerase II B subunit', 'DNA polymerase epsilon catalytic subunit']",Saccharomyces cerevisiae
"['DNA Polymerase II B subunit', 'DNA Polymerase II B subunit', 'DNA Polymerase II B subunit', 'DNA polymerase epsilon catalytic subunit']",Saccharomyces cerevisiae
"['DNA Polymerase II B subunit', 'DNA Polymerase II B subunit', 'DNA Polymerase II B subunit', 'DNA polymerase epsilon catalytic subunit']",Saccharomyces cerevisiae
"['Subunit of the glycosylphosphatidylinositol transamidase complex', 'Subunit of the glycosylphosphatidylinositol transamidase complex', 'Subunit of the glycosylphosphatidylinositol transamidase complex', 'Transmembrane protein', 'Catalytic subunit of the ER membrane GPI transamidase complex']",Saccharomyces cerevisiae
"['dim ?-tubulin 2', 'dim ?-tubulin 3', 'dim ?-tubulin 4', 'dim ?-tubulin 5', 'dim ?-tubulin 6', 'mitotic spindle density 1', 'mitotic spindle density 5', 'wee Augmin']",Drosophila Melanogaster
"['dim ?-tubulin 2', 'dim ?-tubulin 3', 'dim ?-tubulin 4', 'dim ?-tubulin 5', 'dim ?-tubulin 6', 'mitotic spindle density 1', 'mitotic spindle density 5', 'wee Augmin']",Drosophila Melanogaster
"['Kinetochore-binding protein 3', 'KNL Binding Protein', 'Kinetochore protein ndc-80', 'Kinetochore protein Nuf2 homolog']",Caenorhabditis Elegans
"['Kinetochore NuLl', 'Human/fission yeast MIS homolog', 'KNL Binding Protein', 'Mediator of RNA polymerase II transcription subunit 21']",Caenorhabditis Elegans
"['Kinetochore NuLl', 'Human/fission yeast MIS homolog', 'KNL Binding Protein', 'Mediator of RNA polymerase II transcription subunit 21']",Caenorhabditis Elegans
"['Trappc3', 'Trappc6b', 'Trappc1', 'Trappc4', 'Trappc5', 'Trappc9', 'Trappc10', 'Trappc13', 'Trappc21']",Mus Musculus
"['Ccm2', 'Pdcd10', 'Knt1']",Mus Musculus
