Protein,Organism
"['Cytochrome b', 'Cytochrome c1', 'Rieske iron-sulfur protein', 'Ubiquinol-cytochrome c reductase complex subunit 6', 'Ubiquinol-cytochrome c reductase complex subunit 7', 'Ubiquinol-cytochrome c reductase complex subunit 8', 'Ubiquinol-cytochrome c reductase complex subunit 9', 'Ubiquinol-cytochrome c reductase complex subunit 10', 'Ubiquinol-cytochrome c reductase complex subunit 11']",Homo Sapiens
"['Cytochrome b', 'Cytochrome c1', 'Rieske iron-sulfur protein', 'Ubiquinol-cytochrome c reductase complex subunit 6', 'Ubiquinol-cytochrome c reductase complex subunit 7', 'Ubiquinol-cytochrome c reductase complex subunit 8', 'Ubiquinol-cytochrome c reductase complex subunit 9', 'Ubiquinol-cytochrome c reductase complex subunit 10', 'Ubiquinol-cytochrome c reductase complex subunit 11']",Homo Sapiens
"['Cytochrome b', 'Cytochrome c1', 'Rieske iron-sulfur protein', 'Ubiquinol-cytochrome c reductase complex subunit 6', 'Ubiquinol-cytochrome c reductase complex subunit 7', 'Ubiquinol-cytochrome c reductase complex subunit 8', 'Ubiquinol-cytochrome c reductase complex subunit 9', 'Ubiquinol-cytochrome c reductase complex subunit 10', 'Ubiquinol-cytochrome c reductase complex subunit 11']",Homo Sapiens
"['Cytochrome b', 'Cytochrome c1', 'Rieske iron-sulfur protein', 'Ubiquinol-cytochrome c reductase complex subunit 6', 'Ubiquinol-cytochrome c reductase complex subunit 7', 'Ubiquinol-cytochrome c reductase complex subunit 8', 'Ubiquinol-cytochrome c reductase complex subunit 9', 'Ubiquinol-cytochrome c reductase complex subunit 10', 'Ubiquinol-cytochrome c reductase complex subunit 11']",Homo Sapiens
"['Cytochrome b', 'Cytochrome c1', 'Rieske iron-sulfur protein', 'Ubiquinol-cytochrome c reductase complex subunit 6', 'Ubiquinol-cytochrome c reductase complex subunit 7', 'Ubiquinol-cytochrome c reductase complex subunit 8', 'Ubiquinol-cytochrome c reductase complex subunit 9', 'Ubiquinol-cytochrome c reductase complex subunit 10', 'Ubiquinol-cytochrome c reductase complex subunit 11']",Homo Sapiens
"['Cytochrome b', 'Cytochrome c1', 'Rieske iron-sulfur protein', 'Ubiquinol-cytochrome c reductase complex subunit 6', 'Ubiquinol-cytochrome c reductase complex subunit 7', 'Ubiquinol-cytochrome c reductase complex subunit 8', 'Ubiquinol-cytochrome c reductase complex subunit 9', 'Ubiquinol-cytochrome c reductase complex subunit 10', 'Ubiquinol-cytochrome c reductase complex subunit 11']",Homo Sapiens
"['Cytochrome b', 'Cytochrome c1', 'Ubiquinol-cytochrome c reductase complex subunit 7', 'Ubiquinol-cytochrome c reductase complex subunit 6', 'Ubiquinol-cytochrome c reductase core protein 2', 'Ubiquinol-cytochrome c reductase core protein 1', 'Ubiquinol-cytochrome c reductase complex subunit 8', 'Ubiquinol-cytochrome c reductase complex subunit 9', 'Ubiquinol-cytochrome c reductase complex subunit 10', 'Ubiquinol-cytochrome c reductase complex subunit 11']",Homo Sapiens
"['Cytochrome b', 'Cytochrome c1', 'Ubiquinol-cytochrome c reductase complex subunit 7', 'Ubiquinol-cytochrome c reductase complex subunit 6', 'Ubiquinol-cytochrome c reductase core protein 2', 'Ubiquinol-cytochrome c reductase core protein 1', 'Ubiquinol-cytochrome c reductase complex subunit 8', 'Ubiquinol-cytochrome c reductase complex subunit 9', 'Ubiquinol-cytochrome c reductase complex subunit 10', 'Ubiquinol-cytochrome c reductase complex subunit 11']",Homo Sapiens
"['Cytochrome b', 'Cytochrome c1', 'Ubiquinol-cytochrome c reductase complex subunit 7', 'Ubiquinol-cytochrome c reductase complex subunit 6', 'Ubiquinol-cytochrome c reductase core protein 2', 'Ubiquinol-cytochrome c reductase core protein 1', 'Ubiquinol-cytochrome c reductase complex subunit 8', 'Ubiquinol-cytochrome c reductase complex subunit 9', 'Ubiquinol-cytochrome c reductase complex subunit 10', 'Ubiquinol-cytochrome c reductase complex subunit 11']",Homo Sapiens
"['Cytochrome b', 'Cytochrome c1', 'Ubiquinol-cytochrome c reductase complex subunit 7', 'Ubiquinol-cytochrome c reductase complex subunit 6', 'Ubiquinol-cytochrome c reductase core protein 2', 'Ubiquinol-cytochrome c reductase core protein 1', 'Ubiquinol-cytochrome c reductase complex subunit 8', 'Ubiquinol-cytochrome c reductase complex subunit 9', 'Ubiquinol-cytochrome c reductase complex subunit 10', 'Ubiquinol-cytochrome c reductase complex subunit 11']",Homo Sapiens
