Technique,Complex Name,Organism,Other Organisms,Complex Function,Proteins,Genes,Confidence Score
zero-shot,H+/K+-ATPase complex,Homo sapiens (human),Mouse (Mus musculus),"The ATP4A-ATP4B complex functions as a proton pump that actively exchanges intracellular H+ ions for extracellular K+ ions, crucial for gastric acid secretion in gastric parietal cells.",- ATP4A (alpha subunit); - ATP4B (beta subunit),- ATP4A gene (also known as ATP4A or ATP4A gene in humans); - ATP4B gene (also known as ATP4B in humans),= (0.3 * 1.00) + (0.3 * 1.00) + (0.25 * 1.00) + (0.15 * 1.00); = 0.3 + 0.3 + 0.25 + 0.15; = 1.00
few-shot,ATP4A-ATP4B complex,Human,Found in Mouse (Mus musculus),"The ATP4A-ATP4B complex forms the gastric H+/K+ ATPase, a proton pump critical for secreting gastric acid in human stomach parietal cells. It maintains gastric pH by exchanging intracellular H+ ions for extracellular K+ ions, essential for digestion and gastric defense.",- ATP4A (H+/K+ ATPase alpha subunit); - ATP4B (H+/K+ ATPase beta subunit),- ATP4A gene; - ATP4B gene,(0.9 × 0.3) + (0.85 × 0.3) + (1.0 × 0.25) + (0.75 × 0.15) = 0.27 + 0.255 + 0.25 + 0.1125 = **0.8875**
contextual,ATP4A-ATP4B complex,Human,Mouse,"This complex is a component of the gastric H+/K+ ATPase, responsible for secreting gastric acid in the human stomach, thereby maintaining gastric pH and digestion.","ATP4A (alpha subunit), ATP4B (beta subunit)","ATP4A, ATP4B",(0.9 × 0.3) + (0.9 × 0.3) + (1.0 × 0.25) + (1.0 × 0.15) = 0.27 + 0.27 + 0.25 + 0.15 = **0.92**
zero-shot,Cytochrome bc1 Complex (Complex III),Saccharomyces cerevisiae (yeast) is a key model organism where the Cytochrome bc1 Complex is most extensively studied and characterized.,"The complex is also found in Drosophila melanogaster, C. elegans, humans, and mice, indicating a conserved presence across these species, but S. cerevisiae provides the most detailed data.","Facilitates electron transfer from ubiquinol to cytochrome c, contributing to the proton gradient used for ATP synthesis in oxidative phosphorylation.",- Cytochrome b (CYTB); - Rieske iron-sulfur protein (UQCRFS1); - Cytochrome c1 (CYTC1),- CYTB (source gene for cytochrome b); - RIP1 (gene for Rieske iron-sulfur protein); - CYTC1 (gene for cytochrome c1),0.87
few-shot,Cytochrome bc1 Complex (Complex III),Human,Saccharomyces cerevisiae (yeast),"In human mitochondria, the Cytochrome bc1 complex is a core component of the electron transport chain, facilitating electron transfer from ubiquinol to cytochrome c. This process contributes to the formation of a proton gradient across the inner mitochondrial membrane, which drives ATP synthesis.","- Cytochrome b (UQUB); - Cytochrome c1 (UQCR1); - Rieske iron-sulfur protein (UQCRFS1); - Ubiquinol-cytochrome c reductase complex subunit 7 (UQCRQ); - Ubiquinol-cytochrome c reductase complex subunit 10 (UQCR10); Corresponding Genes:; - CYTB; - UQCR1; - UQCRFS1; - UQCRQ; - UQCR10; Other Organisms that possess this complex:; - Saccharomyces cerevisiae (yeast); - *Note:* The complex is highly conserved in eukaryotes, but its structure and composition are most extensively characterized in humans and yeast.",,"(0.95 × 0.3) + (0.85 × 0.3) + (0.9 × 0.3) + (1.0 × 0.25) + (1.0 × 0.15) =; 0.285 + 0.255 + 0.27 + 0.25 + 0.15 = **1.21**; Since the maximum possible score is 1.0, we normalize:; Total raw score = 1.21 / (0.3 + 0.3 + 0.3 + 0.25 + 0.15) = 1.21 / 1.3 ≈ **0.93**; Final Confidence Score: **0.93**"
contextual,Cytochrome bc1 Complex (Complex III),Human,"Yeast (Saccharomyces cerevisiae), Drosophila melanogaster, C. elegans, Mouse (Mus musculus); - Saccharomyces cerevisiae: Contains homologous proteins with sequence similarity; genes include QCR genes (e.g., QCR1, QCR2, QCR6, QCR7, QCR8, QCR9, QCR10); - Drosophila melanogaster: Homologous proteins present, encoded by genes such as QCR/COX variants; - C. elegans: Homologous protein complexes with analogous subunits; - Mouse (Mus musculus): Similar complex with orthologous proteins encoded by similar genes","The cytochrome bc1 complex plays a central role in the mitochondrial electron transport chain in humans. It catalyzes electron transfer from ubiquinol to cytochrome c, coupled with proton translocation across the inner mitochondrial membrane, contributing to the proton gradient that drives ATP synthesis via oxidative phosphorylation.",,- UQCRQ gene; - UQCRB gene; - UQCRC1 gene; - UQCRC2 gene; - CYB gene; - UQCRH gene; - UQCRFS1 gene,(0.95 × 0.3) + (0.9 × 0.3) + (0.9 × 0.25) + (1.0 × 0.15) = 0.285 + 0.27 + 0.225 + 0.15 = **0.93**
zero-shot,Synaptonemal Complex,Human (Homo sapiens),"Mouse (Mus musculus), Drosophila melanogaster, Saccharomyces cerevisiae (the Synaptonemal Complex is specifically prominent and well-characterized in humans; in mice and Drosophila, comparable structures exist but are less studied, and Saccharomyces cerevisiae lacks a classic synaptonemal complex).","Facilitates homologous chromosome pairing, synapsis, and recombination during meiosis in humans, ensuring proper segregation and genetic diversity.","- SYCP1 (Synaptonemal complex protein 1); - SYCP2 (Synaptonemal complex protein 2); - SYCP3 (Synaptonemal complex protein 3); - SYCE1 (Synaptonemal complex embryo defective 1); - SYCE2, SYCE3; - TEX12","- SYCP1, SYCP2, SYCP3, SYCE1, SYCE2, SYCE3, TEX12; Self Confidence Score Calculation:; (Consistency: 0.3 × 1.00) + (Experimental Data: 0.3 × 1.00) + (Gene-Prot Mapping: 0.25 × 1.00) + (Organism Specificity: 0.15 × 1.00) = 0.3 + 0.3 + 0.25 + 0.15 = **1.00**",
few-shot,"Synaptonemal Complex (most prominent in mouse, Mus musculus)",,,"The synaptonemal complex in mice facilitates homologous chromosome pairing, synapsis, and recombination during meiotic prophase I. It structurally stabilizes homologous chromosomes, promotes crossover events, and ensures accurate segregation of chromosomes.; Proteins the complex consists of:; - SYCP1 (Synaptonemal complex protein 1); - SYCP2 (Synaptonemal complex protein 2); - SYCP3 (Synaptonemal complex protein 3); - SYCE1 (Synaptonemal complex central element protein 1); - SYCE2 (Synaptonemal complex central element protein 2); - TEX12 (Testis-expressed 12); - HORMAD1 (HORMA domain-containing protein 1); - HORMAD2 (HORMA domain-containing protein 2); Corresponding genes:; - SYCP1 (Sycp1); - SYCP2 (Sycp2); - SYCP3 (Sycp3); - SYCE1 (Syce1); - SYCE2 (Syce2); - TEX12 (Tex12); - HORMAD1 (Hormad1); - HORMAD2 (Hormad2); Other organisms where the protein complex is found:; While highly conserved, the mouse synaptonemal complex proteins share homologs in humans, suggesting functional similarity, but the specific delineation here emphasizes mouse-specific details.; Self Confidence Score calculation:; (Consistency across databases/sources: 0.9 × 0.30 = 0.27); (Supporting experimental data: 0.9 × 0.30 = 0.27); (Accuracy of protein-gene mapping: 1.0 × 0.25 = 0.25); (Specific to mouse: 1.0 × 0.15 = 0.15); Total confidence score: 0.27 + 0.27 + 0.25 + 0.15 = **0.87**",,,
contextual,Zip1-Zip3-Zip4 complex (Synaptonemal Complex - SC) in *Mus musculus* (Mouse),,"The orthologs of these proteins, particularly SYCP1, SYCP2, and SYCP3, are conserved across mammals (including humans) and some are present in *Gallus gallus* (chicken), but the complete complex as characterized in mice is most extensively studied and prominent in mice.","The synaptonemal complex in mice is a meiosis-specific proteinaceous structure that facilitates homologous chromosome pairing, synapsis, and recombination during prophase I of meiosis. It stabilizes homolog alignment and is essential for crossover formation and subsequent genetic diversity.",The core components include:,Corresponding genes encode these proteins:,(0.9 × 0.3) + (1.0 × 0.3) + (1.0 × 0.3) + (1.0 × 0.15) = 0.27 + 0.3 + 0.3 + 0.15 = **0.99**
zero-shot,GNA12-GPR55-RGS2 complex,Human,"The GNA12-GPR55-RGS2 complex is predominantly characterized in humans; there is limited or no evidence in Mouse, C. elegans, Drosophila melanogaster, or Saccharomyces cerevisiae.","This complex modulates G-protein coupled receptor (GPCR) signaling pathways, particularly involving G-protein alpha subunits (GNA12), the GPR55 receptor, and RGS2 which acts as a GTPase-activating protein to regulate G-protein activity, influencing cell proliferation, migration, and other signaling processes in humans.",- GNA12 (G protein subunit alpha 12); - GPR55 (G protein-coupled receptor 55); - RGS2 (Regulator of G-protein signaling 2),- GNA12 gene; - GPR55 gene; - RGS2 gene,= (0.3 * 0.85) + (0.3 * 0.80) + (0.25 * 1.00) + (0.15 * 0.90); = 0.255 + 0.24 + 0.25 + 0.135; = **0.88**
few-shot,GNA12-GPR55-RGS2 complex,Human,"The GNA12 homolog and RGS2 are conserved in Mouse, but the specific GPR55 receptor's ortholog and complex formation in other model organisms are less characterized.","This heterotrimeric complex is involved in GPCR-mediated signaling pathways, particularly regulating G protein signaling and downstream effectors such as RhoA and other small GTPases. GPR55 functions as a GPCR activated by lipid ligands like lysophosphatidylinositol (LPI), with GNA12 (a Gα12 subtype) transmitting signals, and RGS2 acting as a regulator to inactivate G proteins, thus modulating the duration and intensity of signaling events. It may also influence cellular processes such as proliferation, migration, and inflammation in human tissues.",,,(0.85 × 0.3) + (0.9 × 0.3) + (0.8 × 0.3) + (1.0 × 0.15) = 0.255 + 0.27 + 0.24 + 0.15 = **0.915**
contextual,GNA12-GPR55-RGS2 complex,Human,"No comprehensive evidence suggests this specific GNA12-GPR55-RGS2 complex exists in Mouse, C. elegans, Drosophila melanogaster, or Saccharomyces cerevisiae with the same interaction specificity; therefore, its prominence is primarily in humans.","This complex functions as part of G-protein coupled receptor (GPCR) signaling pathways in humans. GPR55 acts as a GPCR that, upon activation, interacts with heterotrimeric G proteins such as GNA12, leading to downstream signaling events involved in cell proliferation, migration, and possibly pathological processes like cancer progression. RGS2 serves as a Regulator of G protein Signaling by accelerating GTP hydrolysis on Gα subunits, thereby turning off G-protein signaling pathways. In humans, this complex modulates key physiological responses and may influence vascular, neurological, and immune functions.",- GNA12 (G-protein subunit alpha 12); - GPR55 (G-protein coupled receptor 55); - RGS2 (Regulator of G-protein Signaling 2),- GNA12 (Gene symbol: GNA12); - GPR55 (Gene symbol: GPR55); - RGS2 (Gene symbol: RGS2),
zero-shot,Melanocortin receptor 3 (MC3R),Human,"Not reported in Mouse, C. elegans, Drosophila melanogaster, or Saccharomyces cerevisiae.","G protein-coupled receptor involved in energy homeostasis, regulation of appetite, and immune modulation in humans.",- Melanocortin receptor 3 (MC3R),- MC3R,(0.3 * 1.00) + (0.3 * 0.95) + (0.25 * 1.00) + (0.15 * 1.00) = 0.30 + 0.285 + 0.25 + 0.15 = 0.985
few-shot,Melanocortin receptor 3 (MC3R) complex,Human,"- Mouse (Mus musculus); - Drosophila melanogaster (not prominent, but homologue exists); - C. elegans and Saccharomyces cerevisiae do not have direct homologues or functional equivalents of MC3R","MC3R is a G protein-coupled receptor involved in regulating energy homeostasis, feeding behavior, and immune responses primarily in mammals. It modulates appetite and is implicated in metabolic processes through signaling pathways that influence neuronal activity and peripheral tissue responses.",- Melanocortin receptor 3 (MC3R),- MC3R,(0.90 × 0.3) + (0.85 × 0.3) + (1.0 × 0.25) + (0.15) =; 0.27 + 0.255 + 0.25 + 0.15 = **0.925**
contextual,Melanocortin receptor 3 (MC3R) complex,Human,"Mouse (Mus musculus), with analogous MC3R homologs; negligible evidence for presence in C. elegans, Drosophila melanogaster, or Saccharomyces cerevisiae.; Confirmed presence of MC3R orthologs in mouse (Mus musculus). No well-established orthologs in C. elegans, Drosophila, or Saccharomyces cerevisiae.","MC3R is a G protein-coupled receptor (GPCR) involved primarily in energy homeostasis, regulation of feeding behavior, and modulating inflammatory responses in mammals, notably humans. It mediates melanocortin signaling pathways by binding melanocortin peptides such as α-MSH and ACTH, influencing appetite suppression, energy expenditure, and immune functions.",,,(0.90 × 0.30) + (0.85 × 0.30) + (1.00 × 0.25) + (0.90 × 0.15) = 0.27 + 0.255 + 0.25 + 0.135 = **0.91**
zero-shot,Human ATP1A1-TSHR complex,Human,"This specific ATP1A1-TSHR complex is primarily documented in humans; there is limited or no evidence for this exact complex in Mouse, C. elegans, Drosophila melanogaster, or Saccharomyces cerevisiae.","This complex involves the interaction between the sodium/potassium-transporting ATPase alpha-1 subunit (ATP1A1) and the thyroid-stimulating hormone receptor (TSHR). While ATP1A1 primarily functions in ion transport regulation and maintaining electrochemical gradients across the plasma membrane, TSHR is a G-protein-coupled receptor mediating thyroid hormone regulation. The interaction suggests a role in modulating thyroid cell function, possibly influencing ion homeostasis and receptor signaling pathways in thyroid physiology.",- ATP1A1 (Sodium/potassium-transporting ATPase subunit alpha-1); - TSHR (Thyroid-stimulating hormone receptor),- ATP1A1 gene; - TSHR gene,0.84
