Technique,Complex Name,Organism,Other Organisms,Complex Function,Proteins,Genes,Confidence Score
zero-shot,"ATP4A-ATP4B complex, also known as the gastric H+/K+ ATPase.",Human,"The ATP4A-ATP4B complex is primarily noted in humans. The specific arrangement and prominent role as a gastric proton pump are unique to the mammalian stomach physiology, with similar but not identical systems found in other vertebrates. The functional complex in this specific form is not noted in Mouse, C. elegans, Drosophila melanogaster, or Saccharomyces cerevisiae.","The ATP4A-ATP4B complex is primarily responsible for the acidification of the stomach lumen. It functions as a gastric proton pump, which exchanges H+ ions from the parietal cells into the gastric lumen in exchange for K+ ions. This H+/K+ exchange is crucial for maintaining the acidic environment necessary for digestive processes in the stomach.",,- **ATP4A**: Encoded by the **ATP4A** gene.; - **ATP4B**: Encoded by the **ATP4B** gene.,
few-shot,ATP4A-ATP4B complex',Human',N/A',"This is a part of the larger ATP4 or H+/K+ ATPase complex, a proton pump responsible for gastric acid secretion in the stomach.'","Potassium-transporting ATPase alpha chain 1, Potassium-transporting ATPase subunit beta'","ATP4A, ATP4B'",(1.0 × 0.3) + (0.95 × 0.3) + (1.0 × 0.25) + (1.0 × 0.15) = 0.30 + 0.285 + 0.25 + 0.15 = **0.985**'
contextual,ATP4A-ATP4B complex',Human',N/A',"This is part of the larger ATP4 or H+/K+ ATPase complex, a proton pump responsible for gastric acid secretion in the stomach.'","Potassium-transporting ATPase alpha chain 1, Potassium-transporting ATPase subunit beta'","ATP4A, ATP4B'",(0.95 × 0.3) + (0.9 × 0.3) + (1.0 × 0.25) + (1.0 × 0.15) = 0.285 + 0.27 + 0.25 + 0.15 = **0.955**'
zero-shot,** Cytochrome bc1 Complex (Complex III),** Saccharomyces cerevisiae (Baker's yeast),,**,**,,**
few-shot,Cytochrome bc1 Complex (Complex III)',Saccharomyces cerevisiae',"Human, Mouse, Drosophila melanogaster'",The Cytochrome bc1 Complex is a component of the mitochondrial respiratory chain involved in electron transfer from ubiquinol to cytochrome c. It plays a critical role in the generation of the proton motive force used in ATP synthesis.',"Cytochrome b, Cytochrome c1, Rieske iron-sulfur protein, Core protein 1 (QCR1), Core protein 2 (QCR2), Cytochrome c oxidase factor III (COX3), Cytochrome c oxidase factor VI (COX4), Ubiquinone-binding protein (QP-C)'","CYTB, CYC1, RIP1, QCR1, QCR2, COX3, COX4, QCR8'",(0.9 × 0.3) + (0.8 × 0.3) + (1.0 × 0.25) + (0.95 × 0.15) = 0.27 + 0.24 + 0.25 + 0.1425 = **0.9025**'
contextual,Cytochrome bc1 Complex (Complex III)',Saccharomyces cerevisiae (yeast)',"Human, Mouse, Drosophila melanogaster, C. elegans'","The Cytochrome bc1 Complex (Complex III) is a crucial component of the mitochondrial electron transport chain responsible for transferring electrons from ubiquinol to cytochrome c while translocating protons across the mitochondrial inner membrane, thus contributing to the proton-motive force essential for ATP synthesis.'","Cytochrome b, Cytochrome c1, Rieske iron-sulfur protein, Core protein 1, Core protein 2, Cytochrome b subunit 6, Cytochrome bc1 complex subunit 8, Cytochrome c1 heme lyase'","COB, CYC1, RIP1, COR1, QCR2, QCR6, QCR8, CYC3'",(0.9 × 0.3) + (0.85 × 0.3) + (0.95 × 0.25) + (0.9 × 0.15) = 0.27 + 0.255 + 0.2375 + 0.135 = **0.8975**'
zero-shot,Synaptonemal Complex,Saccharomyces cerevisiae (Baker's yeast),,"The synaptonemal complex is a protein structure that forms between homologous chromosomes (pairs of homologous chromosomes) during meiosis. Its main function is to facilitate the synapsis (physical pairing) of homologous chromosomes and aid in the process of homologous recombination and crossing over, which are crucial for genetic variation.",,,"0.3 * 0.9 + 0.3 * 0.9 + 0.25 * 0.95 + 0.15 * 0.95 = 0.27 + 0.27 + 0.2375 + 0.1425 = 0.92; Therefore, the self confidence score for the data findings is 0.92."
few-shot,Synaptonemal Complex',Saccharomyces cerevisiae',"C. elegans, Drosophila melanogaster, Mouse, Human'","The Synaptonemal Complex is a proteinaceous structure that forms between homologous chromosomes during meiosis in Saccharomyces cerevisiae. It serves a critical role in chromosome pairing, synapsis, and recombination.'","Zip1, Zip2, Zip3, Zip4, Red1, Hop1, Mek1'","ZIP1, ZIP2, ZIP3, ZIP4, RED1, HOP1, MEK1'",(0.9 × 0.3) + (0.85 × 0.3) + (0.9 × 0.25) + (1.0 × 0.15) = 0.27 + 0.255 + 0.225 + 0.15 = **0.9**'
contextual,Synaptonemal Complex',Saccharomyces cerevisiae',"Human, Mouse, C. elegans, Drosophila melanogaster'","The synaptonemal complex is a proteinaceous structure that forms between homologous chromosomes during the prophase of meiosis I. Its primary function is to provide a structural framework that facilitates the synapsis and recombination of homologous chromosomes, ensuring proper segregation during meiosis.'","Zip1, Zip2, Zip3, Hop1, Red1'","ZIP1, ZIP2, ZIP3, HOP1, RED1'",(0.9 × 0.3) + (0.85 × 0.3) + (0.95 × 0.25) + (0.9 × 0.15) = 0.27 + 0.255 + 0.2375 + 0.135 = **0.8975**'
zero-shot,** GNA12-GPR55-RGS2 Complex,** Human,"** As of the current knowledge, there is specific evidence for the existence and function of this protein complex primarily in humans. Comprehensive cross-species evidence for this specific complex is limited.","** The GNA12-GPR55-RGS2 complex is involved in signal transduction processes. GPR55 is known as a G protein-coupled receptor that can interact with the GNA12 protein, facilitating the activation of intracellular signaling pathways. The RGS2 protein acts as a regulator of G protein signaling, accelerating the termination of G protein signals, and thus modulating the signaling processes initiated by GPR55.",**,**,**; **
