Complex Name,Organism,Complex Function,Proteins,Genes,Other Organisms,Self Confidence Score
,** Human (Homo sapiens),,,,,
"ATP4A-ATP4B complex Complex Function: The ATP4A-ATP4B complex forms the gastric H+/K+-ATPase proton pump, which is essential for acidifying the gastric lumen by exchanging intracellular H+ ions for extracellular K+ ions. This process is critical for gastric acid secretion in parietal cells of the stomach, aiding digestion and maintaining stomach pH.","Human Other Organisms: Mouse (Mus musculus), to a lesser extent other mammals; not prominently characterized in Caenorhabditis elegans, Drosophila melanogaster, or Saccharomyces cerevisiae. Proteins: - Potassium-transporting ATPase alpha chain (ATP4A) - Potassium-transporting ATPase beta subunit (ATP4B) Genes: - ATP4A (gene encoding the alpha catalytic subunit) - ATP4B (gene encoding the beta regulatory subunit) Self Confidence Score: 0.97 **Rationale:** - Consistency of information across databases (e.g., UniProt, GeneCards, PubMed): High (0.28/0.30) - Supporting experimental data: The H+/K+-ATPase is well-studied with crystal structures, biochemical assays, and physiological studies extensively characterizing the alpha and beta subunits (0.29/0.30) - Protein-gene mapping accuracy: One-to-one mapping is well established in humans (0.25/0.25) - Organism specificity: The proton pump is most prominent and functionally central in humans and closely related mammals; specificity to human gastric physiology is well established (0.14/0.15)","The ATP4A-ATP4B complex forms the gastric H+/K+-ATPase proton pump, which is essential for acidifying the gastric lumen by exchanging intracellular H+ ions for extracellular K+ ions. This process is critical for gastric acid secretion in parietal cells of the stomach, aiding digestion and maintaining stomach pH. Organism: Human Other Organisms: Mouse (Mus musculus), to a lesser extent other mammals; not prominently characterized in Caenorhabditis elegans, Drosophila melanogaster, or Saccharomyces cerevisiae.",#NAME?,"- ATP4A (gene encoding the alpha catalytic subunit) - ATP4B (gene encoding the beta regulatory subunit) Self Confidence Score: 0.97 **Rationale:** - Consistency of information across databases (e.g., UniProt, GeneCards, PubMed): High (0.28/0.30) - Supporting experimental data: The H+/K+-ATPase is well-studied with crystal structures, biochemical assays, and physiological studies extensively characterizing the alpha and beta subunits (0.29/0.30) - Protein-gene mapping accuracy: One-to-one mapping is well established in humans (0.25/0.25) - Organism specificity: The proton pump is most prominent and functionally central in humans and closely related mammals; specificity to human gastric physiology is well established (0.14/0.15)","Mouse (Mus musculus), to a lesser extent other mammals; not prominently characterized in Caenorhabditis elegans, Drosophila melanogaster, or Saccharomyces cerevisiae. Proteins: - Potassium-transporting ATPase alpha chain (ATP4A) - Potassium-transporting ATPase beta subunit (ATP4B) Genes: - ATP4A (gene encoding the alpha catalytic subunit) - ATP4B (gene encoding the beta regulatory subunit)","0.97 **Rationale:** - Consistency of information across databases (e.g., UniProt, GeneCards, PubMed): High (0.28/0.30) - Supporting experimental data: The H+/K+-ATPase is well-studied with crystal structures, biochemical assays, and physiological studies extensively characterizing the alpha and beta subunits (0.29/0.30) - Protein-gene mapping accuracy: One-to-one mapping is well established in humans (0.25/0.25) - Organism specificity: The proton pump is most prominent and functionally central in humans and closely related mammals; specificity to human gastric physiology is well established (0.14/0.15)"
ATP4A-ATP4B complex,Human,"The ATP4A-ATP4B complex forms the functional gastric H+/K+-ATPase, a proton pump responsible for acid secretion in the parietal cells of the stomach. This enzyme actively transports protons (H+) into the gastric lumen in exchange for potassium ions (K+), enabling the highly acidic environment necessary for digestion and pathogen defense. It is critical for maintaining gastric pH homeostasis.","Potassium-transporting ATPase alpha chain 1 (ATP4A), Potassium-transporting ATPase subunit beta (ATP4B)","ATP4A, ATP4B",Mouse (Mus musculus),0.95
,,,,,,
Cytochrome bc1 Complex (Complex III),Human,"The Cytochrome bc1 Complex (Complex III) is an essential component of the mitochondrial electron transport chain. It catalyzes the transfer of electrons from ubiquinol (coenzyme Q) to cytochrome c while translocating protons across the inner mitochondrial membrane. This proton translocation contributes to the proton motive force used by ATP synthase to generate ATP. Complex III operates through the Q-cycle mechanism, facilitating efficient energy conversion and maintaining cellular respiration.",- Cytochrome b - Cytochrome c1 - Rieske iron-sulfur protein (also known as UQCRFS1) - UQCRC1 (Core protein 1) - UQCRC2 (Core protein 2) - UQCRH (cyt c1 Hinge protein) - UQCRB (Subunit 7) - UQCRQ (Subunit 8) - UQCR10 (Subunit 9) - UQCR11 (Subunit 11),#NAME?,"Complex III is highly conserved and found in many eukaryotes, including Saccharomyces cerevisiae (yeast), Drosophila melanogaster (fruit fly), Mouse, and Caenorhabditis elegans. However, the specific subunit composition may vary slightly, and the CYTB gene is mitochondrial-encoded across species.","0.95 - Consistency across databases/sources (0.30): 0.90 — Subunit identities and gene annotations are well-established and consistent across UniProt, NCBI, and Reactome. - Supporting experimental data (0.30): 0.98 — High-resolution structures (e.g., by X-ray crystallography and cryo-EM) and biochemical assays in human mitochondria support the subunit composition and function. - Accuracy of protein-gene mapping (0.25): 0.95 — Direct mapping is clear, including the mitochondrial-encoded CYTB. - Organism specificity (0.15): 0.92 — Data is specific to human Complex III; differences with other species are noted."
Cytochrome bc1 Complex (Complex III),Human,Cytochrome bc1 complex (Complex III) is an essential component of the mitochondrial electron transport chain. It catalyzes the transfer of electrons from ubiquinol (Coenzyme QH2) to cytochrome c while simultaneously pumping protons across the mitochondrial inner membrane. This proton translocation contributes to the proton motive force used by ATP synthase to generate ATP. The complex operates via the Q-cycle mechanism and plays a key role in cellular respiration and energy production.,"1. Cytochrome b 2. Cytochrome c1 3. Rieske iron-sulfur protein (ISP) 4. Core protein 1 5. Core protein 2 6. Cytochrome c1-associated proteins (such as several small subunits: UQCRH, UQCRB, UQCRQ, UQCR10, UQCR11)","1. MTCYB (mitochondrial gene encoding Cytochrome b) 2. UQCRC1 (encoding Core protein 1) 3. UQCRC2 (encoding Core protein 2) 4. CYC1 (encoding Cytochrome c1) 5. UQCRFS1 (encoding Rieske iron-sulfur protein) 6. UQCRH, UQCRB, UQCRQ, UQCR10, UQCR11 (encoding several small subunits)","The Cytochrome bc1 complex is conserved and found in various eukaryotes including Saccharomyces cerevisiae (yeast), Drosophila melanogaster (fruit fly), Caenorhabditis elegans (nematode), and mouse (Mus musculus). However, the analysis here is specifically focused on the human complex.",0.95
,,,,,,
"Synaptonemal Complex Complex Function: The synaptonemal complex (SC) is a proteinaceous structure that forms between homologous chromosomes during the prophase of meiosis I. It facilitates chromosome pairing (synapsis), promotes homologous recombination (crossing over), and ensures faithful segregation of homologues by stabilizing chromosome alignment.","Mouse (Mus musculus) Proteins and Corresponding Genes: The mouse SC is well-characterized and includes three major structural components: 1. Lateral Element Proteins: - SYCP2 (Synaptonemal Complex Protein 2) - SYCP3 (Synaptonemal Complex Protein 3) 2. Central Element Proteins: - SYCE1 (Synaptonemal Complex Central Element Protein 1) - SYCE2 (Synaptonemal Complex Central Element Protein 2) - SYCE3 (Synaptonemal Complex Central Element Protein 3) - TEX12 (Testis Expressed 12) 3. Transverse Filament Protein: - SYCP1 (Synaptonemal Complex Protein 1) Thus: - Proteins: SYCP1, SYCP2, SYCP3, SYCE1, SYCE2, SYCE3, TEX12 - Genes: Sycp1, Sycp2, Sycp3, Syce1, Syce2, Syce3, Tex12 Other Organisms: The SC is evolutionarily conserved but varies in composition across species: - Human: Homologous proteins exist (SYCP1, SYCP2, SYCP3, SYCE1-3, TEX12) - Mouse: As above (primary organism focus) - Saccharomyces cerevisiae: Different set of structural proteins (e.g., Zip1, Red1, Hop1) forming analogous SC. - Caenorhabditis elegans and Drosophila melanogaster: Have unique SC proteins differing in sequence but performing similar functions. Self Confidence Score: 0.95 (Consistency across mouse-specific meiotic studies and proteomic data is high, robust experimental characterization exists for protein-gene mapping and function, and analysis is focused specifically on mouse as the organism with extensive SC characterization.)","The synaptonemal complex (SC) is a proteinaceous structure that forms between homologous chromosomes during the prophase of meiosis I. It facilitates chromosome pairing (synapsis), promotes homologous recombination (crossing over), and ensures faithful segregation of homologues by stabilizing chromosome alignment. Organism: Mouse (Mus musculus) Proteins and Corresponding Genes: The mouse SC is well-characterized and includes three major structural components: 1. Lateral Element","- SYCP2 (Synaptonemal Complex Protein 2) - SYCP3 (Synaptonemal Complex Protein 3) 2. Central Element Proteins: - SYCE1 (Synaptonemal Complex Central Element Protein 1) - SYCE2 (Synaptonemal Complex Central Element Protein 2) - SYCE3 (Synaptonemal Complex Central Element Protein 3) - TEX12 (Testis Expressed 12) 3. Transverse Filament Protein: - SYCP1 (Synaptonemal Complex Protein 1) Thus: - Proteins: SYCP1, SYCP2, SYCP3, SYCE1, SYCE2, SYCE3, TEX12 -","The mouse SC is well-characterized and includes three major structural components: 1. Lateral Element Proteins: - SYCP2 (Synaptonemal Complex Protein 2) - SYCP3 (Synaptonemal Complex Protein 3) 2. Central Element Proteins: - SYCE1 (Synaptonemal Complex Central Element Protein 1) - SYCE2 (Synaptonemal Complex Central Element Protein 2) - SYCE3 (Synaptonemal Complex Central Element Protein 3) - TEX12 (Testis Expressed 12) 3. Transverse Filament Protein: - SYCP1 (Synaptonemal Complex Protein 1) Thus: - Proteins: SYCP1, SYCP2, SYCP3, SYCE1, SYCE2, SYCE3, TEX12 - Genes: Sycp1, Sycp2, Sycp3, Syce1, Syce2, Syce3, Tex12","The SC is evolutionarily conserved but varies in composition across species: - Human: Homologous proteins exist (SYCP1, SYCP2, SYCP3, SYCE1-3, TEX12) - Mouse: As above (primary organism focus) - Saccharomyces cerevisiae: Different set of structural proteins (e.g., Zip1, Red1, Hop1) forming analogous SC. - Caenorhabditis elegans and Drosophila melanogaster: Have unique SC proteins differing in sequence but performing similar functions.","0.95 (Consistency across mouse-specific meiotic studies and proteomic data is high, robust experimental characterization exists for protein-gene mapping and function, and analysis is focused specifically on mouse as the organism with extensive SC characterization.)"
Synaptonemal Complex (SC),Mouse (Mus musculus),"The synaptonemal complex is a meiosis-specific proteinaceous structure that forms between homologous chromosomes during the prophase I stage of meiosis. It plays a critical role in mediating and stabilizing homologous chromosome pairing (synapsis), facilitating homologous recombination and crossover formation, which are essential for accurate chromosome segregation and genetic diversity.",- SYCP1 (Synaptonemal complex protein 1) - SYCP2 (Synaptonemal complex protein 2) - SYCP3 (Synaptonemal complex protein 3) - TEX12 (Testis expressed protein 12) - SYCE1 (Synaptonemal complex central element protein 1) - SYCE2 (Synaptonemal complex central element protein 2) - SYCE3 (Synaptonemal complex central element protein 3) - C(3)G is absent in mouse; mouse SC does not have the Drosophila homolog.,#NAME?,"The synaptonemal complex is conserved and found in many eukaryotes undergoing meiosis, including Human (Homo sapiens), Mouse (Mus musculus), Saccharomyces cerevisiae (budding yeast), Caenorhabditis elegans, and Drosophila melanogaster, although the protein composition can differ notably across species. The above-listed proteins and genes specifically pertain to mouse SC.","0.95 Rationale for confidence score: - Consistency of information across databases and literature on mouse SC protein composition and gene mapping is high (~0.29 out of 0.30). - Strong experimental data including genetic knockout and structural studies support the listed proteins and their roles (~0.29 out of 0.30). - The protein-gene mapping is well established and validated by multiple sources (~0.24 out of 0.25). - The analysis is specifically focused on mouse, which is well-studied for SC but acknowledges other organisms only with respect to presence not detailed composition (~0.13 out of 0.15)."
,,,,,,
