Complex,Technique,LLM,Complex Function,Organism,Other Organisms,Proteins,Genes,Self Confidence Score
ATP4A-ATP4B complex,zero-shot,ChatGPT,PARSE ERROR,UNKNOWN,"Organism (most prominent):  
  Homo sapiens (Human)

Complex Name:  
  Gastric H⁺/K⁺‑ATPase (also called the gastric proton pump)

Function:  
  Catalyzes electroneutral exchange of intracellular H⁺ for extracellular K⁺ in gastric parietal cells, using energy from ATP hydrolysis to acidify the stomach lumen.

Constituent Proteins and Corresponding Genes:  
  • H⁺/K⁺‑ATPase α‑subunit  
    – Protein: ATP4A (also termed HKα)  
    – Gene: ATP4A (HGNC: 843)  
  • H⁺/K⁺‑ATPase β‑subunit  
    – Protein: ATP4B (also termed HKβ)  
    – Gene: ATP4B (HGNC: 844)

Other Organisms Where This Complex Is Found:  
  • Mus musculus (Mouse) – genes Atp4a, Atp4b  
  • Rattus norvegicus (Rat) – genes Atp4a, Atp4b  
  • Sus scrofa (Pig) – genes ATP4A, ATP4B  
  • Additional vertebrates (e.g., Danio rerio) possess orthologous H⁺/K⁺ ATPase subunits

Self‑Confidence Score Rationale (0.00–1.00):  
  • Cross‑database consistency (0.30): 0.27  
  • Experimental support (0.30): 0.27  
  • Protein–gene mapping accuracy (0.25): 0.25  
  • Organism specificity (0.15): 0.15  
  Total ≈ 0.94

Self‑Confidence Score: 0.94",,,
ATP4A-ATP4B complex,few-shot,ChatGPT,PARSE ERROR,UNKNOWN,"Complex Name: ATP4A–ATP4B H+/K+‑ATPase  
Organism: Homo sapiens  
Other Organisms: Mus musculus, Rattus norvegicus, Sus scrofa (and other mammals)  

Complex Function:  
This heterodimeric P‑type ATPase resides in the apical membrane of gastric parietal cells and mediates electroneutral exchange of cytoplasmic H+ for extracellular K+, driving gastric acid secretion. It is the pharmacological target of proton‑pump inhibitors (e.g., omeprazole).  

Proteins:  
 • H+/K+‑ATPase alpha subunit (ATP4A; ~103 kDa)  
 • H+/K+‑ATPase beta subunit (ATP4B; ~35 kDa)  

Genes:  
 • ATP4A (encodes the catalytic alpha subunit)  
 • ATP4B (encodes the glycosylated beta subunit required for pump assembly and trafficking)  

Self Confidence Score: 0.96  
(evaluated by cross‑database agreement, strong biochemical and pharmacological data, unambiguous protein–gene mapping, and organism specificity)",,,
ATP4A-ATP4B complex,contextual,ChatGPT,PARSE ERROR,UNKNOWN,"Complex Name: ATP4A‑ATP4B complex  
Organism: Human  
Complex Function: The ATP4A‑ATP4B complex forms the H⁺/K⁺‑ATPase (“gastric proton pump”) in gastric parietal cells. It hydrolyzes ATP to exchange intracellular H⁺ for extracellular K⁺, creating the highly acidic environment of the stomach lumen essential for digestion and pathogen defense.  
Proteins:  
 • Potassium‑transporting ATPase alpha chain 1 (H⁺/K⁺‑ATPase α‑subunit)  
 • Potassium‑transporting ATPase beta subunit (H⁺/K⁺‑ATPase β‑subunit)  
Genes:  
 • ATP4A (encodes the α‑subunit)  
 • ATP4B (encodes the β‑subunit)  
Other Organisms:  
This gastric H⁺/K⁺‑ATPase complex is conserved across mammals, including:  
 • Mus musculus (Mouse)  
 • Rattus norvegicus (Rat)  
 • Sus scrofa (Pig)  
 • Bos taurus (Cow)  
Self Confidence Score: 0.96",,,
Cytochrome bc1 Complex (Complex III),zero-shot,ChatGPT,PARSE ERROR,UNKNOWN,"Organism:  
Homo sapiens (Human)  

Complex Name:  
Mitochondrial respiratory chain complex III (Cytochrome bc₁ complex)  

Function:  
Complex III catalyzes the transfer of electrons from ubiquinol (QH₂) to cytochrome c and couples this redox reaction to proton translocation across the inner mitochondrial membrane. This reaction contributes to the proton‑motive force used by ATP synthase to produce ATP.  

Subunit composition and gene mapping (10 core subunits):  
1. Cytochrome b  
   – Gene: MT‑CYB (mitochondrially encoded)  
2. Cytochrome c₁  
   – Gene: CYC1  
3. Rieske iron–sulfur protein  
   – Gene: UQCRFS1  
4. Core protein I  
   – Gene: UQCRC1  
5. Core protein II  
   – Gene: UQCRC2  
6. Subunit 6 (also called the hinge protein)  
   – Gene: UQCRH  
7. Subunit 7  
   – Gene: UQCRB  
8. Subunit 8  
   – Gene: UQCRQ  
9. Subunit 9  
   – Gene: UQCR10  
10. Subunit 10  
    – Gene: UQCR11  

Other organisms in which a homologous bc₁ complex is found:  
– Mus musculus (Mouse)  
– Drosophila melanogaster (Fruit fly)  
– Caenorhabditis elegans (Nematode)  
– Saccharomyces cerevisiae (Baker's yeast)  
– Diverse bacteria (as the cytochrome bc₁ or b₆f family)  

Self‑confidence score: 0.92  
(Weights: cross‑database consistency 0.27, experimental support 0.27, mapping accuracy 0.23, organism specificity 0.15)",,,
Cytochrome bc1 Complex (Complex III),few-shot,ChatGPT,PARSE ERROR,UNKNOWN,"Complex Name: Ubiquinol–cytochrome c reductase complex (Cytochrome bc1 Complex, Complex III)  
Organism: Human  

Complex Function:  
Catalyzes electron transfer from ubiquinol (CoQH2) to cytochrome c while translocating protons across the mitochondrial inner membrane, thereby contributing to the proton-motive force used for ATP synthesis.  

Proteins (monomeric subunits; the functional enzyme is a dimer):  
• MT-CYB (Cytochrome b)  
• CYC1 (Cytochrome c1)  
• UQCRFS1 (Rieske iron–sulfur protein)  
• UQCRC1 (Core protein I)  
• UQCRC2 (Core protein II)  
• UQCRB (Subunit 7)  
• UQCRH (Hinge protein, subunit 8)  
• UQCRQ (Subunit 9)  
• UQCR10 (Subunit 10)  
• UQCR11 (Subunit 11)  

Genes encoding the nuclear‐encoded subunits:  
• MT-CYB (mitochondrial genome)  
• CYC1  
• UQCRFS1  
• UQCRC1  
• UQCRC2  
• UQCRB  
• UQCRH  
• UQCRQ  
• UQCR10  
• UQCR11  

Other Organisms:  
Mouse, Drosophila melanogaster, Caenorhabditis elegans, Saccharomyces cerevisiae (among virtually all eukaryotes and many bacteria with homologous cytochrome bc1 systems)  

Self Confidence Score: 0.97",,,
Cytochrome bc1 Complex (Complex III),contextual,ChatGPT,PARSE ERROR,UNKNOWN,"Complex Name: Ubiquinol–cytochrome‑c reductase (Cytochrome bc₁) Complex (Complex III)  
Organism: Saccharomyces cerevisiae  
Complex Function: Catalyzes the transfer of electrons from ubiquinol to cytochrome c in the mitochondrial inner membrane, coupling this redox reaction to proton translocation and thus contributing to the proton‑motive force used for ATP synthesis.  
Proteins (subunits):  
  • Cytochrome b  
  • Cytochrome c₁  
  • Rieske iron–sulfur protein  
  • Core protein 1  
  • Core protein 2  
  • Subunit 6  
  • Subunit 7  
  • Subunit 8  
  • Subunit 9  
  • Subunit 10  
Genes (subunit‑encoding):  
  • COB (mitochondrial genome)  
  • CYC1  
  • RIP1  
  • COR1  
  • COR2  
  • QCR6  
  • QCR7  
  • QCR8  
  • QCR9  
  • QCR10  
Other Organisms: Also conserved in Human, Mouse, Drosophila melanogaster, Caenorhabditis elegans  
Self Confidence Score: 0.93",,,
Synaptonemal Complex,zero-shot,ChatGPT,PARSE ERROR,UNKNOWN,"Organism:  
  Saccharomyces cerevisiae  

Complex Name:  
  Synaptonemal Complex (SC)  

Function:  
  The SC is a meiosis‐specific, tripartite proteinaceous structure that assembles between aligned homologous chromosomes. In S. cerevisiae it:  
   • Stabilizes homolog pairing during prophase I  
   • Promotes crossover formation and recombination  
   • Ensures proper homolog segregation at meiosis I  

Core Protein Components and Corresponding Genes:  
  1. Zip1 (ZIP1)  
     – Transverse filament protein; forms the central element's “cross‑bridges”  
  2. Red1 (RED1)  
     – Lateral/axial element scaffold; required for SC assembly initiation  
  3. Hop1 (HOP1)  
     – Lateral element component; promotes homolog synapsis and DSB repair bias  
  4. Ecm11 (ECM11)  
     – Central element component; undergoes SUMO‐dependent polymerization to stabilize the SC  
  5. Gmc2 (GMC2)  
     – Central element partner of Ecm11; critical for transverse filament incorporation  

Other Organisms with a Synaptonemal Complex:  
  • Homo sapiens (HORMAD1/2, SYCP1–3, TEX12, etc.)  
  • Mus musculus (Sycp1–3, Tex12, etc.)  
  • Caenorhabditis elegans (SYP‑1–4)  
  • Drosophila melanogaster (C(3)G, Corona)  

Self‑Confidence Score: 0.99  
  – Consistency across databases/sources (0.3): 1.00  
  – Supporting experimental data (0.3): 1.00  
  – Protein–gene mapping accuracy (0.25): 0.95  
  – Specificity to S. cerevisiae (0.15): 1.00  
  Weighted sum = 0.30 + 0.30 + 0.2375 + 0.15 = 0.9875 ≈ 0.99",,,
Synaptonemal Complex,few-shot,ChatGPT,PARSE ERROR,UNKNOWN,"Complex Name: Synaptonemal Complex  
Organism: Saccharomyces cerevisiae  

Complex Function:  
The synaptonemal complex (SC) in S. cerevisiae is a meiosis‑specific, proteinaceous scaffold that assembles between homologous chromosomes during prophase I. It promotes homolog pairing, stabilizes crossover recombination intermediates, ensures proper synapsis, and coordinates the resolution of double‑strand breaks into crossovers.  

Proteins (core components):  
• Zip1 (central element transverse filament)  
• Ecm11 (central element assembly factor)  
• Gmc2 (central element assembly factor)  
• Red1 (axial/lateral element)  
• Hop1 (axial/lateral element)  

Genes:  
• ZIP1  
• ECM11  
• GMC2  
• RED1  
• HOP1  

Other Organisms:  
The SC is conserved in eukaryotes. Homologous complexes and component families are found in:  
• Mammals (mouse, human) – SYCP1, SYCP2/3, TEX12, SYCEs  
• Caenorhabditis elegans – SYP‑1 through SYP‑4  
• Drosophila melanogaster – C(3)G, Corolla, Cona  

Self Confidence Score: 0.88  
(Consistency across sources: 0.30; Experimental support: 0.30; Protein‑gene mapping: 0.25; Organism‑specificity: 0.15)",,,
Synaptonemal Complex,contextual,ChatGPT,PARSE ERROR,UNKNOWN,"Complex Name: Synaptonemal Complex  
Organism: Homo sapiens  
Complex Function: A meiosis‑specific supramolecular scaffold that assembles between aligned homologous chromosomes. It promotes synapsis, crossover formation and crossover interference by stabilizing interhomolog recombination intermediates.  
Proteins:  
 • SYCP1 (transverse filament)  
 • SYCP2 (lateral element)  
 • SYCP3 (lateral element)  
 • SYCE1 (central element)  
 • SYCE2 (central element)  
 • SYCE3 (central element)  
 • TEX12 (central element)  
 • C14ORF39/SIX6OS1 (central element)  
Genes: SYCP1, SYCP2, SYCP3, SYCE1, SYCE2, SYCE3, TEX12, C14ORF39  
Other Organisms: Conserved in mammals (e.g., Mus musculus); central element components are vertebrate‑specific (absent in yeast and many invertebrates)  
Self Confidence Score: 0.95",,,
GNA12-GPR55-RGS2 complex,zero-shot,ChatGPT,PARSE ERROR,UNKNOWN,"Organism  
Human (Homo sapiens)

Complex name  
GNA12–GPR55–RGS2 signaling assembly

Function  
This transient ternary complex mediates lysophosphatidylinositol (LPI)–induced activation of G12-dependent pathways downstream of the GPR55 receptor. Upon LPI binding, GPR55 engages Gα12 (GNA12), promoting RhoA activation and cytoskeletal remodeling; RGS2 then attenuates signaling by accelerating GTP hydrolysis on GNA12.

Proteins in complex and their genes  
• GPR55 (G protein–coupled receptor 55) – gene: GPR55  
• GNA12 (G protein subunit alpha 12) – gene: GNA12  
• RGS2 (Regulator of G‑protein signaling 2) – gene: RGS2

Other organisms  
Orthologous proteins exist in mouse (Mus musculus), but a defined Gna12–Gpr55–Rgs2 complex has only been experimentally characterized in human cells.

Self‑confidence score: 0.58",,,
