Technique,Complex Name,Organism,Other Organisms,Complex Function,Proteins,Genes,Confidence Score
zero-shot,N/A,N/A,N/A,N/A,N/A,N/A,N/A
few-shot,N/A,N/A,N/A,"No information available. ""N/A"" does not represent a specific, annotated protein complex in the context of major model organisms or curated protein complex databases[1][2][3][4].",N/A,N/A,(0.0 × 0.3) + (0.0 × 0.3) + (0.0 × 0.25) + (0.0 × 0.15) = 0.0 + 0.0 + 0.0 + 0.0 = **0.00**
contextual,N/A,N/A,N/A,N/A,N/A,N/A,(0.00 × 0.3) + (0.00 × 0.3) + (0.00 × 0.25) + (0.00 × 0.15) = **0.00**
zero-shot,N/A,N/A,N/A,N/A,N/A,N/A,N/A
few-shot,N/A,N/A,N/A,N/A,N/A,N/A,(0.00 × 0.3) + (0.00 × 0.3) + (0.00 × 0.25) + (0.00 × 0.15) = **0.00**
contextual,N/A,N/A,N/A,N/A,N/A,N/A,N/A
zero-shot,N/A,N/A,N/A,N/A,N/A,N/A,N/A
few-shot,N/A,N/A,N/A,N/A,N/A,N/A,(0.0 × 0.3) + (0.0 × 0.3) + (0.0 × 0.25) + (0.0 × 0.15) = 0.0 + 0.0 + 0.0 + 0.0 = **0.00**
contextual,N/A,N/A,N/A,N/A,N/A,N/A,(0.00 × 0.3) + (0.00 × 0.3) + (0.00 × 0.25) + (0.00 × 0.15) = **0.00**
zero-shot,N/A,N/A,N/A,N/A,N/A,N/A,1.00
few-shot,N/A,N/A,N/A,N/A,N/A,N/A,(0.00 × 0.3) + (0.00 × 0.3) + (0.00 × 0.25) + (0.00 × 0.15) = **0.00**
contextual,N/A,N/A,N/A,Insufficient information.,N/A,N/A,(0.00 × 0.3) + (0.00 × 0.3) + (0.00 × 0.25) + (0.00 × 0.15) = **0.00**
zero-shot,N/A,1.00 (information provided is focused on humans with clear notes on mouse studies)[2][3][5],N/A,N/A,N/A,N/A,0.97
few-shot,N/A,N/A,N/A,N/A,N/A,N/A,\[
contextual,N/A,N/A,N/A,N/A,N/A,N/A,(0.0 × 0.3) + (0.0 × 0.3) + (0.0 × 0.25) + (0.0 × 0.15) = **0.00**
zero-shot,N/A,N/A,N/A,N/A,"ATP1A1 (the alpha-1 subunit of Na⁺/K⁺-ATPase) and TSHR (thyroid stimulating hormone receptor). TSHR is crucial for regulating thyroid gland development, growth, and hormone secretion, serving as the primary receptor for thyrotropin (TSH)[1][3][4][5]. ATP1A1 is a key component of the Na⁺/K⁺-ATPase, which maintains electrochemical gradients across the plasma membrane—a fundamental process for cell function and signaling[2]. While TSHR’s functions in thyroid regulation and autoimmunity (notably Graves’ disease) are well-characterized[1][3][4][5], evidence for a specific and direct ATP1A1-TSHR protein complex in humans is limited, and the mechanistic details of any such interaction remain to be thoroughly defined in experimental studies.",N/A,N/A
few-shot,N/A,N/A,N/A,N/A,N/A,N/A,N/A
contextual,NatA complex',Human',Yeast (Saccharomyces cerevisiae)',"NatA is one of the major N-terminal acetyltransferases (NATs) responsible for co-translational N-terminal protein acetylation, which affects protein stability, function, localization, degradation, interaction, and complex formation. This irreversible N-terminal acetyl mark regulates many cellular phenotypes including cellular morphology, phosphorylation, sister chromatid cohesion, protein degradation, and protein-protein interactions.'",The search results do not provide the specific protein subunits that make up the human NatA complex.',The search results do not provide the specific genes encoding the NatA complex subunits.',(0.4 × 0.3) + (0.5 × 0.3) + (0.0 × 0.25) + (0.8 × 0.15) = 0.12 + 0.15 + 0.0 + 0.12 = **0.39**'
zero-shot,N/A,N/A,N/A,N/A,N/A,N/A,N/A
few-shot,N/A,N/A,N/A,N/A,N/A,N/A,(0.00 × 0.3) + (0.00 × 0.3) + (0.00 × 0.25) + (0.00 × 0.15) = 0.00 + 0.00 + 0.00 + 0.00 = **0.00**
contextual,N/A,N/A,N/A,N/A,N/A,N/A,N/A
zero-shot,N/A,N/A,N/A,N/A,N/A,N/A,(0.20 × 0.30) + (0.00 × 0.30) + (0.25 × 0.25) + (0.15 × 0.15) = 0.145
few-shot,N/A,N/A,N/A,N/A,N/A,N/A,\((0.0 \times 0.3) + (0.0 \times 0.3) + (0.0 \times 0.25) + (0.0 \times 0.15) = 0.00\)
contextual,N/A,N/A,N/A,N/A,N/A,N/A,N/A
zero-shot,N/A,N/A,N/A,N/A,N/A,N/A,N/A
few-shot,Human NatA Complex,Human,"The NatA complex is found in other metazoans, such as Drosophila melanogaster and C. elegans, but its specific functions and structures might vary.","The human NatA complex is involved in co-translational N-terminal protein acetylation, which regulates various protein functions including degradation, folding, interprotein interactions, and targeting[2].",- **Naa10** (catalytic subunit),"- **NAA10** (codes for Naa10, also known as Ard1)",N/A
contextual,Human NatA Complex,Human,"The NatA complex is conserved and found in multiple eukaryotes, including Saccharomyces cerevisiae (budding yeast), Schizosaccharomyces pombe (fission yeast), and other metazoans. However, the composition and regulatory mechanisms are most extensively characterized in humans[2][5].","The Human NatA (Nα-acetyltransferase A) complex catalyzes co-translational N-terminal acetylation of nascent polypeptides as they emerge from the ribosome. This modification affects multiple aspects of protein biology, including degradation, folding, protein-protein interactions, and subcellular targeting[1][2][5].",- Naa10 (also known as hArd1),- NAA10 (encodes Naa10 protein),"- Consistency across databases/source material: 1.00 (strong concordance across structural, biochemical, and review sources)"
zero-shot,N/A,N/A,N/A,N/A,N/A,N/A,N/A
few-shot,N/A,N/A,N/A,N/A,N/A,N/A,(0.0 × 0.3) + (0.0 × 0.3) + (0.0 × 0.25) + (0.0 × 0.15) = 0.00 + 0.00 + 0.00 + 0.00 = **0.00**
contextual,N/A,N/A,N/A,N/A,N/A,N/A,(0.0 × 0.3) + (0.0 × 0.3) + (0.0 × 0.25) + (0.0 × 0.15) = **0.00**
zero-shot,N/A,N/A,N/A,N/A,N/A,N/A,N/A
few-shot,N/A,N/A,N/A,N/A,N/A,N/A,(0.00 × 0.3) + (0.00 × 0.3) + (0.00 × 0.25) + (0.00 × 0.15) = **0.00**
contextual,N-terminal acetyltransferase complex (NatA),Human,"Yeast (Saccharomyces cerevisiae), Mouse, Drosophila melanogaster, C. elegans","The human NatA complex is responsible for co-translational N-terminal acetylation, a highly prevalent protein modification affecting approximately 85% of the human proteome. This modification regulates protein stability, function, localization, degradation, interactions, and cellular processes, and aberrations in NatA function are linked to diseases such as cancer and neurological disorders[2][1].",- NAA10 (catalytic subunit),- NAA10,(1.0 × 0.3) + (1.0 × 0.3) + (1.0 × 0.25) + (1.0 × 0.15) = 0.3 + 0.3 + 0.25 + 0.15 = **1.00**
zero-shot,N/A,N/A,N/A,N/A,N/A,N/A,N/A
few-shot,N/A,N/A,N/A,N/A,N/A,N/A,(0.00 × 0.3) + (0.00 × 0.3) + (0.00 × 0.25) + (0.00 × 0.15) = 0.00 + 0.00 + 0.00 + 0.00 = **0.00**
contextual,N/A,N/A,N/A,N/A,N/A,N/A,(0.00 × 0.3) + (0.00 × 0.3) + (0.00 × 0.25) + (0.00 × 0.15) = **0.00**
zero-shot,N/A,N/A,N/A,N/A,N/A,N/A,1.00
few-shot,N/A,N/A,N/A,N/A,N/A,N/A,N/A
contextual,N/A,N/A,N/A,N/A,N/A,N/A,(0.0 × 0.3) + (0.0 × 0.3) + (0.0 × 0.25) + (0.0 × 0.15) = 0.00 + 0.00 + 0.00 + 0.00 = **0.00**
zero-shot,N/A,N/A,N/A,N/A,N/A,N/A,N/A
few-shot,N/A,N/A,N/A,N/A,N/A,N/A,(0.0 × 0.3) + (0.0 × 0.3) + (0.0 × 0.25) + (0.0 × 0.15) = **0.00**
contextual,N/A,N/A,N/A,N/A,N/A,N/A,(1.0 × 0.3) + (0.0 × 0.3) + (0.0 × 0.25) + (0.0 × 0.15) = 0.3 + 0.0 + 0.0 + 0.0 = **0.30**
zero-shot,N/A,N/A,N/A,N/A,N/A,N/A,N/A
few-shot,Not specified in search results',Human',Not specified for a particular complex',"The search results discuss various human protein complexes involved in core biological processes including mRNA splicing, transcription, protein acetylation, and other cellular functions, but do not specify a single complex labeled as ""N/A""'","The search results mention a catalog of 622 putative protein complexes from human cells, but do not specify components of a single complex labeled ""N/A""'",Not specified for a particular complex',(0.0 × 0.3) + (0.0 × 0.3) + (0.0 × 0.25) + (0.0 × 0.15) = 0 + 0 + 0 + 0 = **0.00**'
contextual,Anaphase-Promoting Complex (APC/C),Saccharomyces cerevisiae,"The APC/C is evolutionarily conserved and found in other eukaryotes, including human, mouse, C. elegans, and Drosophila melanogaster.","The Anaphase-Promoting Complex, also known as the cyclosome (APC/C), is an essential E3 ubiquitin ligase complex that regulates progression through specific phases of the cell cycle. Its primary role is to trigger the transition from metaphase to anaphase by targeting cell-cycle proteins (such as securin and cyclins) for ubiquitination and subsequent degradation, ensuring proper chromosome segregation and coordination of cell division[5].","In Saccharomyces cerevisiae, the core APC/C consists of several subunits. Four key cell-division control proteins—Cdc16, Cdc23, Cdc26, and Cdc27—form the backbone, together with seven additional subunits, thus totaling eleven proteins in the complex[5].",The corresponding genes for the known protein subunits in S. cerevisiae are:,Calculation based on the grading conventions:
zero-shot,N/A,N/A,N/A,N/A,N/A,N/A,N/A
few-shot,N/A',N/A',N/A',N/A',N/A',N/A',(0.0 × 0.3) + (0.0 × 0.3) + (0.0 × 0.25) + (0.0 × 0.15) = 0 + 0 + 0 + 0 = **0.0**'
contextual,NatC (N-terminal acetyltransferase C) complex,Human,"The NatC complex is also found in other eukaryotes, including Mouse, C. elegans, Drosophila melanogaster, and Saccharomyces cerevisiae, but the context here is specific to human[1].","The NatC complex is a major eukaryotic N-terminal acetyltransferase (NAT). It catalyzes co-translational N-terminal acetylation, a protein modification where an acetyl group is transferred to the α-amino group of the first amino acid of specific substrate proteins. This modification, present on over 80% of human proteins, influences protein stability, localization, degradation, interactions, and function. NatC is essential for maintaining proper protein homeostasis and regulation in human cells[1].",- NAA30 (catalytic subunit),- NAA30,(1.0 × 0.3) + (1.0 × 0.3) + (1.0 × 0.25) + (1.0 × 0.15) = 0.3 + 0.3 + 0.25 + 0.15 = **1.00**
