Protein,Organism
"['H+/K+-ATPase alpha subunit', 'H+/K+-ATPase beta subunit']",Homo Sapiens
"['H+/K+-ATPase alpha subunit', 'H+/K+-ATPase beta subunit']",Homo Sapiens
"['H⁺/K⁺-ATPase alpha subunit', 'H⁺/K⁺-ATPase beta subunit']",Homo Sapiens
"['H⁺/K⁺-ATPase alpha subunit', 'H⁺/K⁺-ATPase beta subunit']",Homo Sapiens
"['Cytochrome b - Core catalytic subunit', 'Cytochrome c1 - Core catalytic subunit', 'Rieske iron-sulfur protein', 'Core protein 1', 'Core protein 2', 'Subunit 6', 'Subunit 7', 'Subunit 8', 'Subunit 9', 'Subunit 10']",Saccharomyces cerevisiae
"['Cytochrome b - Core catalytic subunit', 'Cytochrome c1 - Core catalytic subunit', 'Rieske iron-sulfur protein', 'Core protein 1', 'Core protein 2', 'Subunit 6', 'Subunit 7', 'Subunit 8', 'Subunit 9', 'Subunit 10']",Saccharomyces cerevisiae
"['Zip1', 'Zip2', 'Zip3', 'Zip4', 'Ecm11', 'Gmc2', 'Red1', 'Hop1', 'Spo76/Pds5']",Saccharomyces cerevisiae
"['Bradykinin receptor B2', 'Thromboxane A2 receptor']",Mus Musculus
"['Bradykinin receptor B2', 'Thromboxane A2 receptor']",Mus Musculus
"['Bradykinin receptor B2', 'Thromboxane A2 receptor']",Mus Musculus
"['Eyes shut homolog', 'G-protein coupled receptor 179']",Mus Musculus
"['EGF-like', 'fibronectin type III and laminin G domains protein', 'G-protein coupled receptor 179']",Mus Musculus
"['CEACAM1-4L', 'SYK', 'TLR4']",Mus Musculus
"['Carcinoembryonic antigen-related cell adhesion molecule 1', 'CEACAM1-4L', 'Spleen tyrosine kinase', 'Toll-like receptor 4']",Mus Musculus
"['Carcinoembryonic antigen-related cell adhesion molecule 1 isoform 4L', 'Spleen tyrosine kinase', 'Toll-like receptor 4']",Mus Musculus
"['KDR', 'NRP1', 'VEGF165']",Homo Sapiens
"['Vascular endothelial growth factor receptor 2', 'Neuropilin-1', 'Vascular endothelial growth factor A isoform 165']",Homo Sapiens
"['Vascular endothelial growth factor receptor 2', 'Neuropilin-1', 'Vascular endothelial growth factor A isoform 165']",Homo Sapiens
"['Neuropilin-1: A transmembrane glycoprotein that acts as a co-receptor for VEGF', 'Vascular Endothelial Growth Factor A', 'VEGF121']",Homo Sapiens
"['Neuropilin-1: A transmembrane glycoprotein that acts as a co-receptor for VEGF', 'Vascular Endothelial Growth Factor A', 'VEGF121']",Homo Sapiens
"['Neuropilin-1', 'Vascular Endothelial Growth Factor A', 'isoform 121']",Homo Sapiens
"['VEGFR2 or Vascular Endothelial Growth Factor Receptor 2', 'VEGF165']",Homo Sapiens
"['Transmembrane channel-like protein 2', 'Transmembrane inner ear protein', 'Lipoma HMGIC fusion partner-like 5 protein', 'Calcium and integrin-binding family member 2']",Mus Musculus
"['KAT5', 'TRRAP', 'EP400', 'RUVBL1', 'RUVBL2', 'DMAP1', 'BRD8', 'MRGBP', 'MORF4L1', 'MORF4L2', 'MEAF6', 'VPS72', 'ING3', 'YEATS4: YEATS domain protein', 'ACTL6A', 'EPC1', 'EPC2']",Homo Sapiens
"['Tip60', 'Domino', 'E', 'dMrg15', 'dMrgBP', 'Brd8', 'dIng3', 'dYL-1', 'dEaf6', 'dGas41', 'dRuvbl1', 'dRuvbl2', 'dTra1']",Drosophila Melanogaster
"['Tip60', 'Domino', 'E', 'dMrg15', 'dMrgBP', 'Brd8', 'dIng3', 'dYL-1', 'dEaf6', 'dGas41', 'dRuvbl1', 'dRuvbl2', 'dTra1']",Drosophila Melanogaster
"['CSN1/GPS1', 'CSN2/COPS2', 'CSN3/COPS3', 'CSN4/COPS4', 'CSN5/COPS5/JAB1', 'CSN6/COPS6', 'CSN7A/COPS7A', 'CSN7B/COPS7B', 'CSN8/COPS8']",Homo Sapiens
"['CSN1/GPS1', 'CSN2/COPS2', 'CSN3/COPS3', 'CSN4/COPS4', 'CSN5/COPS5/JAB1', 'CSN6/COPS6', 'CSN7A/COPS7A', 'CSN7B/COPS7B', 'CSN8/COPS8']",Homo Sapiens
"['CSN1/GPS1', 'CSN2/COPS2', 'CSN3/COPS3', 'CSN4/COPS4', 'CSN5/COPS5/JAB1', 'CSN6/COPS6', 'CSN7A/COPS7A', 'CSN7B/COPS7B', 'CSN8/COPS8']",Homo Sapiens
"['CSN1/GPS1', 'CSN2/COPS2', 'CSN3/COPS3', 'CSN4/COPS4', 'CSN5/COPS5/JAB1', 'CSN6/COPS6', 'CSN7A/COPS7A', 'CSN7B/COPS7B', 'CSN8/COPS8']",Homo Sapiens
"['CSN1/GPS1', 'CSN2/COPS2', 'CSN3/COPS3', 'CSN4/COPS4', 'CSN5/COPS5/JAB1', 'CSN6/COPS6', 'CSN7A/COPS7A', 'CSN7B/COPS7B', 'CSN8/COPS8']",Homo Sapiens
"['CSN1/GPS1', 'CSN2/COPS2', 'CSN3/COPS3', 'CSN4/COPS4', 'CSN5/COPS5/JAB1', 'CSN6/COPS6', 'CSN7A/COPS7A', 'CSN7B/COPS7B', 'CSN8/COPS8']",Homo Sapiens
"['CSN1/GPS1', 'CSN2/COPS2', 'CSN3/COPS3', 'CSN4/COPS4', 'CSN5/COPS5/JAB1', 'CSN6/COPS6', 'CSN7A/COPS7A', 'CSN7B/COPS7B', 'CSN8/COPS8']",Homo Sapiens
"['CSN1/GPS1', 'CSN2/COPS2', 'CSN3/COPS3', 'CSN4/COPS4', 'CSN5/COPS5/JAB1', 'CSN6/COPS6', 'CSN7A/COPS7A', 'CSN7B/COPS7B', 'CSN8/COPS8']",Homo Sapiens
"['CSN1/GPS1', 'CSN2/COPS2', 'CSN3/COPS3', 'CSN4/COPS4', 'CSN5/COPS5/JAB1', 'CSN6/COPS6', 'CSN7A/COPS7A', 'CSN7B/COPS7B', 'CSN8/COPS8']",Homo Sapiens
"['Pre6p', 'Pre5p', 'Pup2p', 'Pre9p', 'Pre8p', 'Scl1p', 'Pre10p', 'Pre3p', 'Pup1p', 'Pre2p', 'Pre1p', 'Pre7p', 'Pre4p', 'Pup3p']",Saccharomyces cerevisiae
"['Pre6p', 'Pre5p', 'Pup2p', 'Pre9p', 'Pre8p', 'Scl1p', 'Pre10p', 'Pre3p', 'Pup1p', 'Pre2p', 'Pre1p', 'Pre7p', 'Pre4p', 'Pup3p']",Saccharomyces cerevisiae
"['Pre6p', 'Pre5p', 'Pup2p', 'Pre9p', 'Pre8p', 'Scl1p', 'Pre10p', 'Pre3p', 'Pup1p', 'Pre2p', 'Pre1p', 'Pre7p', 'Pre4p', 'Pup3p']",Saccharomyces cerevisiae
"['Pre6p', 'Pre5p', 'Pup2p', 'Pre9p', 'Pre8p', 'Scl1p', 'Pre10p', 'Pre3p', 'Pup1p', 'Pre2p', 'Pre1p', 'Pre7p', 'Pre4p', 'Pup3p']",Saccharomyces cerevisiae
"['Pre6p', 'Pre5p', 'Pup2p', 'Pre9p', 'Pre8p', 'Scl1p', 'Pre10p', 'Pre3p', 'Pup1p', 'Pre2p', 'Pre1p', 'Pre7p', 'Pre4p', 'Pup3p']",Saccharomyces cerevisiae
"['HCN1', 'HCN2', 'HCN3', 'HCN4', 'These proteins form homo- or heterotetrameric channel complexes with varying subunit compositions', 'leading to channels with different properties.']",Homo Sapiens
"['HCN1', 'HCN2', 'HCN3', 'HCN4', 'These proteins form homo- or heterotetrameric channel complexes with varying subunit compositions', 'leading to channels with different properties.']",Homo Sapiens
"['Hyperpolarization-activated cyclic nucleotide-gated potassium channel 1', 'Hyperpolarization-activated cyclic nucleotide-gated potassium channel 2', 'Hyperpolarization-activated cyclic nucleotide-gated potassium channel 3', 'Hyperpolarization-activated cyclic nucleotide-gated potassium channel 4']",Homo Sapiens
"['Hyperpolarization-activated cyclic nucleotide-gated potassium channel 1', 'Hyperpolarization-activated cyclic nucleotide-gated potassium channel 2', 'Hyperpolarization-activated cyclic nucleotide-gated potassium channel 3', 'Hyperpolarization-activated cyclic nucleotide-gated potassium channel 4']",Homo Sapiens
"['Cyclin-dependent kinase PHO85', 'Cyclin PHO80']",Saccharomyces cerevisiae
"['Cog1p', 'Cog2p', 'Cog3p', 'Cog4p', 'Cog5p', 'Cog6p', 'Cog7p', 'Cog8p']",Saccharomyces cerevisiae
"['Cog1p', 'Cog2p', 'Cog3p', 'Cog4p', 'Cog5p', 'Cog6p', 'Cog7p', 'Cog8p']",Saccharomyces cerevisiae
"['Cog1p', 'Cog2p', 'Cog3p', 'Cog4p', 'Cog5p', 'Cog6p', 'Cog7p', 'Cog8p']",Saccharomyces cerevisiae
"['Cog1p', 'Cog2p', 'Cog3p', 'Cog4p', 'Cog5p', 'Cog6p', 'Cog7p', 'Cog8p']",Saccharomyces cerevisiae
"['Cog1p', 'Cog2p', 'Cog3p', 'Cog4p', 'Cog5p', 'Cog6p', 'Cog7p', 'Cog8p']",Saccharomyces cerevisiae
"['Cog1p', 'Cog2p', 'Cog3p', 'Cog4p', 'Cog5p', 'Cog6p', 'Cog7p', 'Cog8p']",Saccharomyces cerevisiae
"['GPI transamidase component GAA1', 'GPI transamidase component GPI8', 'GPI transamidase component PIG-S homolog', 'GPI transamidase component PIG-T homolog', 'GPI transamidase component GPI16']",Saccharomyces cerevisiae
"['GPI transamidase component GAA1', 'GPI transamidase component GPI8', 'GPI transamidase component PIG-S homolog', 'GPI transamidase component PIG-T homolog', 'GPI transamidase component GPI16']",Saccharomyces cerevisiae
"['GPI transamidase component GAA1', 'GPI transamidase component GPI8', 'GPI transamidase component PIG-S homolog', 'GPI transamidase component PIG-T homolog', 'GPI transamidase component GPI16']",Saccharomyces cerevisiae
"['Gpi14p - catalytic subunit', 'Pga1p - stabilizing subunit']",Saccharomyces cerevisiae
"['Gpi14p - catalytic subunit', 'Pga1p - stabilizing subunit']",Saccharomyces cerevisiae
"['Glycosylphosphatidylinositol-mannosyltransferase I', 'GPI mannosyltransferase 1 subunit']",Saccharomyces cerevisiae
"['Glycosylphosphatidylinositol-mannosyltransferase I', 'GPI mannosyltransferase 1 subunit']",Saccharomyces cerevisiae
"['GPI-mannosyltransferase I subunit', 'GPI-mannosyltransferase I subunit', 'GPI-mannosyltransferase I subunit', 'GPI-mannosyltransferase I subunit']",Saccharomyces cerevisiae
"['GPI-mannosyltransferase I subunit', 'GPI-mannosyltransferase I subunit', 'GPI-mannosyltransferase I subunit', 'GPI-mannosyltransferase I subunit']",Saccharomyces cerevisiae
"['GPI-mannosyltransferase I subunit', 'GPI-mannosyltransferase I subunit', 'GPI-mannosyltransferase I subunit', 'GPI-mannosyltransferase I subunit']",Saccharomyces cerevisiae
"['GPI-mannosyltransferase I subunit', 'GPI-mannosyltransferase I subunit', 'GPI-mannosyltransferase I subunit', 'GPI-mannosyltransferase I subunit']",Saccharomyces cerevisiae
"['Dsl1p', 'Tip20p', 'Sec39p/Dsl3p']",Saccharomyces cerevisiae
"['Adaptor protein complex subunit beta-1', 'Adaptor protein complex subunit gamma-1', 'Adaptor protein complex subunit mu-1', 'Adaptor protein complex subunit sigma-1A']",Homo Sapiens
"['Adaptor protein complex subunit beta-1', 'Adaptor protein complex subunit gamma-1', 'Adaptor protein complex subunit mu-1', 'Adaptor protein complex subunit sigma-1A']",Homo Sapiens
"['Adaptor protein complex subunit beta-1', 'Adaptor protein complex subunit gamma-1', 'Adaptor protein complex subunit mu-1', 'Adaptor protein complex subunit sigma-1A']",Homo Sapiens
"['Adaptor protein complex subunit beta-1', 'Adaptor protein complex subunit gamma-1', 'Adaptor protein complex subunit mu-1', 'Adaptor protein complex subunit sigma-1A']",Homo Sapiens
"['Pan1p', 'End3p', 'Sla1p']",Saccharomyces cerevisiae
"['Pan1p', 'End3p', 'Sla1p']",Saccharomyces cerevisiae
"['Pan1p', 'End3p', 'Sla1p']",Saccharomyces cerevisiae
"['α catalytic subunit', 'β regulatory subunit', 'γ regulatory subunit']",Homo Sapiens
"['Msd1', 'Msd2/Dgt1', 'Msd3/Dgt3', 'Msd4/Dgt4', 'Msd5/Dgt5', 'Wac/Dgt2', 'Dgt6', 'Dgt7', 'HAUS8/Dgt8']",Drosophila Melanogaster
"['Msd1', 'Msd2/Dgt1', 'Msd3/Dgt3', 'Msd4/Dgt4', 'Msd5/Dgt5', 'Wac/Dgt2', 'Dgt6', 'Dgt7', 'HAUS8/Dgt8']",Drosophila Melanogaster
"['Msd1', 'Msd2/Dgt1', 'Msd3/Dgt3', 'Msd4/Dgt4', 'Msd5/Dgt5', 'Wac/Dgt2', 'Dgt6', 'Dgt7', 'HAUS8/Dgt8']",Drosophila Melanogaster
"['Msd1', 'Msd2/Dgt1', 'Msd3/Dgt3', 'Msd4/Dgt4', 'Msd5/Dgt5', 'Wac/Dgt2', 'Dgt6', 'Dgt7', 'HAUS8/Dgt8']",Drosophila Melanogaster
"['Msd1', 'Msd2/Dgt1', 'Msd3/Dgt3', 'Msd4/Dgt4', 'Msd5/Dgt5', 'Wac/Dgt2', 'Dgt6', 'Dgt7', 'HAUS8/Dgt8']",Drosophila Melanogaster
"['Msd1', 'Msd2/Dgt1', 'Msd3/Dgt3', 'Msd4/Dgt4', 'Msd5/Dgt5', 'Wac/Dgt2', 'Dgt6', 'Dgt7', 'HAUS8/Dgt8']",Drosophila Melanogaster
"['Msd1', 'Msd2', 'Msd3', 'Msd4', 'Msd5', 'Wac', 'Dgt3', 'Dgt4', 'Dgt5', 'Dgt6']",Drosophila Melanogaster
"['Msd1', 'Msd2', 'Msd3', 'Msd4', 'Msd5', 'Wac', 'Dgt3', 'Dgt4', 'Dgt5', 'Dgt6']",Drosophila Melanogaster
"['Msd1', 'Msd2', 'Msd3', 'Msd4', 'Msd5', 'Wac', 'Dgt3', 'Dgt4', 'Dgt5', 'Dgt6']",Drosophila Melanogaster
"['Myb', 'Mip130', 'Mip120', 'Mip40', 'p55/CAF1', 'E2F2', 'DP']",Drosophila Melanogaster
"['NALCN', 'UNC80', 'UNC79', 'FAM155A/B']",Homo Sapiens
"['Nuclear RNA Export Factor 1', 'Nuclear Transport Factor 2-Like Export Factor 1']",Homo Sapiens
"['Nuclear RNA export factor 1', 'Nuclear transport factor 2-like export factor 1']",Homo Sapiens
"['Nuclear RNA export factor 1', 'Nuclear transport factor 2-like export factor 1']",Homo Sapiens
"['Heterochromatin Protein 1/Origin Recognition Complex-Associated Protein', 'HP1/ORC-Associated Protein', 'HP1', 'Modigliani', 'Verrocchio']",Drosophila Melanogaster
"['Zinc finger protein ZFP-1', 'Histone H3-K79 methyltransferase DOT-1']",Caenorhabditis Elegans
"['CED-3 - A caspase protease', 'CED-4 - Apoptotic protease activating factor', 'MAC-1']",Caenorhabditis Elegans
"['CED-3 - A caspase protease', 'CED-4 - Apoptotic protease activating factor', 'MAC-1']",Caenorhabditis Elegans
"['CED-3 - a caspase enzyme', 'CED-4 - adaptor protein/apoptosome component', 'MAC-1']",Caenorhabditis Elegans
"['Smc1', 'Smc3', 'Scc1/Mcd1', 'Scc3', 'Pds5', 'Wpl1/Rad61']",Saccharomyces cerevisiae
"['Smc1', 'Smc3', 'Scc1/Mcd1', 'Scc3', 'Pds5', 'Wpl1/Rad61']",Saccharomyces cerevisiae
"['Structural maintenance of chromosomes protein 1', 'Structural maintenance of chromosomes protein 3', 'Sister chromatid cohesion protein 1', 'Sister chromatid cohesion protein 3']",Saccharomyces cerevisiae
"['Structural maintenance of chromosomes protein 1', 'Structural maintenance of chromosomes protein 3', 'Sister chromatid cohesion protein 1', 'Sister chromatid cohesion protein 3']",Saccharomyces cerevisiae
"['AKT-1: Serine/threonine protein kinase', 'AKT-2: Serine/threonine protein kinase', 'SGK-1: Serum/glucocorticoid-regulated kinase homolog']",Caenorhabditis Elegans
"['AKT-1: Serine/threonine protein kinase', 'AKT-2: Serine/threonine protein kinase', 'SGK-1: Serum/glucocorticoid-regulated kinase homolog']",Caenorhabditis Elegans
"['AKT-1: Serine/threonine protein kinase', 'AKT-2: Serine/threonine protein kinase', 'SGK-1: Serum/glucocorticoid-regulated kinase homolog']",Caenorhabditis Elegans
"['PID-1', 'TOFU-6/PETISCO-1', 'TOST-1/PETISCO-2', 'PETISCO-3/ERH-2', 'IFE-3', 'PID-3']",Caenorhabditis Elegans
"['PID-1', 'TOFU-6/PETISCO-1', 'TOST-1/PETISCO-2', 'PETISCO-3/ERH-2', 'IFE-3', 'PID-3']",Caenorhabditis Elegans
"['PID-1', 'TOFU-6/PETISCO-1', 'TOST-1/PETISCO-2', 'PETISCO-3/ERH-2', 'IFE-3', 'PID-3']",Caenorhabditis Elegans
"['TOFU-6/PID-3', 'ERH-2', 'PID-1', 'TOST-1', 'PETISCO-1']",Caenorhabditis Elegans
"['TOFU-6/PID-3', 'ERH-2', 'PID-1', 'TOST-1', 'PETISCO-1']",Caenorhabditis Elegans
"['TOFU-6/PID-3', 'ERH-2', 'PID-1', 'ERH-1', 'PETISCO-1/TOST-1', 'PETISCO-2/TOTS-1']",Caenorhabditis Elegans
"['TOFU-6/PID-3', 'ERH-2', 'PID-1', 'ERH-1', 'PETISCO-1/TOST-1', 'PETISCO-2/TOTS-1']",Caenorhabditis Elegans
"['TOFU-6/PID-3', 'ERH-2', 'PID-1', 'ERH-1', 'PETISCO-1/TOST-1', 'PETISCO-2/TOTS-1']",Caenorhabditis Elegans
