Technique,Complex Name,Organism,Other Organisms,Complex Function,Proteins,Genes,Confidence Score,Accession_Mapped
zero-shot,ATP4A-ATP4B Complex,Homo Sapiens,Mouse,Gastric H+; K+-ATPase responsible for the active transport of protons (H+) in exchange for potassium ions (K+) across the apical membrane of parietal cells in the human stomach. This electrochemical process is essential for gastric acid secretion and thus for digestion.,ATP4A (catalytic α subunit);  ATP4B (glycosylated β subunit),ATP4A;  ATP4B,1,Not Found; Not Found
few-shot,ATP4A-ATP4B complex,Homo Sapiens,Mouse,This is a heterodimeric complex forming the gastric H+/K+ ATPase;  the primary proton pump in parietal cells of the human stomach;  responsible for acid secretion by exchanging intracellular H+ for extracellular K+.,Potassium-transporting ATPase alpha chain 1;  Potassium-transporting ATPase subunit beta,ATP4A;  ATP4B,1,P20648; A6NGH2
contextual,ATP4A-ATP4B complex,Homo Sapiens,Mouse,Catalytic core of the gastric H+/K+ ATPase responsible for the exchange of intracellular H+ for extracellular K+;  thereby facilitating gastric acid secretion in the stomach.,Potassium-transporting ATPase alpha chain 1;  Potassium-transporting ATPase subunit beta,ATP4A;  ATP4B,0.994,P20648; A6NGH2
zero-shot,Cytochrome bc1 Complex (Complex III),Homo Sapiens,Also found in Mouse;  C. elegans;  Drosophila melanogaster;  Saccharomyces cerevisiae.,Functions as a central component of the mitochondrial electron transport chain;  specifically mediating electron transfer from ubiquinol (coenzyme QH2) to cytochrome c and contributing to the generation of a proton gradient across the inner mitochondrial membrane necessary for ATP synthesis.,Cytochrome b; Cytochrome c1; Rieske iron-sulfur protein (UQCRFS1); UQCRC1 (core protein 1); UQCRC2 (core protein 2); UQCRB (cytochrome b subunit); UQCRQ (7.2 kDa subunit); UQCR10 (complex III subunit X); UQCR11 (complex III subunit XI); UQCRH (hinge protein); CYC1 (cytochrome c1 subunit),MT-CYB (Mitochondrially encoded cytochrome b); CYC1 (Cytochrome c1); UQCRFS1 (Ubiquinol-cytochrome c reductase;  Rieske iron-sulfur polypeptide 1); UQCRC1 (Ubiquinol-cytochrome c reductase core protein 1); UQCRC2 (Ubiquinol-cytochrome c reductase core protein 2); UQCRB (Ubiquinol-cytochrome c reductase binding protein); UQCRQ (Ubiquinol-cytochrome c reductase;  complex III subunit VII); UQCR10 (Ubiquinol-cytochrome c reductase;  complex III subunit X); UQCR11 (Ubiquinol-cytochrome c reductase;  complex III subunit XI); UQCRH (Ubiquinol-cytochrome c reductase;  hinge protein),1,Q6VIL5; Q8TBT6; Not Found; Not Found; Not Found; Not Found; Not Found; Not Found; Not Found; Not Found; Not Found
few-shot,Cytochrome bc1 Complex (Complex III),Homo Sapiens,Mouse;  C. elegans;  Drosophila melanogaster;  Saccharomyces cerevisiae,Component of the mitochondrial respiratory chain that catalyzes the transfer of electrons from ubiquinol to cytochrome c;  coupled with proton translocation across the mitochondrial inner membrane;  essential for ATP generation via oxidative phosphorylation.,Ubiquinol-cytochrome c reductase core protein 1;  Ubiquinol-cytochrome c reductase core protein 2;  Cytochrome b;  Cytochrome c1;  Rieske iron-sulfur protein (UQCRFS1);  and additional smaller subunits including UQCRH (hinge protein);  UQCRB;  UQCRQ;  UQCR10;  UQCR11,UQCRC1;  UQCRC2;  MTCYB (mitochondrial cytochrome b);  CYC1;  UQCRFS1;  UQCRH;  UQCRB;  UQCRQ;  UQCR10;  UQCR11,0.97498,A0AAQ5BHL5; H3BRG4; Q6VIL5; Q8TBT6; Not Found; Not Found; Not Found; Not Found; Not Found; Not Found
contextual,Cytochrome bc1 Complex (Complex III),Homo Sapiens,Mouse;  C. elegans;  Drosophila melanogaster;  Saccharomyces cerevisiae,An essential component of the mitochondrial electron transport chain;  catalyzing electron transfer from ubiquinol to cytochrome c and coupling this to proton translocation across the inner mitochondrial membrane;  thereby contributing to the proton motive force necessary for ATP synthesis.,Cytochrome b;  Cytochrome c1;  Rieske iron-sulfur protein (UQCRFS1);  Core protein 1 (UQCRC1);  Core protein 2 (UQCRC2);  UQCRB;  UQCRH;  UQCRQ;  UQCR10,MT-CYB;  CYC1;  UQCRFS1;  UQCRC1;  UQCRC2;  UQCRB;  UQCRH;  UQCRQ;  UQCR10,1,Q6VIL5; Q8TBT6; Not Found; Not Found; Not Found; Not Found; Q567R0; Not Found; Not Found
zero-shot,Synaptonemal Complex,Saccharomyces cerevisiae,Human;  Mouse;  C. elegans;  Drosophila melanogaster (all five organisms listed have synaptonemal complexes;  but protein composition and genes differ between species),The synaptonemal complex (SC) is a meiosis-specific protein structure that mediates the synapsis (alignment) and recombination of homologous chromosomes during prophase I. It ensures accurate chromosome pairing;  recombination;  and segregation in gametogenesis.,Zip1 (central element/transverse filament protein); Zip2; Zip3; Zip4; Red1 (lateral element); Hop1 (lateral element); Mek1 (associated kinase/regulatory); Ecm11 (central element assembly factor); Gmc2 (associated factor;  partner of Ecm11),ZIP1; ZIP2; ZIP3; ZIP4; RED1; HOP1; MEK1; ECM11; GMC2,1,Not Found; B3LHU1; Not Found; A0A6C1E9I5; Not Found; Not Found; Not Found; Not Found; Not Found; Not Found
few-shot,Synaptonemal Complex,Saccharomyces cerevisiae,Human;  Mouse;  C. elegans;  Drosophila melanogaster,Mediates the pairing (synapsis);  synaptic alignment;  and recombination of homologous chromosomes during meiotic prophase I;  essential for crossover formation and proper chromosome segregation.,Zip1;  Zip2;  Zip3;  Zip4;  Ecm11;  Gmc2;  Red1;  Hop1;  Mek1;  Rec8,ZIP1;  ZIP2;  ZIP3;  ZIP4;  ECM11;  GMC2;  RED1;  HOP1;  MEK1;  REC8,0.9748,B3LG09; B3LHU1; Not Found; A0A6C1E9I5; Q04110; Not Found; B3RHE6; P20050; P24719; Q12188
contextual,Synaptonemal Complex,Homo Sapiens,Mouse (Mus musculus);  C. elegans;  Drosophila melanogaster;  Saccharomyces cerevisiae,The synaptonemal complex (SC) is a meiosis-specific nuclear multiprotein structure that mediates the pairing (synapsis);  stabilization;  and recombination of homologous chromosomes during prophase I;  ensuring accurate chromosome segregation and promoting genetic diversity.,SYCP1;  SYCP2;  SYCP3;  SYCE1;  SYCE2;  SYCE3;  TEX12;  SIX6OS1,SYCP1;  SYCP2;  SYCP3;  SYCE1;  SYCE2;  SYCE3;  TEX12;  SIX6OS1,0.964,Q3MHC4; A6QL60; Not Found; Not Found; Not Found; Not Found; Not Found; Q8N1H7
zero-shot,GNA12-GPR55-RGS2 complex,Homo Sapiens,Among the listed organisms (Human;  Mouse;  C. elegans;  Drosophila melanogaster;  Saccharomyces cerevisiae);  this exact complex with the specific composition (GNA12-GPR55-RGS2) is only well-characterized in humans. Mouse orthologs of the individual proteins exist;  but there is no clear evidence for the same tripartite complex or analogous function in the other species.,In humans;  the GNA12-GPR55-RGS2 complex is involved in G protein-coupled receptor (GPCR) signaling;  particularly modulating signaling cascades initiated by GPR55;  a putative cannabinoid receptor. GNA12 (G alpha 12) mediates signals from GPR55 to downstream effectors;  influencing cellular processes like cytoskeletal remodeling and cell migration. RGS2 (Regulator of G protein Signaling 2) serves as a GTPase-activating protein;  accelerating the termination of GNA12 signaling;  thereby regulating the intensity and duration of receptor-mediated signaling.,GNA12 (Guanine nucleotide-binding protein subunit alpha-12); GPR55 (G protein-coupled receptor 55); RGS2 (Regulator of G-protein signaling 2),GNA12 → GNA12 gene; GPR55 → GPR55 gene; RGS2 → RGS2 gene,0.8575,Not Found; Not Found; Not Found
