Technique,Complex Name,Organism,Other Organisms,Complex Function,Proteins,Genes,Confidence Score
zero-shot,H+/K+-ATPase (ATP4A–ATP4B) complex,Human (Homo sapiens),Mouse (Mus musculus),Catalyzes ATP‐dependent exchange of intracellular H+ for extracellular K+ to acidify the stomach lumen in gastric parietal cells.,H+/K+-ATPase α‑subunit (UniProt: P20648; ATP4A_HUMAN); H+/K+-ATPase β‑subunit (UniProt: P20020; ATP4B_HUMAN),ATP4A (HGNC:808); ATP4B (HGNC:809),1.00
few-shot,ATP4A-ATP4B complex',Human',Mouse',A gastric H+/K+-ATPase proton pump in parietal cells; catalyzing H+ secretion into the stomach lumen in exchange for K+ to acidify gastric juice.',Potassium-transporting ATPase alpha chain (ATP4A); Potassium-transporting ATPase beta subunit (ATP4B)',ATP4A; ATP4B',0.955
contextual,ATP4A-ATP4B complex',Human',Mouse',Part of the gastric H+/K+‑ATPase proton pump in parietal cells; exchanging intracellular H+ for luminal K+ to acidify the stomach.',Potassium‑transporting ATPase alpha chain 1; Potassium‑transporting ATPase beta subunit',ATP4A; ATP4B',0.955
zero-shot,Cytochrome bc1 Complex (Complex III),Homo sapiens,Mus musculus; Caenorhabditis elegans; Drosophila melanogaster; Saccharomyces cerevisiae,Catalyzes transfer of electrons from ubiquinol (QH2) to cytochrome c while translocating protons from the mitochondrial matrix to the intermembrane space; contributing to the proton‐motive force used for ATP synthesis.,• Cytochrome b (mitochondrial); • Cytochrome c1; • Ubiquinol–cytochrome c reductase core protein I; • Ubiquinol–cytochrome c reductase core protein II; • Rieske iron–sulfur protein; • Subunit VI (UQCRH); • Subunit VII (UQCRB); • Subunit VIII (UQCRQ); • Subunit IX (UQCR10); • Subunit X (UQCR11),• MT‑CYB (mitochondrially encoded cytochrome b); • CYC1 (cytochrome c1); • UQCRC1 (core protein I); • UQCRC2 (core protein II); • UQCRFS1 (Rieske Fe–S protein); • UQCRH (subunit VI); • UQCRB (subunit VII); • UQCRQ (subunit VIII); • UQCR10 (subunit IX); • UQCR11 (subunit X),0.9275
few-shot,Cytochrome bc1 complex,Saccharomyces cerevisiae,Human; Mouse; Drosophila melanogaster; Caenorhabditis elegans,Catalyzes the transfer of electrons from ubiquinol to cytochrome c while pumping protons across the inner mitochondrial membrane; contributing to the proton‐motive force used for ATP synthesis.,• Cytochrome b (Cob); • Cytochrome c1 (Cyt1); • Rieske iron–sulfur protein (Rip1); • Core protein 1 (Cor1); • Core protein 2 (Cor2); • Qcr6p; • Qcr7p; • Qcr8p; • Qcr9p; • Qcr10p,COB; CYT1; RIP1; COR1; COR2; QCR6; QCR7; QCR8; QCR9; QCR10,0.9425
contextual,Cytochrome bc1 complex (Complex III),Saccharomyces cerevisiae,Human; Mouse; Caenorhabditis elegans; Drosophila melanogaster,Catalyzes electron transfer from ubiquinol to cytochrome c while translocating protons across the inner mitochondrial membrane; contributing to the proton‐motive force used for ATP synthesis.,• Cytochrome b; • Cytochrome c1; • Rieske iron–sulfur protein; • Qcr2 (core protein 2); • Qcr6 (subunit 6); • Qcr7 (core protein 1); • Qcr8 (subunit 8); • Qcr9 (subunit 9); • Qcr10 (subunit 10); • Qcr11 (subunit 11),COB; CYC1; RIP1; QCR2; QCR6; QCR7; QCR8; QCR9; QCR10; QCR11,0.93
zero-shot,Synaptonemal Complex,Saccharomyces cerevisiae,Human (Homo sapiens); Mouse (Mus musculus); Caenorhabditis elegans; Drosophila melanogaster,A meiosis‑specific proteinaceous structure that zippers homologous chromosomes together; stabilizes pairing; and promotes crossover formation and proper recombination resolution.,Zip1: Transverse filament protein forming the central zipper between chromosome axes.; Red1: Lateral‑element component providing the scaffold along each sister‑chromatid axis.; Hop1: Lateral‑element protein that binds DNA and recruits recombination factors.; Ecm11: Central‑element component required for transverse‑filament assembly and SC stabilization.; Gmc2: Partner of Ecm11 in the central region; aids Zip1 polymerization.,ZIP1; RED1; HOP1; ECM11; GMC2,0.8925
few-shot,Synaptonemal Complex,Human,Mouse,A meiosis‐specific tripartite protein structure assembled between homologous chromosomes during prophase I; it mediates and stabilizes chromosome synapsis and promotes recombination.,Synaptonemal complex protein 1 (SYCP1); Synaptonemal complex protein 2 (SYCP2); Synaptonemal complex protein 3 (SYCP3); Synaptonemal complex central element protein 1 (SYCE1); Synaptonemal complex central element protein 2 (SYCE2); Synaptonemal complex central element protein 3 (SYCE3); Testis‐expressed protein 12 (TEX12); Chromosome synapsis factor SIX6OS1 (formerly C14ORF39),SYCP1; SYCP2; SYCP3; SYCE1; SYCE2; SYCE3; TEX12; SIX6OS1,0.955
contextual,Synaptonemal Complex,Mouse (Mus musculus),Human (Homo sapiens),A meiosis‑specific; tripartite proteinaceous structure that assembles between homologous chromosomes during prophase I to promote homolog pairing; synapsis and facilitate crossover recombination.,SYCP1; SYCP2; SYCP3; SYCE1; SYCE2; SYCE3; TEX12; SIX6OS1,Sycp1; Sycp2; Sycp3; Syce1; Syce2; Syce3; Tex12; Six6os1,0.97
zero-shot,GNA12‑GPR55‑RGS2 complex,Human (Homo sapiens),Mouse (Mus musculus),Attenuation of GPR55‑driven Gα12 signaling via RGS2‑mediated acceleration of GTP hydrolysis on Gα12; modulating downstream RhoA activation; cell migration; and proinflammatory responses.,• GNA12 (G protein subunit alpha 12); • GPR55 (G protein‑coupled receptor 55); • RGS2 (Regulator of G protein signaling 2),• GNA12; • GPR55; • RGS2,0.49
