Technique,Complex Name,Organism,Other Organisms,Complex Function,Proteins,Genes,Confidence Score
zero-shot,,,,,,,
few-shot,ATP4A-ATP4B complex (Gastric H+/K+-ATPase),Human,"Mouse, Rat, Pig, Rabbit, Dog","This gastric proton pump is responsible for gastric acid secretion in the stomach. It mediates the exchange of H+ against K+ ions across the plasma membrane of parietal cells, using energy from ATP hydrolysis. This creates the highly acidic environment in the stomach necessary for protein digestion and pathogen defense.",- Potassium-transporting ATPase alpha chain 1 (H+/K+-ATPase alpha subunit); - Potassium-transporting ATPase subunit beta (H+/K+-ATPase beta subunit),- ATP4A; - ATP4B,(0.95 × 0.3) + (0.9 × 0.3) + (1.0 × 0.25) + (1.0 × 0.15) = 0.285 + 0.27 + 0.25 + 0.15 = **0.955**
contextual,ATP4A-ATP4B complex (Gastric H+/K+-ATPase),Human,"Mouse, Rat, Pig, Rabbit","The ATP4A-ATP4B complex functions as a gastric proton pump, responsible for secreting acid (H+) into the stomach lumen while importing potassium ions (K+). It is the primary enzyme responsible for gastric acid secretion by parietal cells, maintaining the highly acidic environment (pH 1-2) necessary for food digestion and pathogen defense in the stomach.",- Potassium-transporting ATPase alpha chain 1 (H+/K+-ATPase α subunit); - Potassium-transporting ATPase subunit beta (H+/K+-ATPase β subunit),- ATP4A (19q13.1); - ATP4B (13q34),(0.95 × 0.3) + (0.9 × 0.3) + (1.0 × 0.25) + (1.0 × 0.15) = 0.285 + 0.27 + 0.25 + 0.15 = **0.955**
zero-shot,,,,,,,
few-shot,Cytochrome bc1 Complex (Complex III),Saccharomyces cerevisiae (Baker's yeast),"Human, Mouse, Bovine, Rhodobacter sphaeroides, Paracoccus denitrificans","The cytochrome bc1 complex is a critical component of the mitochondrial respiratory chain that catalyzes the transfer of electrons from ubiquinol to cytochrome c while simultaneously pumping protons across the inner mitochondrial membrane. This contributes to the generation of a proton gradient used for ATP synthesis. The complex operates through a modified Q-cycle mechanism, oxidizing ubiquinol at the Qo site and reducing ubiquinone at the Qi site.",- Cytochrome b; - Cytochrome c1; - Rieske iron-sulfur protein; - Core protein 1; - Core protein 2; - Subunit 6; - Subunit 7; - Subunit 8; - Subunit 9; - Qcr10p,- COB (cytochrome b); - CYT1 (cytochrome c1); - RIP1 (Rieske iron-sulfur protein); - COR1 (core protein 1); - QCR2 (core protein 2); - QCR6 (subunit 6); - QCR7 (subunit 7); - QCR8 (subunit 8); - QCR9 (subunit 9); - QCR10 (subunit 10),(0.95 × 0.3) + (0.9 × 0.3) + (1.0 × 0.25) + (0.9 × 0.15) = 0.285 + 0.27 + 0.25 + 0.135 = **0.94**
contextual,Cytochrome bc1 Complex (Complex III),Saccharomyces cerevisiae (Baker's yeast),"Present in humans, mice, and virtually all eukaryotes, as well as many bacteria","A key component of the mitochondrial respiratory chain that catalyzes electron transfer from ubiquinol to cytochrome c, coupled with proton translocation across the inner mitochondrial membrane, contributing to the proton gradient used for ATP synthesis.",- Cytochrome b; - Cytochrome c1; - Rieske iron-sulfur protein; - Core protein 1; - Core protein 2; - Subunit 6; - Subunit 7; - Subunit 8; - Subunit 9; - Subunit 10,- COB (cytochrome b); - CYT1 (cytochrome c1); - RIP1 (Rieske iron-sulfur protein); - COR1 (core protein 1); - QCR2 (core protein 2); - QCR6 (subunit 6); - QCR7 (subunit 7); - QCR8 (subunit 8); - QCR9 (subunit 9); - QCR10 (subunit 10),(0.95 × 0.3) + (0.9 × 0.3) + (1.0 × 0.25) + (0.9 × 0.15) = 0.285 + 0.27 + 0.25 + 0.135 = **0.94**
zero-shot,,,,,,,
few-shot,,,,,,,
contextual,Synaptonemal Complex,Mouse (Mus musculus),"Human, C. elegans, Drosophila melanogaster, Saccharomyces cerevisiae (with differing protein compositions)","The synaptonemal complex (SC) is a proteinaceous structure that forms between homologous chromosomes during meiotic prophase I. It facilitates chromosome synapsis, homologous recombination, and crossover formation, which are critical for proper chromosome segregation and genetic diversity. In mice, the SC plays an essential role in ensuring faithful meiotic progression and maintaining genomic integrity during gametogenesis.",- SYCP1 (Synaptonemal complex protein 1); - SYCP2 (Synaptonemal complex protein 2); - SYCP3 (Synaptonemal complex protein 3); - SYCE1 (Synaptonemal complex central element protein 1); - SYCE2 (Synaptonemal complex central element protein 2); - SYCE3 (Synaptonemal complex central element protein 3); - TEX12 (Testis-expressed protein 12),- Sycp1; - Sycp2; - Sycp3; - Syce1; - Syce2; - Syce3; - Tex12,(0.9 × 0.3) + (0.95 × 0.3) + (1.0 × 0.25) + (0.9 × 0.15) = 0.27 + 0.285 + 0.25 + 0.135 = **0.94**
zero-shot,,,,,,,
few-shot,GNA12-GPR55-RGS2 complex,Human,Mouse,"This complex regulates G protein signaling pathways involved in cell migration, proliferation, and cytoskeletal reorganization. GPR55 acts as a cannabinoid receptor that upon ligand binding activates GNA12, while RGS2 functions as a negative regulator by accelerating the GTPase activity of GNA12, thereby terminating the signaling cascade.","Guanine nucleotide-binding protein subunit alpha-12 (GNA12), G-protein coupled receptor 55 (GPR55), Regulator of G-protein signaling 2 (RGS2)","GNA12, GPR55, RGS2",(0.75 × 0.3) + (0.7 × 0.3) + (1.0 × 0.25) + (0.9 × 0.15) = 0.225 + 0.21 + 0.25 + 0.135 = **0.82**
contextual,GNA12-GPR55-RGS2 complex,Human,Mouse,"This complex is involved in G protein-coupled receptor signaling. GPR55 acts as a cannabinoid receptor, while GNA12 (G protein subunit alpha 12) transduces signals from the receptor to downstream effectors. RGS2 (Regulator of G protein signaling 2) functions as a GTPase-activating protein for GNA12, regulating the timing and duration of G protein signaling by accelerating the hydrolysis of GTP to GDP.","G protein subunit alpha 12, G protein-coupled receptor 55, Regulator of G protein signaling 2","GNA12, GPR55, RGS2",(0.7 × 0.3) + (0.65 × 0.3) + (0.9 × 0.25) + (0.85 × 0.15) = 0.21 + 0.195 + 0.225 + 0.1275 = **0.7575**
zero-shot,,,,,,,
few-shot,Melanocortin Receptor 3 (MC3R),Human,"Mouse, Rat, Pig, Zebrafish","MC3R is a G protein-coupled receptor that primarily binds melanocortins, including α-MSH, β-MSH, γ-MSH, and ACTH. It plays critical roles in energy homeostasis, inflammation regulation, and cardiovascular function. MC3R regulates energy balance by affecting feeding behavior and metabolism, with knockout studies showing that MC3R-deficient mice develop mild obesity without hyperphagia but have increased fat mass and reduced lean mass.",Melanocortin receptor 3,MC3R,(0.90 × 0.3) + (0.85 × 0.3) + (1.0 × 0.25) + (1.0 × 0.15) = 0.27 + 0.255 + 0.25 + 0.15 = **0.925**
contextual,Melanocortin receptor 3 (MC3R),Human,"Mouse, Rat, Pig, Zebrafish","MC3R is a G protein-coupled receptor that binds melanocortin peptides (α-MSH, β-MSH, γ-MSH, and ACTH) and plays key roles in energy homeostasis, feeding behavior, and inflammation. It regulates energy balance through effects on food intake and energy expenditure, influences fat storage, and has anti-inflammatory properties in various tissues.",Melanocortin receptor 3,MC3R,(0.9 × 0.3) + (0.85 × 0.3) + (1.0 × 0.25) + (1.0 × 0.15) = 0.27 + 0.255 + 0.25 + 0.15 = **0.925**
zero-shot,,,,,,,
few-shot,ATP1A1-TSHR complex,Human,Mouse,"This complex consists of the sodium-potassium ATPase (Na⁺/K⁺-ATPase) alpha-1 subunit (ATP1A1) and thyroid stimulating hormone receptor (TSHR). The interaction appears to facilitate TSHR signaling and regulation of sodium and potassium ion transport across cell membranes in thyroid cells. The Na⁺/K⁺-ATPase component maintains electrochemical gradients essential for thyroid hormone production, while TSHR mediates TSH effects on thyroid growth, differentiation, and hormone synthesis.","Sodium/potassium-transporting ATPase subunit alpha-1, Thyrotropin receptor","ATP1A1, TSHR",(0.70 × 0.3) + (0.65 × 0.3) + (0.95 × 0.25) + (0.90 × 0.15) = 0.21 + 0.195 + 0.2375 + 0.135 = **0.7775**
contextual,ATP1A1-TSHR complex,Human,Mouse,"This complex represents an interaction between the sodium-potassium ATPase (Na⁺/K⁺-ATPase) alpha-1 subunit and the thyroid-stimulating hormone receptor. The complex is involved in non-canonical signaling pathways where TSHR activation can modulate Na⁺/K⁺-ATPase activity, affecting cellular ion homeostasis and downstream signaling cascades in thyroid cells. This interaction appears to be important for thyroid hormone production regulation.","Sodium/potassium-transporting ATPase subunit alpha-1, Thyrotropin receptor","ATP1A1, TSHR",(0.70 × 0.3) + (0.65 × 0.3) + (0.95 × 0.25) + (0.90 × 0.15) = 0.21 + 0.195 + 0.2375 + 0.135 = **0.7775**
zero-shot,,,,,,,
few-shot,ADRA1B-CXCR4 complex,Human,Mouse,"This complex represents a heterodimeric G-protein coupled receptor (GPCR) association between the alpha-1B adrenergic receptor and chemokine receptor type 4. The interaction modulates signaling pathways involved in cellular migration, calcium mobilization, and cross-talk between adrenergic and chemokine signaling systems. The heterodimer formation alters ligand binding properties and downstream signaling compared to individual receptors.","Alpha-1B adrenergic receptor, C-X-C chemokine receptor type 4","ADRA1B, CXCR4",(0.6 × 0.3) + (0.5 × 0.3) + (0.9 × 0.25) + (1.0 × 0.15) = 0.18 + 0.15 + 0.225 + 0.15 = **0.705**
contextual,ADRA1B-CXCR4 complex,Human,Mouse,"This complex represents a heterodimeric G protein-coupled receptor (GPCR) association between the alpha-1B adrenergic receptor and the C-X-C chemokine receptor type 4. The complex formation modulates signaling pathways, including calcium mobilization and ERK1/2 activation. This heterodimer enhances chemotaxis in response to CXCL12 (SDF-1) compared to CXCR4 homodimers and affects adrenergic signaling dynamics.","Alpha-1B adrenergic receptor, C-X-C chemokine receptor type 4","ADRA1B, CXCR4",(0.7 × 0.3) + (0.75 × 0.3) + (1.0 × 0.25) + (0.9 × 0.15) = 0.21 + 0.225 + 0.25 + 0.135 = **0.82**
zero-shot,,,,,,,
few-shot,Bdkrb2-Tbxa2r complex,Mouse,Human,"This protein complex represents a heterodimeric G protein-coupled receptor (GPCR) interaction between the bradykinin B2 receptor and the thromboxane A2 receptor. The complex modulates vascular tone and inflammatory responses by coordinating signaling pathways, enhancing calcium mobilization, and regulating MAP kinase activation. The interaction between these receptors contributes to enhanced vasoconstriction and plays a role in cardiovascular pathophysiology, particularly in hypertension and thrombosis.","Bradykinin receptor B2, Thromboxane A2 receptor","Bdkrb2, Tbxa2r",(0.75 × 0.3) + (0.7 × 0.3) + (0.9 × 0.25) + (0.8 × 0.15) = 0.225 + 0.21 + 0.225 + 0.12 = **0.78**
