Complex Name,Organism,Complex Function ,Proteins,Genes,Accession_Mapped
ATP4A-ATP4B complex,Homo Sapiens,"The gastric H+ , K+ - ATPase is an integral membrane protein which derives energy from the hydrolysis of ATP to transport H+ ions from the parietal cells of the gastric mucosa into the stomach in exchange for K+ ions. It is responsible for the acidic environment of the stomach, which is essential for digestion. Acid secretion is regulated by the recruitment of the H+ , K+ - ATPase from intracellular stores into the plasma membrane on the ingestion of food",Potassium-transporting ATPase alpha chain 1 ; Potassium-transporting ATPase subunit beta ,"ATP4A - human 
ATP4B - human ",P20648; A6NGH2
Cytochrome bc1 Complex (Complex III),Mus Musculus,"Transfers electrons from ubiquinol to cytochrome c in the mitochondrial electron transport chain, aiding ATP production.",Cytochrome b; Rieske iron-sulfur protein; Cytochrome c1,"Cybb
Uqcrfs1
Cyp11b1",A0A075DCW5; Q9CR68; Q9D0M3
Synaptonemal Complex,Caenorhabditis Elegans,TBD need to do more accurate research,Nan,,Not Found
GNA12-GPR55-RGS2 complex,Homo Sapiens,"G-protein coupled receptor 55 (GPR55) is one of GPCRs and activated by endogenous cannabinoids. A family of regulators of G-protein signaling (RGS) stimulates GTP hydrolysis of alpha subunit of G-protein (Galpha) and inhibits GPCR/Galpha-mediated signaling. RGS2 is member of R4 RGS family and mainly attenuates GPCR/G(alpha)q signaling. GPR55 interacted with RGS2 alone and also formed a ternary complex with RGS2 and either G(alpha)q or G(alpha)12. In the presence of GPR55 alone and together with G(alpha)q or G(alpha)12, RGS2 translocated from the cytoplasm to plasma membrane while RGS1 remained in the cytoplasm. GPR55 activation significantly induced ERK phosphorylation and intracellular calcium mobilization, which were markedly inhibited by RGS2 in HCT116 colon cancer cell line. Furthermore, GPR55-mediated cell proliferation and migration of HCT116 cells, was significantly attenuated by RGS2 (PMID: 33092790).","Guanine nucleotide-binding protein subunit alpha-12 ; G-protein coupled receptor 55 ; Regulator of G-protein signaling 2	","GNA12
GPR55",Q03113; C9J1P7; P41220
Melanocortin receptor 3,Homo Sapiens,"Melanocortin receptors 1 (MC1) and MC3 form homo- and heterodimers, when expressed in Cos-7 cells. Treatment with agonist, partial agonist or antagonists did not modify the BRET(2) signal for any of the receptor pairs studied, suggesting that the dimerization is not regulated by ligand binding. Rather the results indicate that melanocortin receptors exist as constitutively pre-formed dimers (PMID: 15582585). Melanocortin 3 and 4 receptors (MC3R and MC4R) are known to play an essential role in hypothalamic weight regulation (PMID: 20054210).",Melanocortin receptor 3,,P41968
ATP1A1-TSHR complex,Homo Sapiens,"Thyroid stimulating hormone (TSH) binds to a specific TSH receptor (TSHR) which activates adenylate cyclase and increases cAMP levels in thyroidal cells. Studies have reported the presence of TSH receptor in several extra-thyroidal cell types, including erythrocytes. TSH induces co-localization of TSH receptor and Na/K-ATPase in human erythrocytes (PMID: 19466745).",Sodium/potassium-transporting ATPase subunit alpha-1; Thyrotropin receptor,,B7Z1N5; A0A1B0GUJ5
ADRA1B-CXCR4 complex,Homo Sapiens,Disruption of alpha-1A/B-adrenergic receptor-CXCR4 heteromeric complexes inhibits alpha1-ARmediated functions in vascular smooth muscle cells and treatment with CXCR4 agonists enhances the potency of the alpha-1-AR agonist phenylephrine to increase blood pressure.,Alpha-1B adrenergic receptor; C-X-C chemokine receptor type 4,,P35368; A0A0U3GXA9
Bdkrb2-Tbxa2r complex,Mus Musculus,"Bradykinin (BK) and thromboxane-A2 (TX-A2) are two vasoactive mediators that modulate vascular tone and inflammation via binding to their cognate ""class A"" G-protein coupled receptors (GPCRs), BK-B2 receptors (B2R) and TX-prostanoid receptors (TP), respectively. The findings revealed synergistically activated ERK1/2 following co-stimulation of rat VSMC with a subthreshold dose of BK and effective doses of the TP stable agonist, IBOP, possibly involving biased agonist signaling. Inspection of B2R-TP PLA signals in VSMC revealed agonist-modulated nuclear and extranuclear proximity between B2R and TP, whose quantification varied substantially following single versus dual agonist stimulations (PMID: 31086419)",B2 bradykinin receptor; Thromboxane A2 receptor,,B2RQ47; Q712P5
Drd3-Ednrb complex,Mus Musculus,"The dopaminergic and endothelin systems, by regulating sodium transport in the renal proximal tubule (RPT), participate in the control of blood pressure. The D3 and ETB receptors are expressed in RPTs, and D3 receptor function in RPTs is impaired in spontaneously hypertensive rats (SHRs). D3 receptors regulate ETB receptors by physical receptor interaction and govern receptor expression and function (PMID: 19390510).",D dopamine receptor; Endothelin receptor type B,,P30728; Q8K1V9
Egflam-Gpr179 complex,Mus Musculus,The transsynaptic binding of the orphan receptor GPR179 to the dystroglycan-pikachurin complex Is essential for the synaptic organization of photoreceptors (PMID: 30282023).,Pikachurin; G-protein coupled receptor 179,,Q4VBE4; E9PY61
