Technique,Complex Name,Organism,Other Organisms,Complex Function,Proteins,Genes,Confidence Score
zero-shot,Gastric H⁺/K⁺ ATPase (ATP4A–ATP4B complex),,,"Catalyzes electroneutral exchange of cytosolic H⁺ for extracellular K⁺ in gastric parietal cells, driving acid (HCl) secretion into the stomach lumen.; Constituent proteins and genes (Human):; 1. H⁺/K⁺ ATPase α‑subunit; – Protein: ATP4A; – Gene: ATP4A; 2. H⁺/K⁺ ATPase β‑subunit; – Protein: ATP4B; – Gene: ATP4B; Other organisms in which this specific α/β H⁺/K⁺ ATPase is found:; – Mouse; • Protein: Atp4a (Gene: Atp4a); • Protein: Atp4b (Gene: Atp4b); Self‑confidence score calculation:; 0.3*1.00 + 0.3*1.00 + 0.25*1.00 + 0.15*1.00 = 1.00",,,
few-shot,ATP4A-ATP4B complex,Human,"Mouse, Rat, Pig","This is the catalytic core of the gastric H+/K+‑ATPase (proton) pump in parietal cells, exchanging intracellular H+ for extracellular K+ to acidify the stomach lumen.","H+/K+‑ATPase alpha subunit (ATP4A), H+/K+‑ATPase beta subunit (ATP4B)","ATP4A, ATP4B",(0.95 × 0.3) + (0.95 × 0.3) + (1.00 × 0.25) + (1.00 × 0.15); = 0.285 + 0.285 + 0.25 + 0.15; = **0.97**
contextual,ATP4A‑ATP4B complex,Human,"Mouse (Atp4a, Atp4b), Rat, Pig, Cow, Dog (all share orthologous gastric H+/K+‑ATPases)","The H+/K+‑ATPase (gastric proton pump) is an ATP‑dependent, electroneutral exchanger that secretes H+ into the gastric lumen in exchange for K+, driving gastric acidification by parietal cells.",• Potassium‑transporting ATPase alpha chain 4 (α‑subunit); • Potassium‑transporting ATPase beta subunit (β‑subunit),• ATP4A; • ATP4B,(1.0 × 0.3) + (0.95 × 0.3) + (1.0 × 0.25) + (1.0 × 0.15); = 0.30 + 0.285 + 0.25 + 0.15; = **0.985**
zero-shot,Mitochondrial cytochrome bc1 complex (Complex III),Homo sapiens,,"Transfers electrons from ubiquinol (CoQH₂) to cytochrome c, couples this redox reaction to proton translocation across the inner mitochondrial membrane, and thus contributes to the proton‑motive force used by ATP synthase.; Subunit composition (protein – gene); • Cytochrome b – MT‑CYB (mitochondrially encoded); • Rieske iron–sulfur protein – UQCRFS1; • Cytochrome c1 – CYC1; • Core protein 1 – UQCRC1; • Core protein 2 – UQCRC2; • Subunit 7 (11 kDa) – UQCRB; • Hinge protein (subunit 6) – UQCRH; • Subunit 8 (also called UQCRQ); • Subunit 9 – UQCR10; • Subunit 11 – UQCR11; Other organisms in which Complex III is found; • Mus musculus (mouse); • Caenorhabditis elegans; • Drosophila melanogaster; • Saccharomyces cerevisiae; Self‑confidence score calculation; (0.90 × 0.30) + (0.90 × 0.30) + (0.95 × 0.25) + (1.00 × 0.15) = 0.9275",,,
few-shot,Cytochrome bc1 Complex (Complex III; Ubiquinol–cytochrome c reductase),Human,"Also conserved in Mus musculus (Mouse), Drosophila melanogaster, Caenorhabditis elegans, Saccharomyces cerevisiae and broadly across eukaryotes and many bacteria (e.g., Rhodobacter spp.).","This inner‐mitochondrial‐membrane enzyme catalyzes the oxidation of ubiquinol (QH2) and the reduction of cytochrome c, coupling electron transfer between respiratory complexes II/I and IV to proton translocation. By moving four protons from the matrix to the intermembrane space per QH2 oxidized, it generates a proton motive force essential for ATP synthase activity.; Proteins and Corresponding Genes:; - 1. Cytochrome b (MT‐CYB; mitochondrial genome); - 2. Cytochrome c1 (CYC1); - 3. Rieske iron–sulfur protein (UQCRFS1); - 4. Core protein I (UQCRC1); - 5. Core protein II (UQCRC2); - 6. Cytochrome b‐binding subunit (UQCRB); - 7. Cytochrome c1‐associated subunit (UQCRH); - 8. 9 kDa subunit (UQCRQ); - 9. 10 kDa subunit (UQCR10); - 10. 11 kDa subunit (UQCR11)",,,(0.95 × 0.30) + (0.90 × 0.30) + (0.95 × 0.25) + (1.00 × 0.15); = 0.285 + 0.270 + 0.2375 + 0.150; = **0.9425**
contextual,"Ubiquinol–cytochrome c reductase complex (Cytochrome bc₁, Complex III)",Saccharomyces cerevisiae,"Homo sapiens, Mus musculus, Drosophila melanogaster, Caenorhabditis elegans (and broadly across eukaryotes and many bacteria).","Transfers electrons from ubiquinol to cytochrome c while translocating protons across the inner mitochondrial membrane, thereby contributing to the proton‐motive force used for ATP synthesis.; Proteins (monomeric subunits, 9 total):; • Cytochrome b; • Cytochrome c₁; • Core protein 1; • Core protein 2; • Qcr6p (11 kDa protein); • Qcr7p (9 kDa protein); • Qcr8p (6.5 kDa protein); • Qcr9p (7.2 kDa protein); • Qcr10p (2 kDa protein); Corresponding Genes:; • COB (mitochondrial‑encoded cytochrome b); • CYT1 (cytochrome c₁); • QCR1 (core protein 1); • QCR2 (core protein 2); • QCR6; • QCR7; • QCR8; • QCR9; • QCR10",,,(1.00 × 0.30) + (1.00 × 0.30) + (1.00 × 0.25) + (1.00 × 0.15); = 0.30 + 0.30 + 0.25 + 0.15 = **1.00**
zero-shot,Synaptonemal Complex,Homo sapiens,,• Mediation of homologous chromosome synapsis during prophase I of meiosis; • Facilitation of crossover formation and recombination; Constituent proteins and corresponding genes:; • SYCP1 (gene: SYCP1); • SYCP2 (gene: SYCP2); • SYCP3 (gene: SYCP3); • SYCE1 (gene: SYCE1); • SYCE2 (gene: SYCE2); • SYCE3 (gene: SYCE3); • TEX12 (gene: TEX12); • SIX6OS1 (gene: SIX6OS1); Other organisms in which a structurally homologous synaptonemal complex is found:; • Mus musculus (Mouse); • Caenorhabditis elegans; • Drosophila melanogaster; • Saccharomyces cerevisiae; 0.9*0.3+0.9*0.3+1.0*0.25+0.9*0.15=0.925,,,
few-shot,Synaptonemal Complex (SC),Human,"SC is conserved across metazoans and fungi. Homologs of SYCP1–3 and SYCE1–2 are found in mouse, rat, cow, chicken, zebrafish, and to a lesser extent in nematodes and budding yeast (functional analogs, not strict sequence orthologs).; Self Confidence Score Calculation:; (Consistency across sources: 0.90 × 0.3) + (Experimental support: 0.90 × 0.3) + (Protein–gene mapping: 1.00 × 0.25) + (Organism specificity: 1.00 × 0.15); = 0.27 + 0.27 + 0.25 + 0.15 = **0.94**","The SC is a tripartite proteinaceous structure that forms between homologous chromosomes during meiotic prophase I (zygotene–pachytene). It stabilizes pairing, enforces synapsis, and promotes crossover formation and recombination.; Proteins and Corresponding Genes:; – Lateral element proteins:; • SYCP2 (Synaptonemal complex protein 2) – gene: SYCP2; • SYCP3 (Synaptonemal complex protein 3) – gene: SYCP3; – Transverse filament protein:; • SYCP1 (Synaptonemal complex protein 1) – gene: SYCP1; – Central element proteins:; • SYCE1 (Synaptonemal complex central element protein 1) – gene: SYCE1; • SYCE2 (Synaptonemal complex central element protein 2) – gene: SYCE2; • SYCE3 (Synaptonemal complex central element protein 3) – gene: SYCE3; • TEX12 (Testis-expressed protein 12) – gene: TEX12; • SIX6OS1 (Synaptonemal complex central element protein, also C14orf39) – gene: SIX6OS1",,,
contextual,Synaptonemal Complex,Human (Homo sapiens),"Conserved across vertebrates, notably in Mus musculus, Rattus norvegicus, Bos taurus, Gallus gallus, Xenopus laevis.","A meiosis‑specific, tripartite protein scaffold that assembles between aligned homologous chromosomes during prophase I. It mediates chromosome synapsis, enforces crossover interference, and promotes homologous recombination.",,,(Consistency across sources: 0.90 × 0.3) + (Experimental support: 0.90 × 0.3) + (Protein–gene mapping accuracy: 1.00 × 0.25) + (Organism specificity: 1.00 × 0.15); = 0.27 + 0.27 + 0.25 + 0.15 = **0.94**
zero-shot,"• GNA12–GPR55–RGS2 signaling complex; Complex function (in human):; • Couples GPR55 activation to Gα12-dependent pathways; • Modulates downstream RhoA/Rho kinase signaling, affecting cell migration, proliferation and cytoskeletal dynamics; • RGS2 provides feedback by accelerating GTP hydrolysis on Gα12, thereby tuning signal duration; Proteins in the complex and their genes:; • Gα12 (GNA12) – gene: GNA12; • G protein‑coupled receptor 55 (GPR55) – gene: GPR55; • Regulator of G‑protein signaling 2 (RGS2) – gene: RGS2; Other organisms (from the five listed) where orthologous interactions are reported:; • Mus musculus (mouse) – Gna12, Gpr55 and Rgs2 have conserved roles in similar signaling assemblies; • No strong evidence for a GPR55‑linked Gα12–RGS2 complex in C. elegans, D. melanogaster or S. cerevisiae; Self‑confidence score (consistency = 0.8, experimental support = 0.7, mapping accuracy = 0.95, organism specificity = 0.9):; (0.8*0.3)+(0.7*0.3)+(0.95*0.25)+(0.9*0.15)=0.8225",• Homo sapiens,,,,,
