Technique,Complex Name,Organism,Other Organisms,Complex Function,Proteins,Genes,Confidence Score
zero-shot,ATP4A-ATP4B complex,Human (Homo sapiens),Mouse (Mus musculus),"The ATP4A-ATP4B complex, also known as the gastric H+/K+ ATPase, is responsible for the acidification of the stomach by pumping protons into the lumen of the gastric glands in exchange for potassium ions. This process is crucial for the activation of pepsinogen and the digestion of proteins in the stomach.",1. ATP4A (Potassium-transporting ATPase alpha chain 1); 2. ATP4B (Potassium-transporting ATPase beta chain),1. ATP4A; 2. ATP4B,(0.3 * 0.9) + (0.3 * 0.8) + (0.25 * 1.0) + (0.15 * 1.0) = 0.27 + 0.24 + 0.25 + 0.15 = 0.91
few-shot,ATP4A-ATP4B complex,Human,N/A,"This complex is a part of the larger H+/K+ ATPase complex, a proton pump responsible for gastric acid secretion in the stomach by catalyzing the hydrolysis of ATP coupled with the exchange of H+ and K+ ions across the plasma membrane.","Potassium-transporting ATPase alpha chain 1, Potassium-transporting ATPase subunit beta","ATP4A, ATP4B",(0.95 × 0.3) + (0.95 × 0.3) + (1.0 × 0.25) + (1.0 × 0.15) = 0.285 + 0.285 + 0.25 + 0.15 = **0.97**
contextual,ATP4A-ATP4B complex,Human,N/A,"This complex is a part of the larger H+/K+ ATPase complex, which is responsible for gastric acid secretion in the stomach by pumping protons (H+) into the lumen of the stomach in exchange for potassium ions (K+). The ATP4A-ATP4B complex specifically forms the catalytic core of the H+/K+ ATPase.","Potassium-transporting ATPase alpha chain 1, Potassium-transporting ATPase beta chain","ATP4A, ATP4B",(0.95 × 0.3) + (0.95 × 0.3) + (1.0 × 0.25) + (1.0 × 0.15) = 0.285 + 0.285 + 0.25 + 0.15 = **0.97**
zero-shot,Cytochrome bc1 Complex (Complex III),The Cytochrome bc1 Complex (Complex III) is most prominent in Saccharomyces cerevisiae (baker's yeast).,"The complex is also found in humans, mice, C. elegans, and Drosophila melanogaster.","The Cytochrome bc1 Complex (Complex III) is a vital component of the mitochondrial electron transport chain. It catalyzes the transfer of electrons from ubiquinol to cytochrome c, coupled with the translocation of protons across the inner mitochondrial membrane, contributing to the proton gradient essential for ATP synthesis.",1. Cytochrome b (Cob); 2. Cytochrome c1 (Cyt1); 3. Rieske iron-sulfur protein (Rip1); 4. Core protein 1 (Cor1); 5. Core protein 2 (Qcr2); 6. Subunit 6 (Qcr6); 7. Subunit 7 (Qcr7); 8. Subunit 8 (Qcr8); 9. Subunit 9 (Qcr9); 10. Subunit 10 (Qcr10),1. COB; 2. CYT1; 3. RIP1; 4. COR1; 5. QCR2; 6. QCR6; 7. QCR7; 8. QCR8; 9. QCR9; 10. QCR10,0.3 * 0.9 + 0.3 * 0.95 + 0.25 * 1.0 + 0.15 * 1.0 = 0.27 + 0.285 + 0.25 + 0.15 = 0.955
few-shot,Cytochrome bc1 Complex (Complex III),Human,"Mouse, Drosophila melanogaster, Saccharomyces cerevisiae","Cytochrome bc1 complex (Complex III) is a key component of the mitochondrial electron transport chain, catalyzing the transfer of electrons from ubiquinol to cytochrome c while simultaneously translocating protons across the inner mitochondrial membrane, contributing to the proton gradient essential for ATP synthesis.","Cytochrome b, Cytochrome c1, Rieske iron-sulfur protein, Ubiquinol-cytochrome c reductase complex subunit 6, Ubiquinol-cytochrome c reductase complex subunit 7, Ubiquinol-cytochrome c reductase complex subunit 8, Ubiquinol-cytochrome c reductase complex subunit 9, Ubiquinol-cytochrome c reductase complex subunit 10, Ubiquinol-cytochrome c reductase complex subunit 11","MTCYB, CYC1, UQCRFS1, UQCRH, UQCRB, UQCRQ, UQCR10, UQCR11",(0.95 × 0.3) + (0.95 × 0.3) + (1.0 × 0.25) + (1.0 × 0.15) = 0.285 + 0.285 + 0.25 + 0.15 = **0.97**
contextual,Cytochrome bc1 complex (Complex III),Saccharomyces cerevisiae (Baker's yeast),N/A,"Cytochrome bc1 complex is a crucial component of the mitochondrial respiratory chain. It catalyzes the transfer of electrons from ubiquinol to cytochrome c, coupled with the translocation of protons across the inner mitochondrial membrane, contributing to the proton gradient used for ATP synthesis.","Cytochrome b, Cytochrome c1, Rieske iron-sulfur protein (Rip1), Subunit 6 (Qcr6), Subunit 7 (Qcr7), Subunit 8 (Qcr8), Subunit 9 (Qcr9), Subunit 10 (Qcr10)","COB, CYT1, RIP1, QCR6, QCR7, QCR8, QCR9, QCR10",(0.95 × 0.3) + (0.95 × 0.3) + (1.0 × 0.25) + (1.0 × 0.15) = 0.285 + 0.285 + 0.25 + 0.15 = **0.97**
zero-shot,Synaptonemal Complex,Mouse (Mus musculus),"The synaptonemal complex is also found in humans, C. elegans, and Drosophila melanogaster.","The synaptonemal complex is a protein structure that forms between homologous chromosomes during meiosis, specifically during the prophase I stage. It plays a crucial role in chromosome pairing, synapsis, and recombination, ensuring proper segregation of chromosomes during meiosis and genetic diversity in offspring.",1. SYCP1 (Synaptonemal Complex Protein 1); 2. SYCP2 (Synaptonemal Complex Protein 2); 3. SYCP3 (Synaptonemal Complex Protein 3); 4. SYCE1 (Synaptonemal Complex Central Element Protein 1); 5. SYCE2 (Synaptonemal Complex Central Element Protein 2); 6. SYCE3 (Synaptonemal Complex Central Element Protein 3); 7. TEX12 (Testis-Expressed Protein 12),1. Sycp1; 2. Sycp2; 3. Sycp3; 4. Syce1; 5. Syce2; 6. Syce3; 7. Tex12,0.3 * 0.9 + 0.3 * 0.8 + 0.25 * 0.95 + 0.15 * 1.0 = 0.27 + 0.24 + 0.2375 + 0.15 = 0.8875
few-shot,Synaptonemal Complex,Saccharomyces cerevisiae (budding yeast),"The synaptonemal complex is conserved across many sexually reproducing eukaryotes, including humans, mice, C. elegans, and Drosophila melanogaster.","The synaptonemal complex is a protein structure that forms between homologous chromosomes during meiosis, specifically during the zygotene and pachytene stages of prophase I. It mediates chromosome pairing, synapsis, and recombination.","Zip1p, Hop1p, Red1p, Mek1p, Zip2p, Zip3p, Zip4p, Spo16p","ZIP1, HOP1, RED1, MEK1, ZIP2, ZIP3, ZIP4, SPO16",(0.95 × 0.3) + (0.85 × 0.3) + (1.0 × 0.25) + (0.9 × 0.15) = 0.285 + 0.255 + 0.25 + 0.135 = **0.925**
contextual,Synaptonemal Complex,Mouse,"Human, C. elegans, Drosophila melanogaster, Saccharomyces cerevisiae","The synaptonemal complex is a protein structure that forms between homologous chromosomes during meiosis, specifically during the pachytene stage of prophase I. It is crucial for chromosome pairing, synapsis, and recombination.","Synaptonemal complex protein 1 (SYCP1), Synaptonemal complex protein 2 (SYCP2), Synaptonemal complex protein 3 (SYCP3), Synaptonemal complex central element protein 1 (SYCE1), Synaptonemal complex central element protein 2 (SYCE2), Synaptonemal complex central element protein 3 (SYCE3), Testis-expressed protein 12 (TEX12)","Sycp1, Sycp2, Sycp3, Syce1, Syce2, Syce3, Tex12",(0.9 × 0.3) + (0.95 × 0.3) + (1.0 × 0.25) + (1.0 × 0.15) = 0.27 + 0.285 + 0.25 + 0.15 = **0.955**
zero-shot,GNA12-GPR55-RGS2 complex,Human (Homo sapiens),Mouse (Mus musculus),"The GNA12-GPR55-RGS2 complex is involved in the regulation of G protein-coupled receptor (GPCR) signaling. GNA12 (G protein subunit alpha 12) couples with GPR55 (G protein-coupled receptor 55) and is negatively regulated by RGS2 (regulator of G protein signaling 2), which acts as a GTPase-activating protein (GAP) to promote GTP hydrolysis and terminate G protein signaling.",1. GNA12 (G protein subunit alpha 12); 2. GPR55 (G protein-coupled receptor 55); 3. RGS2 (regulator of G protein signaling 2),1. GNA12; 2. GPR55; 3. RGS2,0.3 * 0.8 + 0.3 * 0.6 + 0.25 * 0.9 + 0.15 * 1.0 = 0.24 + 0.18 + 0.225 + 0.15 = 0.795
few-shot,GNA12-GPR55-RGS2 complex,Human,N/A,"This complex regulates the activity of the G protein-coupled receptor GPR55, which is involved in various cellular processes such as cell migration, proliferation, and differentiation. The complex modulates the signaling of GPR55 through the interaction of the G protein subunit alpha 12 (GNA12) and the regulator of G protein signaling 2 (RGS2).","Guanine nucleotide-binding protein subunit alpha-12, G protein-coupled receptor 55, Regulator of G protein signaling 2","GNA12, GPR55, RGS2",(0.9 × 0.3) + (0.8 × 0.3) + (1.0 × 0.25) + (1.0 × 0.15) = 0.27 + 0.24 + 0.25 + 0.15 = **0.91**
contextual,GNA12-GPR55-RGS2 complex,Human,N/A,"This complex is involved in the regulation of G protein-coupled receptor (GPCR) signaling. GNA12 (G protein subunit alpha 12) couples to GPR55 (G protein-coupled receptor 55) and activates downstream signaling pathways. RGS2 (Regulator of G protein signaling 2) acts as a negative regulator of GNA12, promoting GTP hydrolysis and terminating the signaling.","Guanine nucleotide-binding protein subunit alpha-12, G protein-coupled receptor 55, Regulator of G-protein signaling 2","GNA12, GPR55, RGS2",(0.9 × 0.3) + (0.8 × 0.3) + (1.0 × 0.25) + (1.0 × 0.15) = 0.27 + 0.24 + 0.25 + 0.15 = **0.91**
zero-shot,Melanocortin receptor 3,Human (Homo sapiens),Mouse (Mus musculus),"Melanocortin receptor 3 (MC3R) is a G protein-coupled receptor that binds melanocortin peptides, such as α-melanocyte-stimulating hormone (α-MSH) and γ-MSH. It plays a role in regulating energy homeostasis, fat metabolism, and immune function.",Melanocortin receptor 3,MC3R,(0.3 * 0.9) + (0.3 * 0.8) + (0.25 * 1.0) + (0.15 * 1.0) = 0.27 + 0.24 + 0.25 + 0.15 = 0.91
few-shot,Melanocortin-3 receptor,Human,N/A,"G-protein coupled receptor that binds to melanocortins, including adrenocorticotropic hormone (ACTH) and the MSH hormones (α-MSH, β-MSH and γ-MSH). May be involved in the control of feeding behavior.",Melanocortin receptor 3,MC3R,(0.9 × 0.3) + (0.8 × 0.3) + (1.0 × 0.25) + (1.0 × 0.15) = 0.27 + 0.24 + 0.25 + 0.15 = **0.91**
