Technique,Complex Name,Organism,Other Organisms,Complex Function,Proteins,Genes,Confidence Score,Accession_Mapped
zero-shot,H+/K+-ATPase (Gastric proton pump),Homo Sapiens,Mouse (Mus musculus),The H+/K+-ATPase functions as the gastric proton pump;  responsible for gastric acid secretion in the stomach. It exchanges hydrogen ions (H+) for potassium ions (K+) across the parietal cell membrane;  creating the acidic environment in the stomach lumen with pH values as low as 0.8-1.0. This acidic environment is essential for protein digestion;  nutrient absorption;  and protection against ingested pathogens. The complex hydrolyzes ATP to provide energy for the active transport of H+ ions against a concentration gradient.,H+/K+-ATPase alpha subunit; H+/K+-ATPase beta subunit,ATP4A (gene encoding H+/K+-ATPase alpha subunit); ATP4B (gene encoding H+/K+-ATPase beta subunit),0.955,"P20648; 	
P51164"
few-shot,ATP4A-ATP4B complex,Homo Sapiens,Mouse,This is a gastric H⁺/K⁺-ATPase proton pump responsible for gastric acid secretion in the stomach. It actively transports H⁺ ions into the stomach lumen in exchange for K⁺ ions;  creating the highly acidic environment needed for food digestion and protection against pathogens.,H⁺/K⁺-ATPase alpha subunit;  H⁺/K⁺-ATPase beta subunit,ATP4A;  ATP4B,0.955,"P20648; 	
P51164"
contextual,ATP4A-ATP4B complex,Homo Sapiens,Mouse,This protein complex functions as a gastric H+/K+-ATPase (proton pump) that catalyzes the hydrolysis of ATP coupled with the exchange of H+ and K+ ions across the plasma membrane. It is responsible for gastric acid secretion by parietal cells in the stomach;  generating and maintaining the low pH environment necessary for food digestion and absorption. The complex is the primary target for proton pump inhibitor drugs used to treat peptic ulcers and acid reflux diseases.,Potassium-transporting ATPase alpha chain 1; Potassium-transporting ATPase subunit beta,ATP4A; ATP4B,0.955,P20648; A6NGH2
zero-shot,Cytochrome bc1 Complex (Complex III;  Ubiquinol-cytochrome c reductase),Saccharomyces cerevisiae,Human;  Mouse;  C. elegans;  Drosophila melanogaster,The cytochrome bc1 complex is a crucial component of the mitochondrial respiratory chain;  catalyzing electron transfer from ubiquinol to cytochrome c coupled with proton translocation across the inner mitochondrial membrane. This process contributes to the generation of a proton gradient;  which drives ATP synthesis via ATP synthase. The complex operates through the Q-cycle mechanism;  where electrons from ubiquinol are bifurcated - some transfer to cytochrome c via the Rieske iron-sulfur protein and cytochrome c1;  while others recycle through the b-type cytochromes., Cytochrome b - Core catalytic subunit; Cytochrome c1 - Core catalytic subunit; Rieske iron-sulfur protein ; Core protein 1; Core protein 2; Subunit 6; Subunit 7; Subunit 8; Subunit 9; Subunit 10,COB (Cytochrome b) - Mitochondrially encoded; CYT1 (Cytochrome c1); RIP1 (Rieske iron-sulfur protein); COR1 (Core protein 1); QCR2 (Core protein 2); QCR6 (Subunit 6); QCR7 (Subunit 7); QCR8 (Subunit 8); QCR9 (Subunit 9); QCR10 (Subunit 10),0.9475,P04839; Q4G0S4; P08067; P07256; P07257; Q7GEZ1; A6ZZB6; C7GRZ4; E9PA20; A6ZX44
few-shot,Cytochrome bc₁ Complex (Complex III),Saccharomyces cerevisiae,Human;  Mouse;  C. elegans;  Drosophila melanogaster,The cytochrome bc₁ complex functions as an essential component of the mitochondrial respiratory chain;  catalyzing electron transfer from ubiquinol to cytochrome c coupled with proton translocation across the inner mitochondrial membrane. This contributes to the electrochemical proton gradient used for ATP synthesis.,Cytochrome b; Cytochrome c1; Rieske iron-sulfur protein; Core protein 1; Core protein 2; Subunit 6; Subunit 7; Subunit 8; Subunit 9; Subunit 10,COB (cytochrome b); CYT1 (cytochrome c1); RIP1 (Rieske iron-sulfur protein); COR1 (core protein 1); QCR2 (core protein 2); QCR6 (subunit 6); QCR7 (subunit 7); QCR8 (subunit 8); QCR9 (subunit 9); QCR10 (subunit 10),0.94,A0A343UW91; Q4KPM4; P08067; P07256; P07257; Q7GEZ1; A6ZZB6; C7GRZ4; E9PA20; A6ZX44
contextual,Cytochrome bc1 Complex (Complex III),Saccharomyces cerevisiae,Human;  Mouse,The cytochrome bc1 complex is a central component of the mitochondrial respiratory chain. It catalyzes the transfer of electrons from ubiquinol to cytochrome c;  coupled with the translocation of protons across the inner mitochondrial membrane. This process contributes to the generation of a proton gradient that drives ATP synthesis. It employs the Q-cycle mechanism;  which involves the oxidation of ubiquinol at the Qo site and reduction of ubiquinone at the Qi site.,Cytochrome b; Cytochrome c1; Rieske iron-sulfur protein; Core protein 1; Core protein 2; Subunit 6; Subunit 7; Subunit 8; Subunit 9; Subunit 10,COB (cytochrome b); CYT1 (cytochrome c1); RIP1 (Rieske iron-sulfur protein); COR1 (core protein 1); QCR2 (core protein 2); QCR6 (subunit 6); QCR7 (subunit 7); QCR8 (subunit 8); QCR9 (subunit 9); QCR10 (subunit 10),0.9275,A0A343UW91; Q4KPM4; P08067; P07256; P07257; Q7GEZ1; A6ZZB6; C7GRZ4; E9PA20; A6ZX44
zero-shot,Synaptonemal Complex (SC),Saccharomyces cerevisiae,Human;  Mouse;  C. elegans;  Drosophila melanogaster,The Synaptonemal Complex is a protein structure that forms between homologous chromosomes during meiotic prophase I. In S. cerevisiae (budding yeast);  the SC facilitates crossing over between homologous chromosomes;  ensures proper chromosome segregation;  and maintains genomic integrity during meiosis. It serves as a scaffold for recombination machinery;  promotes DSB (Double-Strand Break) repair via the homologous recombination pathway;  and mediates synapsis between homologous chromosomes.,Zip1; Zip2; Zip3; Zip4; Ecm11; Gmc2; Red1; Hop1; Spo76/Pds5,ZIP1; ZIP2; ZIP3; ZIP4; ECM11; GMC2; RED1; HOP1; PDS5,0.9125,"B3LG09; B3LHU1; Q06032; A0A6C1E9I5; Q04110; Q06201; B3RHE6; P20050; 	
Q29RF7"
few-shot,Synaptonemal Complex (SC),Saccharomyces cerevisiae,Human;  Mouse;  C. elegans;  Drosophila melanogaster,The synaptonemal complex is a meiosis-specific protein structure that forms between homologous chromosomes during prophase I of meiosis. It facilitates chromosome pairing;  synapsis;  and genetic recombination between homologous chromosomes;  ensuring proper chromosome segregation and genetic diversity.,Zip1;  Hop1;  Red1;  Zip2;  Zip3;  Zip4;  Spo16;  Ecm11,ZIP1;  HOP1;  RED1;  ZIP2;  ZIP3;  ZIP4;  SPO16;  ECM11,0.92,B3LG09; P20050; B3RHE6; B3LHU1; Q06032; A0A6C1E9I5; C7GJY5; Q04110
contextual,Synaptonemal Complex (SC),Mus Musculus,Human;  C. elegans;  Drosophila melanogaster;  Saccharomyces cerevisiae,The synaptonemal complex is a proteinaceous scaffold that assembles between homologous chromosomes during meiotic prophase I. It mediates chromosome synapsis;  facilitates homologous recombination;  ensures proper crossover formation;  and promotes accurate chromosome segregation during meiosis. The SC plays a critical role in maintaining genome integrity during sexual reproduction.,SYCP1; SYCP2; SYCP3; SYCE1; SYCE2; SYCE3; TEX12,Sycp1; Sycp2; Sycp3; Syce1; Syce2; Syce3; Tex12,0.9325,C6EQI9; Q9CUU3; D3Z347; A0A1B0GSZ8; Q505B8; E7D6R1; Q9CR81
zero-shot,GNA12-GPR55-RGS2 Complex,Homo Sapiens,Mouse (Mus musculus),This complex is involved in G protein-coupled receptor (GPCR) signaling;  where GPR55 acts as a cannabinoid receptor that;  upon activation;  couples to G12 (GNA12) to stimulate RhoA signaling. RGS2 functions as a negative regulator by accelerating the GTPase activity of GNA12;  thus terminating the signal. This complex mediates cellular responses including cytoskeletal reorganization;  cell migration;  and modulation of inflammatory processes. GPR55-GNA12 signaling has been implicated in cancer cell proliferation and metastasis;  particularly in certain cancers where this signaling axis is upregulated.,GNA12; GPR55; RGS2,GNA12 (gene ID: 2768); GPR55 (gene ID: 9290); RGS2 (gene ID: 5997),0.675,C9J2Y7; Q9Y2T6; Q49A86
