Technique,Complex Name,Organism,Other Organisms,Complex Function,Proteins,Genes,Confidence Score
zero-shot,H+/K+ ATPase (Gastric proton pump),Human,None specifically confirmed,Responsible for acid secretion in the stomach by exchanging potassium ions for hydrogen ions across the plasma membrane of gastric parietal cells,1. ATP4A (Alpha subunit); 2. ATP4B (Beta subunit),1. ATP4A (ATP4A gene); 2. ATP4B (ATP4B gene); Self Confidence Score Calculation:; 0.3 * (Consistency across sources) + 0.3 * (Experimental data support) + 0.25 * (Protein-gene mapping accuracy) + 0.15 * (Organism specificity); = 0.3 * 0.85 + 0.3 * 0.75 + 0.25 * 0.90 + 0.15 * 1.00; = 0.255 + 0.225 + 0.225 + 0.15; = 0.855,0.855
few-shot,ATP4A-ATP4B complex,Human,N/A,"This is a part of the larger ATP4 or H+/K+ ATPase complex, a proton pump responsible for gastric acid secretion in the stomach.",- Potassium-transporting ATPase alpha chain 1; - Potassium-transporting ATPase subunit beta,"ATP4A, ATP4B",
contextual,ATP4A-ATP4B complex,Human,N/A,"This is a part of the larger ATP4 or H+/K+ ATPase complex, a proton pump responsible for gastric acid secretion in the stomach.",1. Potassium-transporting ATPase alpha chain 1; 2. Potassium-transporting ATPase subunit beta,1. ATP4A; 2. ATP4B; Confidence Score Calculation:; - Consistency of information (0.3): 0.95; - Supporting experimental data (0.3): 0.90; - Protein-gene mapping accuracy (0.25): 1.0; - Organism specificity (0.15): 1.0,(0.95 × 0.3) + (0.9 × 0.3) + (1.0 × 0.25) + (1.0 × 0.15) = 0.285 + 0.27 + 0.25 + 0.15 = **0.955**
zero-shot,Cytochrome bc1 Complex (Complex III),Homo sapiens (Human),Saccharomyces cerevisiae,"Electron transfer in the mitochondrial respiratory chain, critical for oxidative phosphorylation and ATP production by transferring electrons from ubiquinol to cytochrome c",1. Cytochrome b; 2. Cytochrome c1; 3. Rieske iron-sulfur protein (UQCRFS1); 4. Core protein 1; 5. Core protein 2,1. CYTB; 2. CYC1; 3. UQCRFS1; 4. UQCRC1; 5. UQCRC2; Self Confidence Score Calculation:; (0.3 * 0.85) + (0.3 * 0.80) + (0.25 * 0.90) + (0.15 * 1.00) = 0.255 + 0.240 + 0.225 + 0.150 = 0.87,
few-shot,Cytochrome bc1 Complex (Complex III),Human,N/A,"Catalyzes electron transfer from ubiquinol to cytochrome c in the mitochondrial electron transport chain, contributing to the generation of the proton gradient used for ATP synthesis",1. Cytochrome b; 2. Cytochrome c1; 3. Rieske iron-sulfur protein (UQCRFS1); 4. Cytochrome c oxidoreductase core protein 1; 5. Cytochrome c oxidoreductase core protein 2; 6. Cytochrome c oxidoreductase subunit 7A; 7. Cytochrome c oxidoreductase subunit 7B,1. CYTB; 2. CYC1; 3. UQCRFS1; 4. UQCRC1; 5. UQCRC2; 6. UQCRQ; 7. UQCRB,
contextual,Cytochrome bc1 Complex (Complex III),Saccharomyces cerevisiae (Baker's yeast),N/A (Analysis specific to Saccharomyces cerevisiae),A key component of the mitochondrial electron transport chain that catalyzes electron transfer from ubiquinol to cytochrome c and contributes to the proton gradient generation for ATP synthesis during oxidative phosphorylation.,1. Cytochrome b; 2. Cytochrome c1; 3. Rieske iron-sulfur protein (ISP); 4. Core protein 1; 5. Core protein 2,1. CYT1 (Cytochrome c1); 2. QCR6 (Core protein 1); 3. QCR7 (Core protein 2); 4. QCR8 (Core protein); 5. QCR9 (Cytochrome b); 6. QCR10 (Rieske iron-sulfur protein),(0.95 × 0.30) + (0.90 × 0.30) + (0.85 × 0.25) + (1.00 × 0.15) = 0.285 + 0.270 + 0.213 + 0.150 = **0.918**
zero-shot,Synaptonemal Complex (SC),Saccharomyces cerevisiae (Budding Yeast),"Applicable to all listed organisms (Human, Mouse, C. elegans, Drosophila melanogaster)","Facilitates homologous chromosome pairing, synapsis, and recombination during meiotic prophase I, ensuring proper chromosome alignment, genetic exchange, and faithful chromosome segregation",1. Zip1 (Central Element Protein); 2. Zip2; 3. Zip3; 4. Zip4; 5. Hop1; 6. Red1; 7. Mek1; 8. Rec8,1. ZIP1; 2. ZIP2; 3. ZIP3; 4. ZIP4; 5. HOP1; 6. RED1; 7. MEK1; 8. REC8; Self Confidence Score Calculation:; (Consistency of Sources × 0.3) + (Supporting Experimental Data × 0.3) + (Protein-Gene Mapping Accuracy × 0.25) + (Organism Specificity × 0.15); = (0.85 × 0.3) + (0.90 × 0.3) + (0.95 × 0.25) + (1.00 × 0.15); = 0.255 + 0.270 + 0.2375 + 0.150; = 0.9125,0.91
few-shot,Synaptonemal Complex,Saccharomyces cerevisiae (Budding Yeast); 0.95 × 0.15,"Found in other fungi, plants, and metazoans with structural variations","Facilitates meiotic chromosome pairing, synapsis, and recombination during prophase I of meiosis, ensuring proper chromosome alignment and genetic crossover",1. Zip1 (Central Element Protein); 2. Red1 (Lateral Element Protein); 3. Hop1 (Lateral Element Protein); 4. Mek1 (Meiosis-specific Kinase); 5. Rec8 (Meiotic Cohesin Subunit); 1.00 × 0.25,1. ZIP1; 2. RED1; 3. HOP1; 4. MEK1; 5. REC8,(0.90 × 0.30) + (0.85 × 0.30) + (1.00 × 0.25) + (0.95 × 0.15) = 0.27 + 0.255 + 0.25 + 0.1425 = **0.9175**
contextual,Synaptonemal Complex (SC),Saccharomyces cerevisiae (Budding Yeast),"Found in other eukaryotes including humans, mice, and Drosophila, but with variations in protein composition.","Mediates homologous chromosome pairing, synapsis, and recombination during meiotic prophase I, facilitating genetic crossover and ensuring proper chromosome segregation during sexual reproduction.",1. Zip1 (central element protein); 2. Zip2; 3. Zip3; 4. Zip4; 5. Mer2; 6. Rec8 (meiotic cohesin); 7. Hop1 (transverse filament protein),1. ZIP1; 2. ZIP2; 3. ZIP3; 4. ZIP4; 5. MER2; 6. REC8; 7. HOP1,
zero-shot,GNA12-GPR55-RGS2 Signaling Complex,Human,None definitively identified,"Modulates G protein-coupled receptor signaling, particularly in cell migration, inflammation, and calcium signaling pathways",1. Guanine nucleotide-binding protein subunit alpha-12 (GNA12); 2. G protein-coupled receptor 55 (GPR55); 3. Regulator of G-protein signaling 2 (RGS2),1. GNA12 (Guanine Nucleotide Binding Protein Alpha 12); 2. GPR55 (G Protein-Coupled Receptor 55); 3. RGS2 (Regulator Of G Protein Signaling 2); Self Confidence Score Calculation:; (Consistency of sources: 0.3 × 0.75) + (Experimental data: 0.3 × 0.60) + (Protein-gene mapping: 0.25 × 0.85) + (Organism specificity: 0.15 × 0.70) = 0.697,0.70
